Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Cumberland	0.0	0.0	5.0	1.249	173.312	173.312	0.0	0.0	0.00075086	0.00018757	0.02602673	0.02602673
Floyd	0.064	8.906	23.906	1.249	173.312	173.312	1.79e-06	0.00024846	0.00066693	3.484e-05	0.00483504	0.00483504
Logan	98.787	3179.963	3248.963	0.0	0.0	1.0	0.00366027	0.11782441	0.12038101	0.0	0.0	3.705e-05
Oldham	0.071	13.303	54.303	0.0	0.0	0.0	1.07e-06	0.00020014	0.00081696	0.0	0.0	0.0
Pike	0.063	8.801	26.801	0.0	0.0	2.0	1.08e-06	0.0001507	0.00045891	0.0	0.0	3.425e-05
Wayne	0.007	1.035	9.035	0.0	0.0	0.0	3.4e-07	5.057e-05	0.00044142	0.0	0.0	0.0
Fulton	0.013	1.863	2.863	0.0	0.0	0.0	2.12e-06	0.00030441	0.00046781	0.0	0.0	0.0
Green	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.051e-05	0.0	0.0	0.0
Powell	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	8.037e-05	0.0	0.0	0.0
Pendleton	0.0	0.094	6.094	0.0	0.0	0.0	0.0	6.47e-06	0.00041944	0.0	0.0	0.0
Lewis	6.275	201.988	207.988	0.0	0.0	0.0	0.00047333	0.01523633	0.01568892	0.0	0.0	0.0
Montgomery	0.007	0.934	13.934	0.0	0.0	0.0	2.5e-07	3.312e-05	0.00049406	0.0	0.0	0.0
McCreary	2.976	95.81	108.81	0.0	0.0	0.0	0.00017096	0.00550379	0.00625057	0.0	0.0	0.0
Webster	0.054	9.563	38.563	0.0	0.0	0.0	4.12e-06	0.00072939	0.00294127	0.0	0.0	0.0
Todd	0.322	22.734	37.734	0.0	0.0	0.0	2.616e-05	0.00184664	0.00306506	0.0	0.0	0.0
Bath	3.298	106.174	113.174	0.0	0.0	1.0	0.00026633	0.00857417	0.00913947	0.0	0.0	8.076e-05
Larue	0.025	3.522	9.522	0.0	0.0	0.0	1.75e-06	0.00024617	0.00066555	0.0	0.0	0.0
Russell	0.046	6.323	24.323	0.077	7.004	11.004	2.58e-06	0.00035481	0.00136485	4.32e-06	0.00039302	0.00061747
Lincoln	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.00020289	0.0	0.0	4.058e-05
Woodford	0.01	1.349	20.349	0.0	0.0	1.0	3.8e-07	5.084e-05	0.00076693	0.0	0.0	3.769e-05
Henderson	0.229	36.017	116.017	0.022	3.105	6.105	5.02e-06	0.00079	0.00254473	4.8e-07	6.811e-05	0.00013391
Lee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caldwell	0.0	0.067	12.067	0.022	3.105	3.105	0.0	5.27e-06	0.00094904	1.73e-06	0.0002442	0.0002442
Washington	0.0	0.0	5.0	0.022	3.105	3.105	0.0	0.0	0.00041377	1.82e-06	0.00025695	0.00025695
Graves	0.0	9.029	158.029	0.0	5.129	23.129	0.0	0.00024195	0.00423477	0.0	0.00013744	0.0006198
Breckinridge	0.156	17.794	30.794	0.0	5.13	5.13	7.65e-06	0.00087277	0.0015104	0.0	0.00025162	0.00025162
Trimble	0.0	0.0	3.0	0.0	5.13	5.13	0.0	0.0	0.00035232	0.0	0.00060247	0.00060247
Metcalfe	0.0	0.0	3.0	0.0	5.13	5.13	0.0	0.0	0.0002991	0.0	0.00051147	0.00051147
Hardin	0.344	47.656	110.656	0.0	0.0	2.0	3.12e-06	0.00043184	0.00100272	0.0	0.0	1.812e-05
Ballard	0.026	3.629	11.629	0.0	0.0	0.0	3.26e-06	0.00045482	0.00145745	0.0	0.0	0.0
Martin	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.00026495	0.0	0.0	0.0
