Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-18	1.093	22.093	0.0	1.0
2020-04-19	1.213	23.306	0.0	1.0
2020-04-20	1.333	24.639	0.0	1.0
2020-04-21	1.453	26.092	0.0	1.0
2020-04-22	1.579	27.671	0.0	1.0
2020-04-23	1.717	29.388	0.0	1.0
2020-04-24	1.855	31.243	0.0	1.0
2020-04-25	1.988	33.231	0.0	1.0
2020-04-26	2.101	35.332	0.0	1.0
2020-04-27	2.189	37.521	0.0	1.0
2020-04-28	2.24	39.761	0.0	1.0
2020-04-29	2.269	42.03	0.0	1.0
2020-04-30	2.277	44.307	0.0	1.0
2020-05-01	2.273	46.58	0.0	1.0
2020-05-02	2.252	48.832	0.0	1.0
2020-05-03	2.222	51.054	0.0	1.0
2020-05-04	2.189	53.243	0.0	1.0
2020-05-05	2.147	55.39	0.0	1.0
2020-05-06	2.096	57.486	0.0	1.0
2020-05-07	2.041	59.527	0.0	1.0
2020-05-08	1.987	61.514	0.0	1.0
2020-05-09	1.933	63.447	0.0	1.0
2020-05-10	1.883	65.33	0.0	1.0
2020-05-11	1.837	67.167	0.0	1.0
2020-05-12	1.791	68.958	0.0	1.0
2020-05-13	1.74	70.698	0.0	1.0
2020-05-14	1.685	72.383	0.0	1.0
2020-05-15	1.625	74.008	0.0	1.0
2020-05-16	1.562	75.57	0.0	1.0
2020-05-17	1.498	77.068	0.0	1.0
2020-05-18	1.435	78.503	0.0	1.0
2020-05-19	1.372	79.875	0.0	1.0
2020-05-20	1.31	81.185	0.0	1.0
2020-05-21	1.25	82.435	0.0	1.0
2020-05-22	1.192	83.627	0.0	1.0
2020-05-23	1.134	84.761	0.0	1.0
2020-05-24	1.078	85.839	0.0	1.0
2020-05-25	1.024	86.863	0.0	1.0
2020-05-26	0.971	87.834	0.0	1.0
2020-05-27	0.921	88.755	0.0	1.0
2020-05-28	0.874	89.629	0.0	1.0
2020-05-29	0.828	90.457	0.0	1.0
2020-05-30	0.784	91.241	0.0	1.0
2020-05-31	0.742	91.983	0.0	1.0
2020-06-01	0.701	92.684	0.0	1.0
2020-06-02	0.661	93.345	0.0	1.0
2020-06-03	0.621	93.966	0.0	1.0
2020-06-04	0.581	94.547	0.0	1.0
2020-06-05	0.541	95.088	0.0	1.0
2020-06-06	0.502	95.59	0.0	1.0
2020-06-07	0.466	96.056	0.0	1.0
2020-06-08	0.434	96.49	0.0	1.0
2020-06-09	0.406	96.896	0.0	1.0
2020-06-10	0.382	97.278	0.0	1.0
2020-06-11	0.361	97.639	0.0	1.0
2020-06-12	0.342	97.981	0.0	1.0
2020-06-13	0.323	98.304	0.0	1.0
2020-06-14	0.304	98.608	0.0	1.0
2020-06-15	0.284	98.892	0.0	1.0
2020-06-16	0.265	99.157	0.0	1.0
2020-06-17	0.247	99.404	0.0	1.0
2020-06-18	0.229	99.633	0.0	1.0
2020-06-19	0.214	99.847	0.0	1.0
2020-06-20	0.2	100.047	0.0	1.0
2020-06-21	0.188	100.235	0.0	1.0
2020-06-22	0.176	100.411	0.0	1.0
2020-06-23	0.165	100.576	0.0	1.0
2020-06-24	0.154	100.73	0.0	1.0
2020-06-25	0.143	100.873	0.0	1.0
2020-06-26	0.132	101.005	0.0	1.0
2020-06-27	0.121	101.126	0.0	1.0
2020-06-28	0.11	101.236	0.0	1.0
2020-06-29	0.099	101.335	0.0	1.0
2020-06-30	0.089	101.424	0.0	1.0
2020-07-01	0.079	101.503	0.0	1.0
2020-07-02	0.071	101.574	0.0	1.0
2020-07-03	0.063	101.637	0.0	1.0
2020-07-04	0.056	101.693	0.0	1.0
2020-07-05	0.049	101.742	0.0	1.0
