Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-23	0.156	24.156	0.0	1.0
2020-06-24	0.154	24.31	0.0	1.0
2020-06-25	0.152	24.462	0.0	1.0
2020-06-26	0.15	24.612	0.0	1.0
2020-06-27	0.147	24.759	0.0	1.0
2020-06-28	0.143	24.902	0.0	1.0
2020-06-29	0.14	25.042	0.0	1.0
2020-06-30	0.136	25.178	0.0	1.0
2020-07-01	0.132	25.31	0.0	1.0
2020-07-02	0.129	25.439	0.0	1.0
2020-07-03	0.126	25.565	0.0	1.0
2020-07-04	0.123	25.688	0.0	1.0
2020-07-05	0.119	25.807	0.0	1.0
2020-07-06	0.115	25.922	0.0	1.0
2020-07-07	0.111	26.033	0.0	1.0
2020-07-08	0.107	26.14	0.0	1.0
2020-07-09	0.103	26.243	0.0	1.0
2020-07-10	0.098	26.341	0.0	1.0
2020-07-11	0.094	26.435	0.0	1.0
2020-07-12	0.09	26.525	0.0	1.0
2020-07-13	0.086	26.611	0.0	1.0
2020-07-14	0.082	26.693	0.0	1.0
2020-07-15	0.078	26.771	0.0	1.0
2020-07-16	0.074	26.845	0.0	1.0
2020-07-17	0.07	26.915	0.0	1.0
2020-07-18	0.066	26.981	0.0	1.0
2020-07-19	0.063	27.044	0.0	1.0
2020-07-20	0.06	27.104	0.0	1.0
2020-07-21	0.057	27.161	0.0	1.0
2020-07-22	0.054	27.215	0.0	1.0
2020-07-23	0.051	27.266	0.0	1.0
2020-07-24	0.048	27.314	0.0	1.0
2020-07-25	0.045	27.359	0.0	1.0
2020-07-26	0.043	27.402	0.0	1.0
2020-07-27	0.04	27.442	0.0	1.0
2020-07-28	0.037	27.479	0.0	1.0
2020-07-29	0.034	27.513	0.0	1.0
2020-07-30	0.032	27.545	0.0	1.0
2020-07-31	0.03	27.575	0.0	1.0
2020-08-01	0.028	27.603	0.0	1.0
2020-08-02	0.026	27.629	0.0	1.0
2020-08-03	0.025	27.654	0.0	1.0
2020-08-04	0.023	27.677	0.0	1.0
2020-08-05	0.022	27.699	0.0	1.0
2020-08-06	0.021	27.72	0.0	1.0
2020-08-07	0.019	27.739	0.0	1.0
2020-08-08	0.018	27.757	0.0	1.0
2020-08-09	0.017	27.774	0.0	1.0
2020-08-10	0.016	27.79	0.0	1.0
2020-08-11	0.015	27.805	0.0	1.0
2020-08-12	0.014	27.819	0.0	1.0
2020-08-13	0.013	27.832	0.0	1.0
2020-08-14	0.012	27.844	0.0	1.0
2020-08-15	0.011	27.855	0.0	1.0
2020-08-16	0.011	27.866	0.0	1.0
2020-08-17	0.01	27.876	0.0	1.0
2020-08-18	0.009	27.885	0.0	1.0
2020-08-19	0.008	27.893	0.0	1.0
2020-08-20	0.008	27.901	0.0	1.0
2020-08-21	0.007	27.908	0.0	1.0
2020-08-22	0.006	27.914	0.0	1.0
2020-08-23	0.005	27.919	0.0	1.0
2020-08-24	0.005	27.924	0.0	1.0
2020-08-25	0.004	27.928	0.0	1.0
2020-08-26	0.004	27.932	0.0	1.0
2020-08-27	0.003	27.935	0.0	1.0
2020-08-28	0.003	27.938	0.0	1.0
2020-08-29	0.002	27.94	0.0	1.0
2020-08-30	0.002	27.942	0.0	1.0
2020-08-31	0.001	27.943	0.0	1.0
2020-09-01	0.001	27.944	0.0	1.0
2020-09-02	0.001	27.945	0.0	1.0
2020-09-03	0.0	27.945	0.0	1.0
2020-09-04	0.0	27.945	0.0	1.0
2020-09-05	0.0	27.945	0.0	1.0
2020-09-06	0.0	27.945	0.0	1.0
2020-09-07	0.0	27.945	0.0	1.0
2020-09-08	0.0	27.945	0.0	1.0
2020-09-09	0.0	27.945	0.0	1.0
2020-09-10	0.0	27.945	0.0	1.0
2020-09-11	0.0	27.945	0.0	1.0
