Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-07	5.009	114.009	0.0	5.0
2020-06-08	5.125	119.134	0.0	5.0
2020-06-09	5.191	124.325	0.0	5.0
2020-06-10	5.209	129.534	0.0	5.0
2020-06-11	5.199	134.733	0.0	5.0
2020-06-12	5.152	139.885	0.0	5.0
2020-06-13	5.085	144.97	0.0	5.0
2020-06-14	5.008	149.978	0.0	5.0
2020-06-15	4.911	154.889	0.0	5.0
2020-06-16	4.795	159.684	0.0	5.0
2020-06-17	4.67	164.354	0.0	5.0
2020-06-18	4.546	168.9	0.0	5.0
2020-06-19	4.422	173.322	0.0	5.0
2020-06-20	4.308	177.63	0.0	5.0
2020-06-21	4.203	181.833	0.0	5.0
2020-06-22	4.097	185.93	0.0	5.0
2020-06-23	3.98	189.91	0.0	5.0
2020-06-24	3.854	193.764	0.0	5.0
2020-06-25	3.718	197.482	0.0	5.0
2020-06-26	3.573	201.055	0.0	5.0
2020-06-27	3.428	204.483	0.0	5.0
2020-06-28	3.282	207.765	0.0	5.0
2020-06-29	3.138	210.903	0.0	5.0
2020-06-30	2.997	213.9	0.0	5.0
2020-07-01	2.861	216.761	0.0	5.0
2020-07-02	2.726	219.487	0.0	5.0
2020-07-03	2.594	222.081	0.0	5.0
2020-07-04	2.466	224.547	0.0	5.0
2020-07-05	2.343	226.89	0.0	5.0
2020-07-06	2.223	229.113	0.0	5.0
2020-07-07	2.108	231.221	0.0	5.0
2020-07-08	1.999	233.22	0.0	5.0
2020-07-09	1.895	235.115	0.0	5.0
2020-07-10	1.795	236.91	0.0	5.0
2020-07-11	1.698	238.608	0.0	5.0
2020-07-12	1.604	240.212	0.0	5.0
2020-07-13	1.512	241.724	0.0	5.0
2020-07-14	1.421	243.145	0.0	5.0
2020-07-15	1.33	244.475	0.0	5.0
2020-07-16	1.238	245.713	0.0	5.0
2020-07-17	1.149	246.862	0.0	5.0
2020-07-18	1.065	247.927	0.0	5.0
2020-07-19	0.992	248.919	0.0	5.0
2020-07-20	0.928	249.847	0.0	5.0
2020-07-21	0.874	250.721	0.0	5.0
2020-07-22	0.826	251.547	0.0	5.0
2020-07-23	0.782	252.329	0.0	5.0
2020-07-24	0.738	253.067	0.0	5.0
2020-07-25	0.695	253.762	0.0	5.0
2020-07-26	0.651	254.413	0.0	5.0
2020-07-27	0.607	255.02	0.0	5.0
2020-07-28	0.564	255.584	0.0	5.0
2020-07-29	0.525	256.109	0.0	5.0
2020-07-30	0.49	256.599	0.0	5.0
2020-07-31	0.458	257.057	0.0	5.0
2020-08-01	0.429	257.486	0.0	5.0
2020-08-02	0.404	257.89	0.0	5.0
2020-08-03	0.378	258.268	0.0	5.0
2020-08-04	0.353	258.621	0.0	5.0
2020-08-05	0.327	258.948	0.0	5.0
2020-08-06	0.302	259.25	0.0	5.0
2020-08-07	0.276	259.526	0.0	5.0
2020-08-08	0.251	259.777	0.0	5.0
2020-08-09	0.226	260.003	0.0	5.0
2020-08-10	0.203	260.206	0.0	5.0
2020-08-11	0.182	260.388	0.0	5.0
2020-08-12	0.162	260.55	0.0	5.0
2020-08-13	0.144	260.694	0.0	5.0
2020-08-14	0.128	260.822	0.0	5.0
2020-08-15	0.111	260.933	0.0	5.0
2020-08-16	0.095	261.028	0.0	5.0
2020-08-17	0.078	261.106	0.0	5.0
2020-08-18	0.061	261.167	0.0	5.0
2020-08-19	0.043	261.21	0.0	5.0
2020-08-20	0.028	261.238	0.0	5.0
2020-08-21	0.017	261.255	0.0	5.0
2020-08-22	0.011	261.266	0.0	5.0
2020-08-23	0.007	261.273	0.0	5.0
2020-08-24	0.005	261.278	0.0	5.0
2020-08-25	0.004	261.282	0.0	5.0
2020-08-26	0.003	261.285	0.0	5.0
2020-08-27	0.003	261.288	0.0	5.0
2020-08-28	0.002	261.29	0.0	5.0
2020-08-29	0.001	261.291	0.0	5.0
2020-08-30	0.001	261.292	0.0	5.0
2020-08-31	0.0	261.292	0.0	5.0
2020-09-01	0.0	261.292	0.0	5.0
2020-09-02	0.0	261.292	0.0	5.0
2020-09-03	0.0	261.292	0.0	5.0
2020-09-04	0.0	261.292	0.0	5.0
2020-09-05	0.0	261.292	0.0	5.0
2020-09-06	0.0	261.292	0.0	5.0
2020-09-07	0.0	261.292	0.0	5.0
2020-09-08	0.0	261.292	0.0	5.0
