Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-17	0.32	12.32	0.667	0.667
2020-04-18	0.263	12.583	0.724	1.391
2020-04-19	0.206	12.789	0.788	2.179
2020-04-20	0.146	12.935	0.851	3.03
2020-04-21	0.094	13.029	0.912	3.942
2020-04-22	0.058	13.087	0.964	4.906
2020-04-23	0.037	13.124	1.004	5.91
2020-04-24	0.024	13.148	1.028	6.938
2020-04-25	0.017	13.165	1.041	7.979
2020-04-26	0.013	13.178	1.045	9.024
2020-04-27	0.011	13.189	1.043	10.067
2020-04-28	0.008	13.197	1.033	11.1
2020-04-29	0.007	13.204	1.02	12.12
2020-04-30	0.005	13.209	1.004	13.124
2020-05-01	0.004	13.213	0.985	14.109
2020-05-02	0.0	13.213	0.0	14.109
2020-05-03	0.0	13.213	0.0	14.109
2020-05-04	0.0	13.213	0.0	14.109
2020-05-05	0.0	13.213	0.0	14.109
2020-05-06	0.0	13.213	0.0	14.109
2020-05-07	0.0	13.213	0.0	14.109
2020-05-08	0.0	13.213	0.0	14.109
2020-05-09	0.0	13.213	0.0	14.109
2020-05-10	0.0	13.213	0.0	14.109
2020-05-11	0.0	13.213	0.0	14.109
2020-05-12	0.0	13.213	0.0	14.109
2020-05-13	0.0	13.213	0.0	14.109
2020-05-14	0.0	13.213	0.0	14.109
2020-05-15	0.0	13.213	0.0	14.109
2020-05-16	0.0	13.213	0.0	14.109
2020-05-17	0.0	13.213	0.0	14.109
2020-05-18	0.0	13.213	0.0	14.109
2020-05-19	0.0	13.213	0.0	14.109
2020-05-20	0.0	13.213	0.0	14.109
2020-05-21	0.0	13.213	0.0	14.109
2020-05-22	0.0	13.213	0.0	14.109
2020-05-23	0.0	13.213	0.0	14.109
2020-05-24	0.0	13.213	0.0	14.109
2020-05-25	0.0	13.213	0.0	14.109
2020-05-26	0.0	13.213	0.0	14.109
2020-05-27	0.0	13.213	0.0	14.109
2020-05-28	0.0	13.213	0.0	14.109
2020-05-29	0.0	13.213	0.0	14.109
2020-05-30	0.0	13.213	0.0	14.109
2020-05-31	0.0	13.213	0.0	14.109
2020-06-01	0.0	13.213	0.0	14.109
2020-06-02	0.0	13.213	0.0	14.109
2020-06-03	0.0	13.213	0.0	14.109
2020-06-04	0.0	13.213	0.0	14.109
2020-06-05	0.0	13.213	0.0	14.109
2020-06-06	0.0	13.213	0.0	14.109
2020-06-07	0.0	13.213	0.0	14.109
2020-06-08	0.0	13.213	0.0	14.109
2020-06-09	0.0	13.213	0.0	14.109
2020-06-10	0.0	13.213	0.0	14.109
2020-06-11	0.0	13.213	0.0	14.109
2020-06-12	0.0	13.213	0.0	14.109
2020-06-13	0.0	13.213	0.0	14.109
2020-06-14	0.0	13.213	0.0	14.109
2020-06-15	0.0	13.213	0.0	14.109
2020-06-16	0.0	13.213	0.0	14.109
2020-06-17	0.0	13.213	0.0	14.109
2020-06-18	0.0	13.213	0.0	14.109
2020-06-19	0.0	13.213	0.0	14.109
2020-06-20	0.0	13.213	0.0	14.109
2020-06-21	0.0	13.213	0.0	14.109
2020-06-22	0.0	13.213	0.0	14.109
2020-06-23	0.0	13.213	0.0	14.109
2020-06-24	0.0	13.213	0.0	14.109
2020-06-25	0.0	13.213	0.0	14.109
2020-06-26	0.0	13.213	0.0	14.109
2020-06-27	0.0	13.213	0.0	14.109
2020-06-28	0.0	13.213	0.0	14.109
