Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Vermilion	0.494	12.798	45.798	0.0	0.0	1.0	8.26e-06	0.00021391	0.00076547	0.0	0.0	1.671e-05
Saint Mary	1.9	59.57	227.57	0.0	0.0	18.0	3.817e-05	0.00119681	0.00457207	0.0	0.0	0.00036163
Richland	25.783	217.486	262.486	0.0	0.0	0.0	0.00127689	0.0107709	0.0129995	0.0	0.0	0.0
Saint Tammany	13.658	354.107	1465.107	0.025	20.368	109.368	5.292e-05	0.00137192	0.00567627	1e-07	7.891e-05	0.00042372
East Carroll	0.043	1.112	6.112	0.025	20.368	20.368	6.11e-06	0.00015802	0.00086855	3.55e-06	0.00289442	0.00289442
Cameron	0.121	3.131	6.131	0.025	20.368	20.368	1.737e-05	0.00044934	0.00087988	3.59e-06	0.00292308	0.00292308
Pointe Coupee	2.509	62.483	148.483	0.0	0.0	11.0	0.00011436	0.0028479	0.00676768	0.0	0.0	0.00050137
West Carroll	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.00036423	0.0	0.0	0.0
Webster	1.01	28.537	109.537	0.192	4.472	8.472	2.603e-05	0.00073553	0.00282326	4.95e-06	0.00011526	0.00021836
Jefferson Davis	0.0	7.32	64.32	0.0	0.0	5.0	0.0	0.00023178	0.0020366	0.0	0.0	0.00015832
Lincoln	1.06	27.472	89.472	0.604	15.649	18.649	2.246e-05	0.00058208	0.00189575	1.28e-05	0.00033157	0.00039514
La Salle	0.0	0.75	15.75	0.604	15.649	15.649	0.0	5.028e-05	0.00105584	4.049e-05	0.00104907	0.00104907
Terrebonne	12.712	264.901	621.901	4.588	55.577	80.577	0.0001145	0.00238604	0.00560165	4.133e-05	0.0005006	0.00072578
West Baton Rouge	0.323	24.259	114.259	0.069	2.729	14.729	1.222e-05	0.00091796	0.00432357	2.61e-06	0.00010327	0.00055735
Caldwell	0.274	7.094	24.094	0.069	2.729	2.729	2.751e-05	0.00071225	0.00241908	6.93e-06	0.000274	0.000274
Washington	0.793	59.476	284.476	0.143	5.66	18.66	1.702e-05	0.0012768	0.00610699	3.07e-06	0.00012151	0.00040058
Saint John the Baptist	9.88	256.174	977.174	1.073	27.822	86.822	0.00022879	0.00593215	0.02262815	2.485e-05	0.00064427	0.00201051
East Feliciana	1.337	41.938	147.938	0.254	6.944	16.944	6.926e-05	0.00217239	0.0076632	1.316e-05	0.0003597	0.0008777
Desoto	3.053	79.154	255.154	0.325	6.527	16.527	0.00011128	0.00288504	0.00929997	1.185e-05	0.0002379	0.00060238
Lafourche	4.924	171.11	774.11	0.953	28.552	60.552	5.019e-05	0.00174397	0.00788982	9.71e-06	0.00029101	0.00061715
Jefferson	35.101	1146.207	7075.207	7.734	200.528	506.528	8.087e-05	0.00264072	0.0163004	1.782e-05	0.00046199	0.00116698
Red River	0.805	20.868	42.868	0.266	5.338	9.338	9.496e-05	0.00246172	0.00505698	3.138e-05	0.0006297	0.00110157
Ouachita	13.609	338.877	917.877	1.765	32.362	48.362	8.81e-05	0.00219373	0.00594191	1.143e-05	0.0002095	0.00031307
Saint Bernard	3.824	108.011	543.011	0.353	8.196	23.196	8.185e-05	0.00231183	0.01162242	7.56e-06	0.00017542	0.00049648
Morehouse	0.553	14.329	59.329	0.0	0.0	4.0	2.177e-05	0.00056418	0.00233597	0.0	0.0	0.00015749
Iberia	4.161	109.899	337.899	0.689	14.359	26.359	5.865e-05	0.00154916	0.0047631	9.71e-06	0.00020241	0.00037156
Plaquemines	1.822	47.228	212.228	0.319	6.409	22.409	7.783e-05	0.00201743	0.0090657	1.363e-05	0.00027377	0.00095724
Bossier	2.582	80.112	335.112	0.108	2.891	14.891	2.03e-05	0.00062989	0.00263484	8.5e-07	2.273e-05	0.00011708
Livingston	1.377	49.224	214.224	0.256	7.942	18.942	9.87e-06	0.00035269	0.00153492	1.83e-06	5.69e-05	0.00013572
Saint Charles	0.0	53.07	582.07	0.027	5.297	38.297	0.0	0.00100361	0.01100758	5.1e-07	0.00010017	0.00072424
Caddo	14.613	453.375	1842.375	2.694	67.089	152.089	6.016e-05	0.00186634	0.00758422	1.109e-05	0.00027618	0.00062608
Madison	0.764	12.583	17.583	2.694	67.089	67.089	6.845e-05	0.00112741	0.0015754	0.00024138	0.00601102	0.00601102
Natchitoches	1.559	40.411	102.411	0.0	0.0	1.0	4.033e-05	0.00104532	0.00264909	0.0	0.0	2.587e-05
Catahoula	0.0	1.765	25.765	0.604	15.649	17.649	0.0	0.0001837	0.00268162	6.286e-05	0.00162875	0.00183691
Bienville	2.817	73.034	142.034	1.064	21.363	33.363	0.00021168	0.00548798	0.01067283	7.995e-05	0.00160528	0.00250699
Avoyelles	0.0	4.262	75.262	0.012	3.21	10.21	0.0	0.00010533	0.00186007	3e-07	7.933e-05	0.00025234
Iberville	0.0	24.075	323.075	0.019	6.877	29.877	0.0	0.00073577	0.00987363	5.8e-07	0.00021017	0.00091308
