Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-21	8.369	431.369	0.138	12.138
2020-04-22	7.288	438.657	0.128	12.266
2020-04-23	6.201	444.858	0.118	12.384
2020-04-24	5.104	449.962	0.108	12.492
2020-04-25	3.989	453.951	0.098	12.59
2020-04-26	2.832	456.783	0.088	12.678
2020-04-27	1.822	458.605	0.079	12.757
2020-04-28	1.123	459.728	0.071	12.828
2020-04-29	0.708	460.436	0.063	12.891
2020-04-30	0.468	460.904	0.056	12.947
2020-05-01	0.335	461.239	0.05	12.997
2020-05-02	0.259	461.498	0.043	13.04
2020-05-03	0.206	461.704	0.037	13.077
2020-05-04	0.164	461.868	0.03	13.107
2020-05-05	0.128	461.996	0.024	13.131
2020-05-06	0.097	462.093	0.017	13.148
2020-05-07	0.072	462.165	0.011	13.159
2020-05-08	0.0	462.165	0.007	13.166
2020-05-09	0.0	462.165	0.004	13.17
2020-05-10	0.0	462.165	0.003	13.173
2020-05-11	0.0	462.165	0.002	13.175
2020-05-12	0.0	462.165	0.002	13.177
2020-05-13	0.0	462.165	0.001	13.178
2020-05-14	0.0	462.165	0.001	13.179
2020-05-15	0.0	462.165	0.001	13.18
2020-05-16	0.0	462.165	0.001	13.181
2020-05-17	0.0	462.165	0.0	13.181
2020-05-18	0.0	462.165	0.0	13.181
2020-05-19	0.0	462.165	0.0	13.181
2020-05-20	0.0	462.165	0.0	13.181
2020-05-21	0.0	462.165	0.0	13.181
2020-05-22	0.0	462.165	0.0	13.181
2020-05-23	0.0	462.165	0.0	13.181
2020-05-24	0.0	462.165	0.0	13.181
2020-05-25	0.0	462.165	0.0	13.181
2020-05-26	0.0	462.165	0.0	13.181
2020-05-27	0.0	462.165	0.0	13.181
2020-05-28	0.0	462.165	0.0	13.181
2020-05-29	0.0	462.165	0.0	13.181
2020-05-30	0.0	462.165	0.0	13.181
2020-05-31	0.0	462.165	0.0	13.181
2020-06-01	0.0	462.165	0.0	13.181
2020-06-02	0.0	462.165	0.0	13.181
2020-06-03	0.0	462.165	0.0	13.181
2020-06-04	0.0	462.165	0.0	13.181
2020-06-05	0.0	462.165	0.0	13.181
2020-06-06	0.0	462.165	0.0	13.181
2020-06-07	0.0	462.165	0.0	13.181
2020-06-08	0.0	462.165	0.0	13.181
2020-06-09	0.0	462.165	0.0	13.181
2020-06-10	0.0	462.165	0.0	13.181
2020-06-11	0.0	462.165	0.0	13.181
2020-06-12	0.0	462.165	0.0	13.181
2020-06-13	0.0	462.165	0.0	13.181
2020-06-14	0.0	462.165	0.0	13.181
2020-06-15	0.0	462.165	0.0	13.181
2020-06-16	0.0	462.165	0.0	13.181
2020-06-17	0.0	462.165	0.0	13.181
2020-06-18	0.0	462.165	0.0	13.181
2020-06-19	0.0	462.165	0.0	13.181
2020-06-20	0.0	462.165	0.0	13.181
2020-06-21	0.0	462.165	0.0	13.181
2020-06-22	0.0	462.165	0.0	13.181
2020-06-23	0.0	462.165	0.0	13.181
2020-06-24	0.0	462.165	0.0	13.181
2020-06-25	0.0	462.165	0.0	13.181
2020-06-26	0.0	462.165	0.0	13.181
2020-06-27	0.0	462.165	0.0	13.181
2020-06-28	0.0	462.165	0.0	13.181
2020-06-29	0.0	462.165	0.0	13.181
2020-06-30	0.0	462.165	0.0	13.181
2020-07-01	0.0	462.165	0.0	13.181
2020-07-02	0.0	462.165	0.0	13.181
2020-07-03	0.0	462.165	0.0	13.181
2020-07-04	0.0	462.165	0.0	13.181
2020-07-05	0.0	462.165	0.0	13.181
2020-07-06	0.0	462.165	0.0	13.181
2020-07-07	0.0	462.165	0.0	13.181
2020-07-08	0.0	462.165	0.0	13.181
2020-07-09	0.0	462.165	0.0	13.181
2020-07-10	0.0	462.165	0.0	13.181
2020-07-11	0.0	462.165	0.0	13.181
2020-07-12	0.0	462.165	0.0	13.181
2020-07-13	0.0	462.165	0.0	13.181
2020-07-14	0.0	462.165	0.0	13.181
2020-07-15	0.0	462.165	0.0	13.181
2020-07-16	0.0	462.165	0.0	13.181
2020-07-17	0.0	462.165	0.0	13.181
2020-07-18	0.0	462.165	0.0	13.181
2020-07-19	0.0	462.165	0.0	13.181
2020-07-20	0.0	462.165	0.0	13.181
2020-07-21	0.0	462.165	0.0	13.181
2020-07-22	0.0	462.165	0.0	13.181
2020-07-23	0.0	462.165	0.0	13.181
2020-07-24	0.0	462.165	0.0	13.181
2020-07-25	0.0	462.165	0.0	13.181
2020-07-26	0.0	462.165	0.0	13.181
2020-07-27	0.0	462.165	0.0	13.181
2020-07-28	0.0	462.165	0.0	13.181
2020-07-29	0.0	462.165	0.0	13.181
2020-07-30	0.0	462.165	0.0	13.181
2020-07-31	0.0	462.165	0.0	13.181
2020-08-01	0.0	462.165	0.0	13.181
2020-08-02	0.0	462.165	0.0	13.181
2020-08-03	0.0	462.165	0.0	13.181
2020-08-04	0.0	462.165	0.0	13.181
2020-08-05	0.0	462.165	0.0	13.181
2020-08-06	0.0	462.165	0.0	13.181
2020-08-07	0.0	462.165	0.0	13.181
2020-08-08	0.0	462.165	0.0	13.181
2020-08-09	0.0	462.165	0.0	13.181
2020-08-10	0.0	462.165	0.0	13.181
2020-08-11	0.0	462.165	0.0	13.181
2020-08-12	0.0	462.165	0.0	13.181
2020-08-13	0.0	462.165	0.0	13.181
2020-08-14	0.0	462.165	0.0	13.181
2020-08-15	0.0	462.165	0.0	13.181
2020-08-16	0.0	462.165	0.0	13.181
2020-08-17	0.0	462.165	0.0	13.181
2020-08-18	0.0	462.165	0.0	13.181
2020-08-19	0.0	462.165	0.0	13.181
2020-08-20	0.0	462.165	0.0	13.181
2020-08-21	0.0	462.165	0.0	13.181
2020-08-22	0.0	462.165	0.0	13.181
2020-08-23	0.0	462.165	0.0	13.181
2020-08-24	0.0	462.165	0.0	13.181
2020-08-25	0.0	462.165	0.0	13.181
2020-08-26	0.0	462.165	0.0	13.181
2020-08-27	0.0	462.165	0.0	13.181
2020-08-28	0.0	462.165	0.0	13.181
2020-08-29	0.0	462.165	0.0	13.181
2020-08-30	0.0	462.165	0.0	13.181
