Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-11	1.653	258.653	0.156	20.156
2020-05-12	1.638	260.291	0.169	20.325
2020-05-13	1.617	261.908	0.184	20.509
2020-05-14	1.592	263.5	0.199	20.708
2020-05-15	1.562	265.062	0.213	20.921
2020-05-16	1.525	266.587	0.225	21.146
2020-05-17	1.485	268.072	0.234	21.38
2020-05-18	1.445	269.517	0.24	21.62
2020-05-19	1.406	270.923	0.243	21.863
2020-05-20	1.37	272.293	0.244	22.107
2020-05-21	1.337	273.63	0.243	22.35
2020-05-22	1.303	274.933	0.241	22.591
2020-05-23	1.266	276.199	0.238	22.829
2020-05-24	1.226	277.425	0.234	23.063
2020-05-25	1.182	278.607	0.23	23.293
2020-05-26	1.136	279.743	0.224	23.517
2020-05-27	1.09	280.833	0.219	23.736
2020-05-28	1.044	281.877	0.213	23.949
2020-05-29	0.998	282.875	0.207	24.156
2020-05-30	0.953	283.828	0.202	24.358
2020-05-31	0.91	284.738	0.197	24.555
2020-06-01	0.867	285.605	0.192	24.747
2020-06-02	0.825	286.43	0.186	24.933
2020-06-03	0.784	287.214	0.18	25.113
2020-06-04	0.745	287.959	0.174	25.287
2020-06-05	0.707	288.666	0.167	25.454
2020-06-06	0.67	289.336	0.16	25.614
2020-06-07	0.636	289.972	0.154	25.768
2020-06-08	0.603	290.575	0.147	25.915
2020-06-09	0.571	291.146	0.14	26.055
2020-06-10	0.54	291.686	0.134	26.189
2020-06-11	0.51	292.196	0.128	26.317
2020-06-12	0.481	292.677	0.121	26.438
2020-06-13	0.452	293.129	0.115	26.553
2020-06-14	0.423	293.552	0.11	26.663
2020-06-15	0.394	293.946	0.104	26.767
2020-06-16	0.365	294.311	0.099	26.866
2020-06-17	0.339	294.65	0.094	26.96
2020-06-18	0.315	294.965	0.089	27.049
2020-06-19	0.295	295.26	0.084	27.133
2020-06-20	0.278	295.538	0.079	27.212
2020-06-21	0.263	295.801	0.075	27.287
2020-06-22	0.249	296.05	0.071	27.358
2020-06-23	0.235	296.285	0.066	27.424
2020-06-24	0.221	296.506	0.062	27.486
2020-06-25	0.207	296.713	0.058	27.544
2020-06-26	0.193	296.906	0.054	27.598
2020-06-27	0.179	297.085	0.05	27.648
2020-06-28	0.167	297.252	0.046	27.694
2020-06-29	0.156	297.408	0.043	27.737
2020-06-30	0.146	297.554	0.041	27.778
2020-07-01	0.137	297.691	0.039	27.817
2020-07-02	0.128	297.819	0.037	27.854
2020-07-03	0.12	297.939	0.035	27.889
2020-07-04	0.112	298.051	0.032	27.921
2020-07-05	0.104	298.155	0.03	27.951
2020-07-06	0.096	298.251	0.028	27.979
2020-07-07	0.088	298.339	0.026	28.005
2020-07-08	0.08	298.419	0.025	28.03
2020-07-09	0.072	298.491	0.023	28.053
2020-07-10	0.064	298.555	0.021	28.074
2020-07-11	0.058	298.613	0.02	28.094
2020-07-12	0.052	298.665	0.019	28.113
2020-07-13	0.046	298.711	0.018	28.131
2020-07-14	0.041	298.752	0.017	28.148
2020-07-15	0.035	298.787	0.015	28.163
2020-07-16	0.03	298.817	0.014	28.177
2020-07-17	0.025	298.842	0.013	28.19
2020-07-18	0.019	298.861	0.012	28.202
2020-07-19	0.014	298.875	0.011	28.213
2020-07-20	0.009	298.884	0.009	28.222
2020-07-21	0.005	298.889	0.008	28.23
2020-07-22	0.003	298.892	0.008	28.238
2020-07-23	0.002	298.894	0.007	28.245
2020-07-24	0.002	298.896	0.006	28.251
2020-07-25	0.001	298.897	0.005	28.256
2020-07-26	0.001	298.898	0.004	28.26
2020-07-27	0.001	298.899	0.004	28.264
2020-07-28	0.001	298.9	0.003	28.267
2020-07-29	0.0	298.9	0.002	28.269
2020-07-30	0.0	298.9	0.001	28.27
2020-07-31	0.0	298.9	0.001	28.271
2020-08-01	0.0	298.9	0.001	28.272
2020-08-02	0.0	298.9	0.0	28.272
2020-08-03	0.0	298.9	0.0	28.272
2020-08-04	0.0	298.9	0.0	28.272
2020-08-05	0.0	298.9	0.0	28.272
2020-08-06	0.0	298.9	0.0	28.272
2020-08-07	0.0	298.9	0.0	28.272
2020-08-08	0.0	298.9	0.0	28.272
2020-08-09	0.0	298.9	0.0	28.272
2020-08-10	0.0	298.9	0.0	28.272
2020-08-11	0.0	298.9	0.0	28.272
2020-08-12	0.0	298.9	0.0	28.272
2020-08-13	0.0	298.9	0.0	28.272
2020-08-14	0.0	298.9	0.0	28.272
2020-08-15	0.0	298.9	0.0	28.272
2020-08-16	0.0	298.9	0.0	28.272
2020-08-17	0.0	298.9	0.0	28.272
2020-08-18	0.0	298.9	0.0	28.272
2020-08-19	0.0	298.9	0.0	28.272
2020-08-20	0.0	298.9	0.0	28.272
2020-08-21	0.0	298.9	0.0	28.272
2020-08-22	0.0	298.9	0.0	28.272
2020-08-23	0.0	298.9	0.0	28.272
2020-08-24	0.0	298.9	0.0	28.272
2020-08-25	0.0	298.9	0.0	28.272
2020-08-26	0.0	298.9	0.0	28.272
2020-08-27	0.0	298.9	0.0	28.272
2020-08-28	0.0	298.9	0.0	28.272
2020-08-29	0.0	298.9	0.0	28.272
2020-08-30	0.0	298.9	0.0	28.272
