Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Penobscot	57.0	0.0	0.0	57.0	0.00037724	0.0	285.0	114.0	71.25	0.0018862	0.00075448	0.00047155
Sagadahoc	18.0	0.0	0.0	18.0	0.00050514	0.0	90.0	36.0	22.5	0.0025257	0.00101028	0.000631425
Lincoln	12.0	0.0	0.0	12.0	0.00034943	0.0	60.0	24.0	15.0	0.00174715	0.00069886	0.0004367875
Kennebec	103.0	6.0	0.0	97.0	0.00084369	4.915e-05	2000.0	923.076923077	600.0	0.0163833333333	0.00756153846154	0.004915
Waldo	48.0	11.0	0.0	37.0	0.00120925	0.00027712	3666.66666667	1692.30769231	1100.0	0.0923733333333	0.0426338461538	0.027712
Piscataquis	1.0	0.0	0.0	1.0	5.952e-05	0.0	5.0	2.0	1.25	0.0002976	0.00011904	7.44e-05
Hancock	10.0	0.0	0.0	10.0	0.00018245	0.0	50.0	20.0	12.5	0.00091225	0.0003649	0.0002280625
Androscoggin	42.0	2.0	0.0	40.0	0.00039005	1.857e-05	666.666666667	307.692307692	200.0	0.00619	0.00285692307692	0.001857
Aroostook	5.0	0.0	0.0	5.0	7.45e-05	0.0	25.0	10.0	6.25	0.0003725	0.000149	9.3125e-05
Washington	2.0	0.0	0.0	2.0	6.351e-05	0.0	10.0	4.0	2.5	0.00031755	0.00012702	7.93875e-05
Unassigned	1.0	0.0	0.0	1.0	N/A	N/A	5.0	2.0	1.25	N/A	N/A	N/A
York	200.0	7.0	0.0	193.0	0.0009698	3.394e-05	2333.33333333	1076.92307692	700.0	0.0113133333333	0.00522153846154	0.003394
Franklin	27.0	1.0	0.0	26.0	0.0009031	3.345e-05	333.333333333	153.846153846	100.0	0.01115	0.00514615384615	0.003345
Oxford	15.0	0.0	0.0	15.0	0.00026034	0.0	75.0	30.0	18.75	0.0013017	0.00052068	0.000325425
Knox	15.0	0.0	0.0	15.0	0.00037716	0.0	75.0	30.0	18.75	0.0018858	0.00075432	0.00047145
Somerset	18.0	0.0	0.0	18.0	0.00035579	0.0	90.0	36.0	22.5	0.00177895	0.00071158	0.0004447375
Cumberland	466.0	24.0	0.0	442.0	0.00158743	8.176e-05	8000.0	3692.30769231	2400.0	0.0272533333333	0.0125784615385	0.008176
