Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Cumberland	0.008	547.415	925.415	0.031	78.224	94.224	3e-08	0.00186477	0.00315242	1.1e-07	0.00026647	0.00032097
Somerset	0.006	105.654	121.654	0.031	78.224	78.224	1.2e-07	0.00208835	0.00240461	6.1e-07	0.00154617	0.00154617
Lincoln	0.265	258.277	270.277	0.031	78.224	78.224	7.72e-06	0.00752073	0.00787016	9e-07	0.00227779	0.00227779
Penobscot	0.0	19.706	62.706	0.031	78.224	78.224	0.0	0.00013042	0.00041501	2.1e-07	0.00051771	0.00051771
Washington	0.0	5.073	7.073	0.031	78.224	78.224	0.0	0.0001611	0.00022461	9.8e-07	0.00248409	0.00248409
Oxford	0.0	0.581	14.581	0.031	78.224	78.224	0.0	1.008e-05	0.00025306	5.4e-07	0.00135763	0.00135763
Piscataquis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sagadahoc	0.0	0.471	16.471	0.0	0.0	1.0	0.0	1.322e-05	0.00046223	0.0	0.0	2.806e-05
Kennebec	0.019	673.79	770.79	0.077	118.243	122.243	1.6e-07	0.00551911	0.00631366	6.3e-07	0.00096855	0.00100131
Androscoggin	0.0	31.04	66.04	0.0	0.0	1.0	0.0	0.00028826	0.0006133	0.0	0.0	9.29e-06
Unassigned	0.0	1.552	3.552	0.0	0.0	3.0	N/A	N/A	N/A	N/A	N/A	N/A
Franklin	0.0	9.565	21.565	0.0	0.0	0.0	0.0	0.00031993	0.00072131	0.0	0.0	0.0
Hancock	0.0	5.073	11.073	0.0	0.0	0.0	0.0	9.255e-05	0.00020202	0.0	0.0	0.0
Aroostook	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.98e-05	0.0	0.0	0.0
Knox	0.0	10.346	22.346	0.0	0.0	0.0	0.0	0.00026014	0.00056187	0.0	0.0	0.0
York	0.0	56.761	233.761	0.0	7.344	13.344	0.0	0.00027523	0.0011335	0.0	3.561e-05	6.47e-05
Waldo	0.0	75.889	117.889	0.0	0.0	7.0	0.0	0.00191185	0.00296995	0.0	0.0	0.00017635
