Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-29	0.258	10.258	0.369	0.369
2020-05-30	0.255	10.513	0.401	0.77
2020-05-31	0.252	10.765	0.436	1.206
2020-06-01	0.248	11.013	0.471	1.677
2020-06-02	0.244	11.257	0.505	2.182
2020-06-03	0.238	11.495	0.533	2.715
2020-06-04	0.232	11.727	0.556	3.271
2020-06-05	0.225	11.952	0.569	3.84
2020-06-06	0.219	12.171	0.576	4.416
2020-06-07	0.214	12.385	0.578	4.994
2020-06-08	0.208	12.593	0.577	5.571
2020-06-09	0.203	12.796	0.572	6.143
2020-06-10	0.197	12.993	0.564	6.707
2020-06-11	0.191	13.184	0.556	7.263
2020-06-12	0.184	13.368	0.545	7.808
2020-06-13	0.177	13.545	0.532	8.34
2020-06-14	0.17	13.715	0.518	8.858
2020-06-15	0.163	13.878	0.504	9.362
2020-06-16	0.156	14.034	0.491	9.853
2020-06-17	0.149	14.183	0.478	10.331
2020-06-18	0.142	14.325	0.466	10.797
2020-06-19	0.135	14.46	0.455	11.252
2020-06-20	0.129	14.589	0.442	11.694
2020-06-21	0.122	14.711	0.428	12.122
2020-06-22	0.116	14.827	0.413	12.535
2020-06-23	0.11	14.937	0.396	12.931
2020-06-24	0.105	15.042	0.38	13.311
2020-06-25	0.099	15.141	0.364	13.675
2020-06-26	0.094	15.235	0.348	14.023
2020-06-27	0.089	15.324	0.333	14.356
2020-06-28	0.084	15.408	0.317	14.673
2020-06-29	0.08	15.488	0.302	14.975
2020-06-30	0.075	15.563	0.288	15.263
2020-07-01	0.07	15.633	0.274	15.537
2020-07-02	0.066	15.699	0.26	15.797
2020-07-03	0.061	15.76	0.247	16.044
2020-07-04	0.057	15.817	0.234	16.278
2020-07-05	0.053	15.87	0.222	16.5
2020-07-06	0.049	15.919	0.21	16.71
2020-07-07	0.046	15.965	0.199	16.909
2020-07-08	0.043	16.008	0.188	17.097
2020-07-09	0.041	16.049	0.178	17.275
2020-07-10	0.039	16.088	0.168	17.443
2020-07-11	0.037	16.125	0.158	17.601
2020-07-12	0.034	16.159	0.148	17.749
2020-07-13	0.032	16.191	0.137	17.886
2020-07-14	0.03	16.221	0.127	18.013
2020-07-15	0.028	16.249	0.118	18.131
2020-07-16	0.026	16.275	0.11	18.241
2020-07-17	0.024	16.299	0.103	18.344
2020-07-18	0.023	16.322	0.097	18.441
2020-07-19	0.021	16.343	0.092	18.533
2020-07-20	0.02	16.363	0.087	18.62
2020-07-21	0.019	16.382	0.082	18.702
2020-07-22	0.017	16.399	0.077	18.779
2020-07-23	0.016	16.415	0.072	18.851
2020-07-24	0.015	16.43	0.067	18.918
2020-07-25	0.014	16.444	0.063	18.981
2020-07-26	0.012	16.456	0.058	19.039
2020-07-27	0.011	16.467	0.054	19.093
2020-07-28	0.01	16.477	0.051	19.144
2020-07-29	0.009	16.486	0.048	19.192
2020-07-30	0.008	16.494	0.045	19.237
2020-07-31	0.007	16.501	0.042	19.279
2020-08-01	0.006	16.507	0.039	19.318
2020-08-02	0.006	16.513	0.036	19.354
2020-08-03	0.005	16.518	0.034	19.388
2020-08-04	0.004	16.522	0.031	19.419
2020-08-05	0.003	16.525	0.028	19.447
2020-08-06	0.002	16.527	0.025	19.472
2020-08-07	0.001	16.528	0.022	19.494
2020-08-08	0.001	16.529	0.02	19.514
2020-08-09	0.001	16.53	0.018	19.532
2020-08-10	0.0	16.53	0.016	19.548
2020-08-11	0.0	16.53	0.014	19.562
2020-08-12	0.0	16.53	0.012	19.574
2020-08-13	0.0	16.53	0.011	19.585
2020-08-14	0.0	16.53	0.009	19.594
2020-08-15	0.0	16.53	0.007	19.601
2020-08-16	0.0	16.53	0.005	19.606
2020-08-17	0.0	16.53	0.003	19.609
2020-08-18	0.0	16.53	0.002	19.611
2020-08-19	0.0	16.53	0.001	19.612
2020-08-20	0.0	16.53	0.001	19.613
2020-08-21	0.0	16.53	0.001	19.614
2020-08-22	0.0	16.53	0.0	19.614
2020-08-23	0.0	16.53	0.0	19.614
2020-08-24	0.0	16.53	0.0	19.614
2020-08-25	0.0	16.53	0.0	19.614
2020-08-26	0.0	16.53	0.0	19.614
2020-08-27	0.0	16.53	0.0	19.614
2020-08-28	0.0	16.53	0.0	19.614
2020-08-29	0.0	16.53	0.0	19.614
2020-08-30	0.0	16.53	0.0	19.614
