Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-16	8.658	1027.658	0.911	58.911
2020-06-17	8.031	1035.689	0.949	59.86
2020-06-18	7.478	1043.167	0.971	60.831
2020-06-19	6.998	1050.165	0.984	61.815
2020-06-20	6.585	1056.75	0.987	62.802
2020-06-21	6.227	1062.977	0.985	63.787
2020-06-22	5.894	1068.871	0.976	64.763
2020-06-23	5.565	1074.436	0.964	65.727
2020-06-24	5.235	1079.671	0.949	66.676
2020-06-25	4.905	1084.576	0.931	67.607
2020-06-26	4.575	1089.151	0.909	68.516
2020-06-27	4.251	1093.402	0.885	69.401
2020-06-28	3.956	1097.358	0.861	70.262
2020-06-29	3.69	1101.048	0.838	71.1
2020-06-30	3.451	1104.499	0.816	71.916
2020-07-01	3.237	1107.736	0.797	72.713
2020-07-02	3.043	1110.779	0.776	73.489
2020-07-03	2.852	1113.631	0.754	74.243
2020-07-04	2.66	1116.291	0.73	74.973
2020-07-05	2.468	1118.759	0.705	75.678
2020-07-06	2.276	1121.035	0.677	76.355
2020-07-07	2.083	1123.118	0.65	77.005
2020-07-08	1.891	1125.009	0.622	77.627
2020-07-09	1.703	1126.712	0.595	78.222
2020-07-10	1.528	1128.24	0.568	78.79
2020-07-11	1.369	1129.609	0.542	79.332
2020-07-12	1.223	1130.832	0.517	79.849
2020-07-13	1.089	1131.921	0.492	80.341
2020-07-14	0.963	1132.884	0.467	80.808
2020-07-15	0.838	1133.722	0.444	81.252
2020-07-16	0.713	1134.435	0.421	81.673
2020-07-17	0.587	1135.022	0.4	82.073
2020-07-18	0.459	1135.481	0.379	82.452
2020-07-19	0.326	1135.807	0.359	82.811
2020-07-20	0.21	1136.017	0.34	83.151
2020-07-21	0.129	1136.146	0.322	83.473
2020-07-22	0.081	1136.227	0.304	83.777
2020-07-23	0.054	1136.281	0.287	84.064
2020-07-24	0.039	1136.32	0.269	84.333
2020-07-25	0.03	1136.35	0.252	84.585
2020-07-26	0.024	1136.374	0.235	84.82
2020-07-27	0.019	1136.393	0.218	85.038
2020-07-28	0.015	1136.408	0.202	85.24
2020-07-29	0.011	1136.419	0.188	85.428
2020-07-30	0.008	1136.427	0.176	85.604
2020-07-31	0.0	1136.427	0.166	85.77
2020-08-01	0.0	1136.427	0.157	85.927
2020-08-02	0.0	1136.427	0.148	86.075
2020-08-03	0.0	1136.427	0.14	86.215
2020-08-04	0.0	1136.427	0.132	86.347
2020-08-05	0.0	1136.427	0.123	86.47
2020-08-06	0.0	1136.427	0.115	86.585
2020-08-07	0.0	1136.427	0.107	86.692
2020-08-08	0.0	1136.427	0.099	86.791
2020-08-09	0.0	1136.427	0.093	86.884
2020-08-10	0.0	1136.427	0.087	86.971
2020-08-11	0.0	1136.427	0.081	87.052
2020-08-12	0.0	1136.427	0.077	87.129
2020-08-13	0.0	1136.427	0.072	87.201
2020-08-14	0.0	1136.427	0.067	87.268
2020-08-15	0.0	1136.427	0.062	87.33
2020-08-16	0.0	1136.427	0.057	87.387
2020-08-17	0.0	1136.427	0.052	87.439
2020-08-18	0.0	1136.427	0.048	87.487
2020-08-19	0.0	1136.427	0.043	87.53
2020-08-20	0.0	1136.427	0.038	87.568
2020-08-21	0.0	1136.427	0.034	87.602
2020-08-22	0.0	1136.427	0.031	87.633
2020-08-23	0.0	1136.427	0.027	87.66
2020-08-24	0.0	1136.427	0.024	87.684
2020-08-25	0.0	1136.427	0.021	87.705
2020-08-26	0.0	1136.427	0.018	87.723
2020-08-27	0.0	1136.427	0.015	87.738
2020-08-28	0.0	1136.427	0.012	87.75
2020-08-29	0.0	1136.427	0.008	87.758
2020-08-30	0.0	1136.427	0.005	87.763
2020-08-31	0.0	1136.427	0.003	87.766
2020-09-01	0.0	1136.427	0.002	87.768
2020-09-02	0.0	1136.427	0.001	87.769
2020-09-03	0.0	1136.427	0.001	87.77
2020-09-04	0.0	1136.427	0.001	87.771
2020-09-05	0.0	1136.427	0.001	87.772
2020-09-06	0.0	1136.427	0.0	87.772
2020-09-07	0.0	1136.427	0.0	87.772
2020-09-08	0.0	1136.427	0.0	87.772
