Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Baltimore City	6.889	717.888	N/A	N/A
Somerset	0.0	0.0	0.0	0.0
Montgomery	11.471	1195.313	1.09e-05	0.00113562
Caroline	0.101	10.506	3.03e-06	0.00031545
Queen Anne's	0.157	16.342	3.12e-06	0.00032521
Frederick	3.316	345.52	1.297e-05	0.00135155
Washington	0.807	84.045	5.34e-06	0.00055687
Prince George's	16.848	1755.616	1.853e-05	0.00193072
Calvert	0.751	78.209	8.16e-06	0.00085007
Garrett	0.571	59.532	1.959e-05	0.00204136
Worcester	0.146	15.175	2.81e-06	0.00029282
Talbot	0.123	12.84	3.33e-06	0.00034733
Harford	0.784	81.711	3.09e-06	0.00032175
Kent	0.09	9.628	4.66e-06	0.00049671
Howard	2.666	277.817	8.25e-06	0.00085959
Dorchester	0.0	0.0	0.0	0.0
Unassigned	0.0	0.0	N/A	N/A
Wicomico	0.202	21.011	1.95e-06	0.00020361
Charles	2.352	245.133	1.457e-05	0.00151782
Baltimore	11.504	1198.815	1.389e-05	0.00144709
Saint Mary's	0.807	84.045	7.16e-06	0.00074598
Cecil	0.683	71.205	6.65e-06	0.00069248
Carroll	1.77	184.433	1.051e-05	0.00109502
Allegany	0.0	0.0	0.0	0.0
Anne Arundel	6.228	649.017	1.081e-05	0.00112671
