Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Baltimore City	44.802	1755.676	5474.676	3.027	107.987	307.987	N/A	N/A	N/A	N/A	N/A	N/A
Somerset	1.178	38.25	93.25	3.027	107.987	107.987	4.588e-05	0.00148978	0.00363194	0.0001179	0.00420592	0.00420592
Montgomery	102.925	3748.371	11736.371	6.298	224.676	685.676	9.778e-05	0.00356117	0.01115024	5.98e-06	0.00021346	0.00065143
Caroline	31.339	631.125	831.125	6.298	224.676	224.676	0.000941	0.01895043	0.02495571	0.00018911	0.00674622	0.00674622
Queen Anne's	11.23	252.286	364.286	1.305	15.413	24.413	0.00022348	0.00502052	0.00724933	2.597e-05	0.00030672	0.00048582
Frederick	8.352	395.445	1797.445	0.9	32.12	121.12	3.267e-05	0.00154683	0.00703094	3.52e-06	0.00012564	0.00047378
Washington	3.207	114.396	446.396	0.431	11.409	20.409	2.125e-05	0.00075796	0.00295771	2.86e-06	7.559e-05	0.00013523
Prince George's	120.183	4631.796	15662.796	3.501	154.141	574.141	0.00013217	0.00509376	0.01722496	3.85e-06	0.00016951	0.0006314
Calvert	2.152	82.93	319.93	0.181	5.53	18.53	2.339e-05	0.00090138	0.00347739	1.97e-06	6.011e-05	0.00020141
Garrett	0.135	4.827	11.827	0.181	5.53	5.53	4.63e-06	0.00016552	0.00040555	6.21e-06	0.00018962	0.00018962
Worcester	2.503	87.363	223.363	0.269	6.851	11.851	4.83e-05	0.0016858	0.00431011	5.19e-06	0.0001322	0.00022868
Talbot	0.878	33.819	101.819	0.0	0.0	1.0	2.375e-05	0.00091482	0.00275425	0.0	0.0	2.705e-05
Harford	4.045	198.747	876.747	0.4	16.944	49.944	1.593e-05	0.0007826	0.00345236	1.58e-06	6.672e-05	0.00019666
Kent	6.117	150.088	288.088	6.943	94.391	108.391	0.00031559	0.00774328	0.01486292	0.0003582	0.00486978	0.00559207
Howard	11.019	452.412	1804.412	0.931	31.766	74.766	3.409e-05	0.00139981	0.00558303	2.88e-06	9.829e-05	0.00023133
Dorchester	0.921	45.026	156.026	0.0	0.0	2.0	2.878e-05	0.00140715	0.00487612	0.0	0.0	6.25e-05
Unassigned	0.66	25.846	114.846	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Wicomico	60.485	1358.866	2159.866	7.441	87.906	107.906	0.00058612	0.01316794	0.02092995	7.211e-05	0.00085184	0.00104565
Charles	7.043	256.482	1100.482	0.399	14.239	76.239	4.361e-05	0.00158809	0.006814	2.47e-06	8.817e-05	0.00047206
Baltimore	43.014	1534.441	6083.441	4.222	140.687	380.687	5.192e-05	0.00185223	0.00734333	5.1e-06	0.00016982	0.00045953
Saint Mary's	5.398	192.558	498.558	0.277	7.322	17.322	4.791e-05	0.00170914	0.00442518	2.46e-06	6.499e-05	0.00015375
Cecil	15.484	394.748	702.748	2.531	36.936	53.936	0.00015058	0.00383899	0.00683434	2.461e-05	0.00035921	0.00052454
Carroll	5.947	207.613	840.613	0.0	6.488	72.488	3.531e-05	0.00123264	0.0049909	0.0	3.852e-05	0.00043038
Allegany	0.009	14.388	174.388	0.006	1.293	14.293	1.3e-07	0.00020272	0.00245703	8e-08	1.822e-05	0.00020138
Anne Arundel	34.152	1218.315	4019.315	1.623	57.911	198.911	5.929e-05	0.00211502	0.0069776	2.82e-06	0.00010053	0.00034531
