Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Somerset	0.014	23.196	106.196	0.0	0.014	3.014	5.5e-07	0.00090345	0.00413616	0.0	5.5e-07	0.00011739
Montgomery	0.0	670.05	14749.05	0.006	107.06	827.06	0.0	0.00063659	0.01401246	1e-08	0.00010171	0.00078576
Queen Anne's	0.03	59.25	264.25	0.034	22.562	36.562	6e-07	0.00117908	0.0052586	6.8e-07	0.00044899	0.00072759
Frederick	0.029	490.212	2883.212	0.0	4.32	120.32	1.1e-07	0.00191753	0.01127805	0.0	1.69e-05	0.00047065
Washington	0.076	148.327	751.327	0.067	45.122	70.122	5e-07	0.00098278	0.00497812	4.4e-07	0.00029897	0.00046461
Calvert	0.031	75.165	469.165	0.02	14.677	37.677	3.4e-07	0.00081698	0.00509945	2.2e-07	0.00015953	0.00040952
Garrett	0.0	0.0	10.0	0.02	14.677	14.677	0.0	0.0	0.0003429	6.9e-07	0.00050327	0.00050327
Worcester	0.01	75.663	346.663	0.01	10.104	27.104	1.9e-07	0.00146003	0.00668937	1.9e-07	0.00019497	0.00052301
Talbot	0.002	12.95	127.95	0.0	0.0	4.0	5e-08	0.0003503	0.0034611	0.0	0.0	0.0001082
Harford	0.002	148.025	1204.025	0.001	11.978	72.978	1e-08	0.00058288	0.00474108	0.0	4.717e-05	0.00028736
Kent	0.0	10.37	203.37	0.0	9.498	32.498	0.0	0.000535	0.01049218	0.0	0.00049002	0.00167662
Howard	0.0	17.637	2440.637	0.003	20.605	100.605	0.0	5.457e-05	0.00755157	1e-08	6.375e-05	0.00031128
Dorchester	0.23	154.238	337.238	0.0	0.0	4.0	7.19e-06	0.00482024	0.01053935	0.0	0.0	0.00012501
Unassigned	2.363	806.755	834.755	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Wicomico	0.018	137.032	1180.032	0.022	21.391	58.391	1.7e-07	0.00132789	0.01143497	2.1e-07	0.00020729	0.00056583
Charles	0.0	134.455	1447.455	0.001	8.783	94.783	0.0	0.00083252	0.0089624	1e-08	5.438e-05	0.00058688
Baltimore	0.044	1228.118	8765.118	0.003	96.543	547.543	5e-08	0.00148246	0.01058038	0.0	0.00011654	0.00066094
Carroll	0.029	142.399	1172.399	0.002	13.172	122.172	1.7e-07	0.00084545	0.00696079	1e-08	7.821e-05	0.00072536
Anne Arundel	0.197	1515.547	6419.547	0.0	11.214	211.214	3.4e-07	0.00263102	0.01114445	0.0	1.947e-05	0.00036667
