Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Hampden	465.252	5403.012	0.00098904	0.01148585
Middlesex	293.29	6789.208	0.00018164	0.00420459
Norfolk	61.911	1768.452	8.777e-05	0.00250706
Worcester	102.399	2370.37	0.00012325	0.00285298
Hampshire	20.329	371.652	0.00012599	0.00230332
Bristol	96.539	2154.623	0.00017116	0.0038201
Unassigned	-154.794	-1325.088	N/A	N/A
Plymouth	177.49	3619.119	0.00034256	0.00698494
Essex	113.084	2975.56	0.00014303	0.00376349
Berkshire	4.596	148.313	3.638e-05	0.00117385
Franklin	4.844	123.63	6.826e-05	0.00174218
Barnstable	9.782	292.331	4.584e-05	0.00136979
Suffolk	382.851	8191.595	0.00047426	0.01014751
