Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Hampden	1.001	1390.085	7658.085	1.045	503.015	1112.015	2.13e-06	0.00295507	0.01627973	2.22e-06	0.00106932	0.00236395
Middlesex	7.203	6195.967	28680.967	0.72	569.826	2258.826	4.46e-06	0.00383719	0.01776226	4.5e-07	0.0003529	0.0013989
Norfolk	124.717	30193.173	38818.173	0.2	202.77	1056.77	0.00017681	0.04280364	0.05503095	2.8e-07	0.00028746	0.00149814
Worcester	1.947	2704.413	14233.413	0.108	289.99	1095.99	2.34e-06	0.00325504	0.01713137	1.3e-07	0.00034903	0.00131914
Brockton	0.0	0.0	0.0	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Hampshire	0.102	142.299	1036.299	0.031	37.649	131.649	6.3e-07	0.0008819	0.00642248	1.9e-07	0.00023333	0.0008159
Bristol	1.655	2298.639	9806.639	0.13	180.407	632.407	2.93e-06	0.00407544	0.01738698	2.3e-07	0.00031986	0.00112125
Unassigned	0.026	36.42	346.42	0.073	42.04	52.04	N/A	N/A	N/A	N/A	N/A	N/A
Plymouth	2.199	2054.731	10336.731	0.036	145.99	724.99	4.24e-06	0.00396565	0.01995	7e-08	0.00028176	0.00139924
Essex	3.875	3934.363	18903.363	0.66	480.495	1466.495	4.9e-06	0.00497619	0.023909	8.3e-07	0.00060773	0.00185482
Berkshire	0.065	104.884	672.884	0.015	9.509	49.509	5.1e-07	0.00083012	0.00532564	1.2e-07	7.526e-05	0.00039185
Franklin	0.256	130.493	467.493	0.019	5.065	52.065	3.61e-06	0.00183889	0.00658784	2.7e-07	7.138e-05	0.00073369
Dukes and Nantucket	5.434	1024.955	1079.955	0.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
Barnstable	0.359	397.693	1840.693	0.0	9.212	130.212	1.68e-06	0.00186349	0.00862503	0.0	4.317e-05	0.00061014
Suffolk	4.672	4018.638	22808.638	0.172	190.352	1103.352	5.79e-06	0.00497817	0.02825467	2.1e-07	0.0002358	0.0013668
Dukes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nantucket	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
