Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Middlesex	51.27	1329.301	1356.982	0.0	11.99	628.543	3.175e-05	0.00082324	0.00084039	0.0	7.43e-06	0.00038926
Norfolk	29.007	752.064	752.66	1.463	37.934	186.575	4.112e-05	0.00106617	0.00106702	2.07e-06	5.378e-05	0.0002645
Worcester	27.312	708.121	719.472	0.0	3.525	254.586	3.287e-05	0.0008523	0.00086596	0.0	4.24e-06	0.00030642
Hampshire	0.0	3.496	5.238	0.002	1.607	43.111	0.0	2.167e-05	3.246e-05	1e-08	9.96e-06	0.00026718
Bristol	17.94	465.13	465.985	0.0	4.345	141.959	3.181e-05	0.00082467	0.00082618	0.0	7.7e-06	0.00025169
Plymouth	17.681	458.427	464.63	0.0	6.199	151.206	3.412e-05	0.00088477	0.00089674	0.0	1.196e-05	0.00029183
Essex	23.715	614.874	631.829	0.183	6.493	426.431	2.999e-05	0.00077769	0.00079914	2.3e-07	8.21e-06	0.00053935
Berkshire	0.0	3.929	664.929	0.122	3.152	3.847	0.0	3.11e-05	0.00526268	9.7e-07	2.495e-05	3.045e-05
Franklin	0.0	0.507	389.507	4.3	33.737	98.737	0.0	7.14e-06	0.00548887	6.059e-05	0.00047542	0.00139139
Dukes and Nantucket	0.381	9.876	9.882	0.424	10.986	12.688	N/A	N/A	N/A	N/A	N/A	N/A
Barnstable	4.882	126.589	126.618	0.576	11.558	21.16	2.288e-05	0.00059316	0.0005933	2.7e-06	5.416e-05	9.915e-05
Suffolk	16.437	426.162	454.235	0.016	0.583	617.368	2.036e-05	0.00052792	0.00056269	2e-08	7.2e-07	0.00076478
