Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-23	0.364	26.364	0.0	1.0
2020-06-24	0.45	26.814	0.0	1.0
2020-06-25	0.553	27.367	0.0	1.0
2020-06-26	0.668	28.035	0.0	1.0
2020-06-27	0.791	28.826	0.0	1.0
2020-06-28	0.934	29.76	0.0	1.0
2020-06-29	1.103	30.863	0.0	1.0
2020-06-30	1.304	32.167	0.0	1.0
2020-07-01	1.54	33.707	0.0	1.0
2020-07-02	1.815	35.522	0.0	1.0
2020-07-03	2.126	37.648	0.0	1.0
2020-07-04	2.471	40.119	0.0	1.0
2020-07-05	2.846	42.965	0.0	1.0
2020-07-06	3.258	46.223	0.0	1.0
2020-07-07	3.695	49.918	0.0	1.0
2020-07-08	4.145	54.063	0.0	1.0
2020-07-09	4.6	58.663	0.0	1.0
2020-07-10	5.053	63.716	0.0	1.0
2020-07-11	5.51	69.226	0.0	1.0
2020-07-12	5.985	75.211	0.0	1.0
2020-07-13	6.509	81.72	0.0	1.0
2020-07-14	7.032	88.752	0.0	1.0
2020-07-15	7.538	96.29	0.0	1.0
2020-07-16	7.967	104.257	0.0	1.0
2020-07-17	8.301	112.558	0.0	1.0
2020-07-18	8.493	121.051	0.0	1.0
2020-07-19	8.602	129.653	0.0	1.0
2020-07-20	8.633	138.286	0.0	1.0
2020-07-21	8.616	146.902	0.0	1.0
2020-07-22	8.537	155.439	0.0	1.0
2020-07-23	8.426	163.865	0.0	1.0
2020-07-24	8.299	172.164	0.0	1.0
2020-07-25	8.139	180.303	0.0	1.0
2020-07-26	7.947	188.25	0.0	1.0
2020-07-27	7.74	195.99	0.0	1.0
2020-07-28	7.533	203.523	0.0	1.0
2020-07-29	7.328	210.851	0.0	1.0
2020-07-30	7.139	217.99	0.0	1.0
2020-07-31	6.965	224.955	0.0	1.0
2020-08-01	6.789	231.744	0.0	1.0
2020-08-02	6.597	238.341	0.0	1.0
2020-08-03	6.387	244.728	0.0	1.0
2020-08-04	6.162	250.89	0.0	1.0
2020-08-05	5.921	256.811	0.0	1.0
2020-08-06	5.68	262.491	0.0	1.0
2020-08-07	5.439	267.93	0.0	1.0
2020-08-08	5.201	273.131	0.0	1.0
2020-08-09	4.967	278.098	0.0	1.0
2020-08-10	4.741	282.839	0.0	1.0
2020-08-11	4.517	287.356	0.0	1.0
2020-08-12	4.299	291.655	0.0	1.0
2020-08-13	4.087	295.742	0.0	1.0
2020-08-14	3.882	299.624	0.0	1.0
2020-08-15	3.683	303.307	0.0	1.0
2020-08-16	3.494	306.801	0.0	1.0
2020-08-17	3.313	310.114	0.0	1.0
2020-08-18	3.14	313.254	0.0	1.0
2020-08-19	2.974	316.228	0.0	1.0
2020-08-20	2.814	319.042	0.0	1.0
2020-08-21	2.658	321.7	0.0	1.0
2020-08-22	2.506	324.206	0.0	1.0
2020-08-23	2.355	326.561	0.0	1.0
2020-08-24	2.204	328.765	0.0	1.0
2020-08-25	2.052	330.817	0.0	1.0
2020-08-26	1.904	332.721	0.0	1.0
2020-08-27	1.766	334.487	0.0	1.0
2020-08-28	1.644	336.131	0.0	1.0
2020-08-29	1.539	337.67	0.0	1.0
2020-08-30	1.448	339.118	0.0	1.0
2020-08-31	1.369	340.487	0.0	1.0
2020-09-01	1.296	341.783	0.0	1.0
2020-09-02	1.224	343.007	0.0	1.0
2020-09-03	1.151	344.158	0.0	1.0
2020-09-04	1.079	345.237	0.0	1.0
2020-09-05	1.006	346.243	0.0	1.0
2020-09-06	0.935	347.178	0.0	1.0
2020-09-07	0.87	348.048	0.0	1.0
2020-09-08	0.811	348.859	0.0	1.0
2020-09-09	0.759	349.618	0.0	1.0
2020-09-10	0.712	350.33	0.0	1.0
2020-09-11	0.669	350.999	0.0	1.0
2020-09-12	0.627	351.626	0.0	1.0
2020-09-13	0.585	352.211	0.0	1.0
2020-09-14	0.543	352.754	0.0	1.0
2020-09-15	0.5	353.254	0.0	1.0
2020-09-16	0.458	353.712	0.0	1.0
2020-09-17	0.416	354.128	0.0	1.0
2020-09-18	0.374	354.502	0.0	1.0
2020-09-19	0.336	354.838	0.0	1.0
2020-09-20	0.301	355.139	0.0	1.0
2020-09-21	0.269	355.408	0.0	1.0
2020-09-22	0.239	355.647	0.0	1.0
2020-09-23	0.212	355.859	0.0	1.0
2020-09-24	0.184	356.043	0.0	1.0
2020-09-25	0.157	356.2	0.0	1.0
2020-09-26	0.129	356.329	0.0	1.0
2020-09-27	0.101	356.43	0.0	1.0
2020-09-28	0.072	356.502	0.0	1.0
2020-09-29	0.046	356.548	0.0	1.0
2020-09-30	0.028	356.576	0.0	1.0
2020-10-01	0.018	356.594	0.0	1.0
2020-10-02	0.012	356.606	0.0	1.0
2020-10-03	0.008	356.614	0.0	1.0
2020-10-04	0.007	356.621	0.0	1.0
2020-10-05	0.005	356.626	0.0	1.0
2020-10-06	0.004	356.63	0.0	1.0
2020-10-07	0.003	356.633	0.0	1.0
2020-10-08	0.002	356.635	0.0	1.0
2020-10-09	0.002	356.637	0.0	1.0
