Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-22	0.787	29.787	0.0	0.0
2020-05-23	0.751	30.538	0.0	0.0
2020-05-24	0.717	31.255	0.0	0.0
2020-05-25	0.683	31.938	0.0	0.0
2020-05-26	0.65	32.588	0.0	0.0
2020-05-27	0.618	33.206	0.0	0.0
2020-05-28	0.587	33.793	0.0	0.0
2020-05-29	0.557	34.35	0.0	0.0
2020-05-30	0.528	34.878	0.0	0.0
2020-05-31	0.501	35.379	0.0	0.0
2020-06-01	0.475	35.854	0.0	0.0
2020-06-02	0.45	36.304	0.0	0.0
2020-06-03	0.426	36.73	0.0	0.0
2020-06-04	0.402	37.132	0.0	0.0
2020-06-05	0.379	37.511	0.0	0.0
2020-06-06	0.356	37.867	0.0	0.0
2020-06-07	0.333	38.2	0.0	0.0
2020-06-08	0.31	38.51	0.0	0.0
2020-06-09	0.288	38.798	0.0	0.0
2020-06-10	0.267	39.065	0.0	0.0
2020-06-11	0.249	39.314	0.0	0.0
2020-06-12	0.233	39.547	0.0	0.0
2020-06-13	0.219	39.766	0.0	0.0
2020-06-14	0.207	39.973	0.0	0.0
2020-06-15	0.196	40.169	0.0	0.0
2020-06-16	0.185	40.354	0.0	0.0
2020-06-17	0.174	40.528	0.0	0.0
2020-06-18	0.163	40.691	0.0	0.0
2020-06-19	0.152	40.843	0.0	0.0
2020-06-20	0.141	40.984	0.0	0.0
2020-06-21	0.132	41.116	0.0	0.0
2020-06-22	0.123	41.239	0.0	0.0
2020-06-23	0.115	41.354	0.0	0.0
2020-06-24	0.108	41.462	0.0	0.0
2020-06-25	0.101	41.563	0.0	0.0
2020-06-26	0.095	41.658	0.0	0.0
2020-06-27	0.088	41.746	0.0	0.0
2020-06-28	0.082	41.828	0.0	0.0
2020-06-29	0.076	41.904	0.0	0.0
2020-06-30	0.069	41.973	0.0	0.0
2020-07-01	0.063	42.036	0.0	0.0
2020-07-02	0.057	42.093	0.0	0.0
2020-07-03	0.051	42.144	0.0	0.0
2020-07-04	0.046	42.19	0.0	0.0
2020-07-05	0.041	42.231	0.0	0.0
2020-07-06	0.036	42.267	0.0	0.0
2020-07-07	0.032	42.299	0.0	0.0
2020-07-08	0.028	42.327	0.0	0.0
2020-07-09	0.024	42.351	0.0	0.0
2020-07-10	0.02	42.371	0.0	0.0
2020-07-11	0.015	42.386	0.0	0.0
2020-07-12	0.011	42.397	0.0	0.0
2020-07-13	0.007	42.404	0.0	0.0
2020-07-14	0.004	42.408	0.0	0.0
2020-07-15	0.003	42.411	0.0	0.0
2020-07-16	0.002	42.413	0.0	0.0
2020-07-17	0.001	42.414	0.0	0.0
2020-07-18	0.001	42.415	0.0	0.0
2020-07-19	0.001	42.416	0.0	0.0
2020-07-20	0.001	42.417	0.0	0.0
2020-07-21	0.0	42.417	0.0	0.0
2020-07-22	0.0	42.417	0.0	0.0
2020-07-23	0.0	42.417	0.0	0.0
2020-07-24	0.0	42.417	0.0	0.0
2020-07-25	0.0	42.417	0.0	0.0
2020-07-26	0.0	42.417	0.0	0.0
2020-07-27	0.0	42.417	0.0	0.0
2020-07-28	0.0	42.417	0.0	0.0
2020-07-29	0.0	42.417	0.0	0.0
2020-07-30	0.0	42.417	0.0	0.0
2020-07-31	0.0	42.417	0.0	0.0
2020-08-01	0.0	42.417	0.0	0.0
2020-08-02	0.0	42.417	0.0	0.0
2020-08-03	0.0	42.417	0.0	0.0
2020-08-04	0.0	42.417	0.0	0.0
2020-08-05	0.0	42.417	0.0	0.0
2020-08-06	0.0	42.417	0.0	0.0
2020-08-07	0.0	42.417	0.0	0.0
2020-08-08	0.0	42.417	0.0	0.0
2020-08-09	0.0	42.417	0.0	0.0
2020-08-10	0.0	42.417	0.0	0.0
2020-08-11	0.0	42.417	0.0	0.0
2020-08-12	0.0	42.417	0.0	0.0
2020-08-13	0.0	42.417	0.0	0.0
2020-08-14	0.0	42.417	0.0	0.0
2020-08-15	0.0	42.417	0.0	0.0
2020-08-16	0.0	42.417	0.0	0.0
2020-08-17	0.0	42.417	0.0	0.0
2020-08-18	0.0	42.417	0.0	0.0
2020-08-19	0.0	42.417	0.0	0.0
2020-08-20	0.0	42.417	0.0	0.0
2020-08-21	0.0	42.417	0.0	0.0
2020-08-22	0.0	42.417	0.0	0.0
2020-08-23	0.0	42.417	0.0	0.0
2020-08-24	0.0	42.417	0.0	0.0
2020-08-25	0.0	42.417	0.0	0.0
2020-08-26	0.0	42.417	0.0	0.0
2020-08-27	0.0	42.417	0.0	0.0
2020-08-28	0.0	42.417	0.0	0.0
2020-08-29	0.0	42.417	0.0	0.0
2020-08-30	0.0	42.417	0.0	0.0
