Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Schoolcraft	0.0	0.0	4.0	0.008	222.263	222.263	0.0	0.0	0.00049579	9.9e-07	0.02754871	0.02754871
Eaton	15.915	3878.004	4192.004	0.0	0.0	7.0	0.00014491	0.03531044	0.0381695	0.0	0.0	6.374e-05
Delta	0.0	0.0	21.0	0.158	38.51	41.51	0.0	0.0	0.00058566	4.41e-06	0.00107399	0.00115765
Wayne	1.251	2009.952	24630.952	0.014	67.769	2777.769	7.1e-07	0.00114599	0.01404359	1e-08	3.864e-05	0.00158377
Wexford	0.001	4.731	25.731	0.0	0.0	3.0	3e-08	0.00014137	0.00076887	0.0	0.0	8.964e-05
Roscommon	0.0	0.62	26.62	0.0	0.0	0.0	0.0	2.596e-05	0.00111455	0.0	0.0	0.0
Antrim	0.006	11.485	29.485	0.0	0.0	0.0	2.6e-07	0.00049155	0.00126193	0.0	0.0	0.0
Saginaw	1.227	752.676	2020.676	0.006	12.247	135.247	6.43e-06	0.00394484	0.01059055	3e-08	6.419e-05	0.00070884
Houghton	0.002	11.373	22.373	0.006	12.247	12.247	6e-08	0.00031401	0.00061771	1.7e-07	0.00033814	0.00033814
Alpena	0.005	8.763	126.763	0.0	0.0	11.0	1.8e-07	0.00030899	0.00446978	0.0	0.0	0.00038787
Van Buren	0.008	38.053	263.053	0.0	0.0	7.0	1.1e-07	0.00050436	0.00348655	0.0	0.0	9.278e-05
Macomb	0.081	383.793	7680.793	0.0	1.724	908.724	9e-08	0.00043874	0.00878047	0.0	1.97e-06	0.00103883
Michigan Department of Corrections (MDOC)	0.032	100.445	4204.445	0.0	0.0	68.0	N/A	N/A	N/A	N/A	N/A	N/A
Lapeer	0.162	204.744	492.744	0.0	0.0	31.0	1.84e-06	0.0023259	0.00559758	0.0	0.0	0.00035216
Kalkaska	0.443	107.829	139.829	0.0	0.0	2.0	2.485e-05	0.00604965	0.00784498	0.0	0.0	0.00011221
Branch	0.0	5.318	262.318	0.0	0.0	2.0	0.0	0.00012191	0.00601343	0.0	0.0	4.585e-05
Ogemaw	0.0	0.0	32.0	0.0	0.0	2.0	0.0	0.0	0.0015273	0.0	0.0	9.546e-05
Allegan	0.008	39.183	345.183	0.0	0.0	6.0	7e-08	0.00033396	0.00294206	0.0	0.0	5.114e-05
Federal Correctional Institution (FCI)	0.03	38.109	219.109	0.0	0.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
Mecosta	0.0	1.487	30.487	0.0	0.0	2.0	0.0	3.415e-05	0.00070013	0.0	0.0	4.593e-05
Grand Traverse	0.002	7.541	51.541	0.003	2.35	7.35	2e-08	8.146e-05	0.00055676	3e-08	2.539e-05	7.94e-05
Montmorency	0.0	0.0	5.0	0.003	2.35	2.35	0.0	0.0	0.00053967	3.2e-07	0.00025364	0.00025364
Kalamazoo	0.145	233.503	1296.503	0.002	11.373	78.373	5.5e-07	0.00088158	0.00489487	1e-08	4.294e-05	0.00029589
Sanilac	0.0	2.024	46.024	0.0	0.0	6.0	0.0	4.915e-05	0.00111758	0.0	0.0	0.00014569
Manistee	0.001	8.948	24.948	0.0	0.0	1.0	4e-08	0.00036481	0.00101712	0.0	0.0	4.077e-05
Cass	0.148	106.981	242.981	0.0	0.0	4.0	2.87e-06	0.00207115	0.0047041	0.0	0.0	7.744e-05
Missaukee	0.001	3.154	31.154	0.0	0.0	1.0	7e-08	0.00020869	0.0020614	0.0	0.0	6.617e-05
Bay	2.134	519.893	905.893	0.0	0.295	30.295	2.053e-05	0.00500268	0.00871696	0.0	2.84e-06	0.00029151
Hillsdale	1.215	384.325	577.325	0.0	0.0	25.0	2.656e-05	0.00840073	0.0126194	0.0	0.0	0.00054646
Muskegon	0.012	131.139	938.139	0.0	3.456	53.456	7e-08	0.00075546	0.0054044	0.0	1.991e-05	0.00030795
Monroe	0.635	317.933	920.933	0.0	0.0	21.0	4.22e-06	0.00211337	0.00612164	0.0	0.0	0.00013959
Chippewa	0.0	1.015	6.015	0.0	0.653	0.653	0.0	2.705e-05	0.00016033	0.0	1.741e-05	1.741e-05
Alger	0.0	0.0	3.0	0.0	0.653	0.653	0.0	0.0	0.00032978	0.0	7.178e-05	7.178e-05
Dickinson	0.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0	0.00027578	0.0	0.0	7.879e-05
Washtenaw	0.033	155.927	1825.927	0.0	0.431	104.431	9e-08	0.00042033	0.00492213	0.0	1.16e-06	0.00028151
Isabella	0.013	61.243	183.243	0.0	0.0	8.0	1.8e-07	0.00086793	0.00259691	0.0	0.0	0.00011338
Livingston	0.045	84.705	650.705	0.0	0.0	28.0	2.4e-07	0.00044296	0.00340284	0.0	0.0	0.00014643
Mackinac	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.00074163	0.0	0.0	0.0
Alcona	0.0	0.0	21.0	0.0	0.0	1.0	0.0	0.0	0.00202664	0.0	0.0	9.651e-05
Marquette	0.003	13.17	77.17	0.0	0.0	11.0	5e-08	0.000198	0.00116017	0.0	0.0	0.00016537
Oscoda	2.165	527.592	543.592	0.0	0.0	1.0	0.0002616	0.06374964	0.06568294	0.0	0.0	0.00012083
Lenawee	0.003	16.436	226.436	0.0	0.0	6.0	3e-08	0.00016726	0.00230432	0.0	0.0	6.106e-05
Benzie	0.585	142.485	149.485	0.0	0.0	0.0	3.295e-05	0.00802597	0.00842027	0.0	0.0	0.0
Cheboygan	0.284	69.322	96.322	0.0	0.124	2.124	1.118e-05	0.00272782	0.00379026	0.0	4.88e-06	8.358e-05
