Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Schoolcraft	0.0	0.056	13.056	0.87	155.293	155.293	0.0	6.94e-06	0.00161824	0.00010783	0.01924802	0.01924802
Eaton	0.259	40.622	513.622	0.0	0.0	8.0	2.36e-06	0.00036988	0.00467669	0.0	0.0	7.284e-05
Delta	0.635	85.704	199.704	0.0	0.0	3.0	1.771e-05	0.00239016	0.00556946	0.0	0.0	8.367e-05
Wayne	17.911	2812.49	31923.49	0.0	6.739	2845.739	1.021e-05	0.00160357	0.0182015	0.0	3.84e-06	0.00162253
Roscommon	0.093	14.905	71.905	0.0	0.0	2.0	3.89e-06	0.00062406	0.00301059	0.0	0.0	8.374e-05
Antrim	0.0	0.147	43.147	0.0	0.0	0.0	0.0	6.29e-06	0.00184665	0.0	0.0	0.0
Saginaw	3.978	612.638	2790.638	0.045	7.134	135.134	2.085e-05	0.00321089	0.01462599	2.4e-07	3.739e-05	0.00070825
Houghton	0.046	7.245	61.245	0.045	7.134	7.134	1.27e-06	0.00020003	0.00169096	1.24e-06	0.00019697	0.00019697
Berrien	1.648	258.847	1720.847	0.031	4.829	73.829	1.069e-05	0.00167929	0.01116411	2e-07	3.133e-05	0.00047897
Alpena	0.066	10.395	139.395	0.0	0.0	13.0	2.33e-06	0.00036654	0.0049152	0.0	0.0	0.00045839
Van Buren	1.013	155.98	663.98	0.009	0.925	13.925	1.343e-05	0.00206738	0.0088005	1.2e-07	1.226e-05	0.00018456
Macomb	19.635	3023.673	14339.673	0.018	17.679	972.679	2.245e-05	0.00345658	0.01639271	2e-08	2.021e-05	0.00111194
Michigan Department of Corrections (MDOC)	6.902	1039.633	5933.633	0.0	0.0	69.0	N/A	N/A	N/A	N/A	N/A	N/A
Kalkaska	0.1	15.64	71.64	0.0	0.0	4.0	5.61e-06	0.00087747	0.0040193	0.0	0.0	0.00022442
Branch	0.0	10.177	392.177	0.0	0.0	2.0	0.0	0.0002333	0.00899035	0.0	0.0	4.585e-05
Ogemaw	0.0	0.417	54.417	2.555	93.247	96.247	0.0	1.99e-05	0.00259722	0.00012195	0.00445051	0.00459369
Tuscola	0.828	129.95	514.95	0.002	0.21	29.21	1.577e-05	0.00247448	0.00980558	4e-08	4e-06	0.00055621
Allegan	1.166	157.323	728.323	0.154	12.392	18.392	9.94e-06	0.00134089	0.00620763	1.31e-06	0.00010562	0.00015676
Federal Correctional Institution (FCI)	1.353	49.367	244.367	0.0	0.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
Mecosta	0.0	3.183	77.183	0.0	0.0	2.0	0.0	7.31e-05	0.00177249	0.0	0.0	4.593e-05
Grand Traverse	8.761	528.757	768.757	0.0	0.0	5.0	9.464e-05	0.00571178	0.00830433	0.0	0.0	5.401e-05
Kalamazoo	1.971	309.549	2055.549	0.0	0.378	85.378	7.44e-06	0.00116868	0.0077606	0.0	1.43e-06	0.00032234
Manistee	0.598	56.324	98.324	0.0	0.0	1.0	2.438e-05	0.00229631	0.00400864	0.0	0.0	4.077e-05
Cass	0.758	119.032	480.032	0.059	6.093	21.093	1.467e-05	0.00230445	0.0092934	1.14e-06	0.00011796	0.00040836
Missaukee	0.015	2.309	44.309	0.0	0.0	1.0	9.9e-07	0.00015278	0.00293185	0.0	0.0	6.617e-05
Ontonagon	0.511	62.035	88.035	0.0	0.0	0.0	8.818e-05	0.01070492	0.01519154	0.0	0.0	0.0
Keweenaw	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.00189304	0.0	0.0	0.0
Bay	1.887	296.322	1003.322	0.097	10.085	45.085	1.816e-05	0.00285136	0.00965447	9.3e-07	9.704e-05	0.00043383
Hillsdale	0.463	72.745	355.745	0.0	0.0	25.0	1.012e-05	0.00159009	0.00777602	0.0	0.0	0.00054646
Muskegon	0.906	152.4	1374.4	0.061	8.238	71.238	5.22e-06	0.00087794	0.0079176	3.5e-07	4.746e-05	0.00041039
Monroe	1.828	287.083	1351.083	0.125	13.026	38.026	1.215e-05	0.0019083	0.00898094	8.3e-07	8.659e-05	0.00025277
Gratiot	0.002	17.721	183.721	0.0	0.0	15.0	5e-08	0.00043649	0.00452526	0.0	0.0	0.00036947
