Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-31	10.726	33.001	0.018	67.639
2020-08-01	10.05	43.051	0.018	67.657
2020-08-02	9.374	52.425	0.017	67.674
2020-08-03	8.697	61.122	0.017	67.691
2020-08-04	8.02	69.142	0.017	67.708
2020-08-05	7.342	76.484	0.016	67.724
2020-08-06	6.664	83.148	0.016	67.74
2020-08-07	6.002	89.15	0.016	67.756
2020-08-08	5.386	94.536	0.015	67.771
2020-08-09	4.823	99.359	0.015	67.786
2020-08-10	4.309	103.668	0.014	67.8
2020-08-11	3.837	107.505	0.014	67.814
2020-08-12	3.393	110.898	0.014	67.828
2020-08-13	2.955	113.853	0.013	67.841
2020-08-14	2.514	116.367	0.013	67.854
2020-08-15	2.069	118.436	0.012	67.866
2020-08-16	1.617	120.053	0.012	67.878
2020-08-17	1.148	121.201	0.011	67.889
2020-08-18	0.739	121.94	0.011	67.9
2020-08-19	0.456	122.396	0.01	67.91
2020-08-20	0.287	122.683	0.01	67.92
2020-08-21	0.19	122.873	0.009	67.929
2020-08-22	0.136	123.009	0.009	67.938
2020-08-23	0.105	123.114	0.008	67.946
2020-08-24	0.084	123.198	0.008	67.954
2020-08-25	0.067	123.265	0.008	67.962
2020-08-26	0.052	123.317	0.007	67.969
2020-08-27	0.039	123.356	0.007	67.976
2020-08-28	0.029	123.385	0.006	67.982
2020-08-29	0.0	123.385	0.006	67.988
2020-08-30	0.0	123.385	0.006	67.994
2020-08-31	0.0	123.385	0.005	67.999
2020-09-01	0.0	123.385	0.005	68.004
2020-09-02	0.0	123.385	0.005	68.009
2020-09-03	0.0	123.385	0.005	68.014
2020-09-04	0.0	123.385	0.004	68.018
2020-09-05	0.0	123.385	0.004	68.022
2020-09-06	0.0	123.385	0.004	68.026
2020-09-07	0.0	123.385	0.003	68.029
2020-09-08	0.0	123.385	0.003	68.032
2020-09-09	0.0	123.385	0.003	68.035
2020-09-10	0.0	123.385	0.003	68.038
2020-09-11	0.0	123.385	0.003	68.041
2020-09-12	0.0	123.385	0.003	68.044
2020-09-13	0.0	123.385	0.002	68.046
2020-09-14	0.0	123.385	0.002	68.048
2020-09-15	0.0	123.385	0.002	68.05
2020-09-16	0.0	123.385	0.002	68.052
2020-09-17	0.0	123.385	0.002	68.054
2020-09-18	0.0	123.385	0.002	68.056
2020-09-19	0.0	123.385	0.002	68.058
2020-09-20	0.0	123.385	0.001	68.059
2020-09-21	0.0	123.385	0.001	68.06
2020-09-22	0.0	123.385	0.001	68.061
2020-09-23	0.0	123.385	0.001	68.062
2020-09-24	0.0	123.385	0.001	68.063
2020-09-25	0.0	123.385	0.001	68.064
2020-09-26	0.0	123.385	0.001	68.065
2020-09-27	0.0	123.385	0.001	68.066
2020-09-28	0.0	123.385	0.001	68.067
2020-09-29	0.0	123.385	0.001	68.068
2020-09-30	0.0	123.385	0.001	68.069
2020-10-01	0.0	123.385	0.001	68.07
2020-10-02	0.0	123.385	0.0	68.07
2020-10-03	0.0	123.385	0.0	68.07
2020-10-04	0.0	123.385	0.0	68.07
2020-10-05	0.0	123.385	0.0	68.07
2020-10-06	0.0	123.385	0.0	68.07
2020-10-07	0.0	123.385	0.0	68.07
2020-10-08	0.0	123.385	0.0	68.07
2020-10-09	0.0	123.385	0.0	68.07
2020-10-10	0.0	123.385	0.0	68.07
2020-10-11	0.0	123.385	0.0	68.07
2020-10-12	0.0	123.385	0.0	68.07
2020-10-13	0.0	123.385	0.0	68.07
2020-10-14	0.0	123.385	0.0	68.07
2020-10-15	0.0	123.385	0.0	68.07
2020-10-16	0.0	123.385	0.0	68.07
2020-10-17	0.0	123.385	0.0	68.07
2020-10-18	0.0	123.385	0.0	68.07
