Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-28	0.898	73.898	10.453	10.453
2020-05-29	0.901	74.799	10.695	21.148
2020-05-30	0.899	75.698	10.832	31.98
2020-05-31	0.891	76.589	10.871	42.851
2020-06-01	0.879	77.468	10.851	53.702
2020-06-02	0.866	78.334	10.751	64.453
2020-06-03	0.849	79.183	10.611	75.064
2020-06-04	0.829	80.012	10.451	85.515
2020-06-05	0.808	80.82	10.25	95.765
2020-06-06	0.786	81.606	10.008	105.773
2020-06-07	0.765	82.371	9.747	115.52
2020-06-08	0.745	83.116	9.487	125.007
2020-06-09	0.727	83.843	9.228	134.235
2020-06-10	0.709	84.552	8.99	143.225
2020-06-11	0.688	85.24	8.772	151.997
2020-06-12	0.667	85.907	8.55	160.547
2020-06-13	0.643	86.55	8.307	168.854
2020-06-14	0.618	87.168	8.044	176.898
2020-06-15	0.593	87.761	7.76	184.658
2020-06-16	0.568	88.329	7.457	192.115
2020-06-17	0.543	88.872	7.153	199.268
2020-06-18	0.518	89.39	6.85	206.118
2020-06-19	0.495	89.885	6.55	212.668
2020-06-20	0.471	90.356	6.256	218.924
2020-06-21	0.449	90.805	5.97	224.894
2020-06-22	0.427	91.232	5.689	230.583
2020-06-23	0.405	91.637	5.414	235.997
2020-06-24	0.384	92.021	5.147	241.144
2020-06-25	0.365	92.386	4.889	246.033
2020-06-26	0.346	92.732	4.638	250.671
2020-06-27	0.328	93.06	4.399	255.07
2020-06-28	0.31	93.37	4.172	259.242
2020-06-29	0.294	93.664	3.954	263.196
2020-06-30	0.277	93.941	3.745	266.941
2020-07-01	0.262	94.203	3.543	270.484
2020-07-02	0.246	94.449	3.348	273.832
2020-07-03	0.23	94.679	3.156	276.988
2020-07-04	0.214	94.893	2.965	279.953
2020-07-05	0.199	95.092	2.775	282.728
2020-07-06	0.184	95.276	2.584	285.312
2020-07-07	0.172	95.448	2.397	287.709
2020-07-08	0.161	95.609	2.224	289.933
2020-07-09	0.151	95.76	2.071	292.004
2020-07-10	0.143	95.903	1.938	293.942
2020-07-11	0.135	96.038	1.823	295.765
2020-07-12	0.128	96.166	1.724	297.489
2020-07-13	0.12	96.286	1.632	299.121
2020-07-14	0.113	96.399	1.541	300.662
2020-07-15	0.105	96.504	1.45	302.112
2020-07-16	0.098	96.602	1.358	303.47
2020-07-17	0.091	96.693	1.267	304.737
2020-07-18	0.085	96.778	1.177	305.914
2020-07-19	0.079	96.857	1.095	307.009
2020-07-20	0.074	96.931	1.022	308.031
2020-07-21	0.07	97.001	0.955	308.986
2020-07-22	0.065	97.066	0.896	309.882
2020-07-23	0.061	97.127	0.843	310.725
2020-07-24	0.057	97.184	0.79	311.515
2020-07-25	0.052	97.236	0.736	312.251
2020-07-26	0.048	97.284	0.683	312.934
2020-07-27	0.043	97.327	0.63	313.564
2020-07-28	0.039	97.366	0.577	314.141
2020-07-29	0.035	97.401	0.524	314.665
2020-07-30	0.031	97.432	0.472	315.137
2020-07-31	0.028	97.46	0.423	315.56
2020-08-01	0.025	97.485	0.379	315.939
2020-08-02	0.022	97.507	0.339	316.278
2020-08-03	0.019	97.526	0.301	316.579
2020-08-04	0.016	97.542	0.267	316.846
2020-08-05	0.013	97.555	0.232	317.078
2020-08-06	0.011	97.566	0.198	317.276
2020-08-07	0.007	97.573	0.163	317.439
2020-08-08	0.005	97.578	0.127	317.566
2020-08-09	0.003	97.581	0.09	317.656
2020-08-10	0.002	97.583	0.058	317.714
2020-08-11	0.001	97.584	0.036	317.75
2020-08-12	0.001	97.585	0.023	317.773
2020-08-13	0.001	97.586	0.015	317.788
2020-08-14	0.001	97.587	0.011	317.799
2020-08-15	0.0	97.587	0.008	317.807
2020-08-16	0.0	97.587	0.007	317.814
2020-08-17	0.0	97.587	0.005	317.819
2020-08-18	0.0	97.587	0.004	317.823
2020-08-19	0.0	97.587	0.003	317.826
2020-08-20	0.0	97.587	0.0	317.826
2020-08-21	0.0	97.587	0.0	317.826
2020-08-22	0.0	97.587	0.0	317.826
2020-08-23	0.0	97.587	0.0	317.826
2020-08-24	0.0	97.587	0.0	317.826
2020-08-25	0.0	97.587	0.0	317.826
2020-08-26	0.0	97.587	0.0	317.826
2020-08-27	0.0	97.587	0.0	317.826
2020-08-28	0.0	97.587	0.0	317.826
2020-08-29	0.0	97.587	0.0	317.826
2020-08-30	0.0	97.587	0.0	317.826
