Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-20	14.133	573.133	0.151	2.151
2020-07-21	13.95	587.083	0.15	2.301
2020-07-22	13.739	600.822	0.148	2.449
2020-07-23	13.474	614.296	0.146	2.595
2020-07-24	13.156	627.452	0.143	2.738
2020-07-25	12.813	640.265	0.139	2.877
2020-07-26	12.471	652.736	0.136	3.013
2020-07-27	12.131	664.867	0.132	3.145
2020-07-28	11.818	676.685	0.129	3.274
2020-07-29	11.531	688.216	0.125	3.399
2020-07-30	11.239	699.455	0.122	3.521
2020-07-31	10.921	710.376	0.119	3.64
2020-08-01	10.574	720.95	0.116	3.756
2020-08-02	10.201	731.151	0.112	3.868
2020-08-03	9.802	740.953	0.108	3.976
2020-08-04	9.404	750.357	0.104	4.08
2020-08-05	9.005	759.362	0.1	4.18
2020-08-06	8.61	767.972	0.095	4.275
2020-08-07	8.224	776.196	0.091	4.366
2020-08-08	7.849	784.045	0.087	4.453
2020-08-09	7.479	791.524	0.083	4.536
2020-08-10	7.118	798.642	0.079	4.615
2020-08-11	6.766	805.408	0.075	4.69
2020-08-12	6.427	811.835	0.072	4.762
2020-08-13	6.098	817.933	0.068	4.83
2020-08-14	5.784	823.717	0.065	4.895
2020-08-15	5.484	829.201	0.061	4.956
2020-08-16	5.199	834.4	0.058	5.014
2020-08-17	4.923	839.323	0.055	5.069
2020-08-18	4.658	843.981	0.052	5.121
2020-08-19	4.401	848.382	0.049	5.17
2020-08-20	4.149	852.531	0.047	5.217
2020-08-21	3.898	856.429	0.044	5.261
2020-08-22	3.648	860.077	0.041	5.302
2020-08-23	3.397	863.474	0.039	5.341
2020-08-24	3.151	866.625	0.036	5.377
2020-08-25	2.923	869.548	0.033	5.41
2020-08-26	2.722	872.27	0.031	5.441
2020-08-27	2.547	874.817	0.029	5.47
2020-08-28	2.397	877.214	0.027	5.497
2020-08-29	2.267	879.481	0.025	5.522
2020-08-30	2.146	881.627	0.024	5.546
2020-08-31	2.026	883.653	0.023	5.569
2020-09-01	1.906	885.559	0.021	5.59
2020-09-02	1.786	887.345	0.02	5.61
2020-09-03	1.665	889.01	0.019	5.629
2020-09-04	1.547	890.557	0.018	5.647
2020-09-05	1.44	891.997	0.016	5.663
2020-09-06	1.343	893.34	0.015	5.678
2020-09-07	1.256	894.596	0.014	5.692
2020-09-08	1.178	895.774	0.013	5.705
2020-09-09	1.108	896.882	0.012	5.717
2020-09-10	1.038	897.92	0.012	5.729
2020-09-11	0.968	898.888	0.011	5.74
2020-09-12	0.898	899.786	0.01	5.75
2020-09-13	0.828	900.614	0.01	5.76
2020-09-14	0.758	901.372	0.009	5.769
2020-09-15	0.688	902.06	0.008	5.777
2020-09-16	0.62	902.68	0.007	5.784
2020-09-17	0.556	903.236	0.007	5.791
2020-09-18	0.498	903.734	0.006	5.797
2020-09-19	0.445	904.179	0.005	5.802
2020-09-20	0.396	904.575	0.005	5.807
2020-09-21	0.35	904.925	0.004	5.811
2020-09-22	0.305	905.23	0.004	5.815
2020-09-23	0.26	905.49	0.003	5.818
2020-09-24	0.214	905.704	0.003	5.821
2020-09-25	0.167	905.871	0.002	5.823
2020-09-26	0.119	905.99	0.002	5.825
2020-09-27	0.076	906.066	0.001	5.826
2020-09-28	0.047	906.113	0.001	5.827
2020-09-29	0.03	906.143	0.0	5.827
2020-09-30	0.02	906.163	0.0	5.827
2020-10-01	0.014	906.177	0.0	5.827
2020-10-02	0.011	906.188	0.0	5.827
2020-10-03	0.009	906.197	0.0	5.827
2020-10-04	0.007	906.204	0.0	5.827
2020-10-05	0.005	906.209	0.0	5.827
2020-10-06	0.004	906.213	0.0	5.827
2020-10-07	0.003	906.216	0.0	5.827
