Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-16	1.284	91.284	0.671	9.671
2020-06-17	1.166	92.45	0.624	10.295
2020-06-18	1.05	93.5	0.582	10.877
2020-06-19	0.942	94.442	0.545	11.422
2020-06-20	0.844	95.286	0.511	11.933
2020-06-21	0.754	96.04	0.48	12.413
2020-06-22	0.671	96.711	0.45	12.863
2020-06-23	0.594	97.305	0.42	13.283
2020-06-24	0.517	97.822	0.39	13.673
2020-06-25	0.44	98.262	0.359	14.032
2020-06-26	0.362	98.624	0.329	14.361
2020-06-27	0.283	98.907	0.299	14.66
2020-06-28	0.201	99.108	0.269	14.929
2020-06-29	0.129	99.237	0.241	15.17
2020-06-30	0.08	99.317	0.216	15.386
2020-07-01	0.05	99.367	0.193	15.579
2020-07-02	0.033	99.4	0.172	15.751
2020-07-03	0.024	99.424	0.152	15.903
2020-07-04	0.018	99.442	0.132	16.035
2020-07-05	0.015	99.457	0.113	16.148
2020-07-06	0.012	99.469	0.093	16.241
2020-07-07	0.009	99.478	0.072	16.313
2020-07-08	0.007	99.485	0.051	16.364
2020-07-09	0.005	99.49	0.033	16.397
2020-07-10	0.0	99.49	0.02	16.417
2020-07-11	0.0	99.49	0.013	16.43
2020-07-12	0.0	99.49	0.008	16.438
2020-07-13	0.0	99.49	0.006	16.444
2020-07-14	0.0	99.49	0.005	16.449
2020-07-15	0.0	99.49	0.004	16.453
2020-07-16	0.0	99.49	0.003	16.456
2020-07-17	0.0	99.49	0.002	16.458
2020-07-18	0.0	99.49	0.002	16.46
2020-07-19	0.0	99.49	0.0	16.46
2020-07-20	0.0	99.49	0.0	16.46
2020-07-21	0.0	99.49	0.0	16.46
2020-07-22	0.0	99.49	0.0	16.46
2020-07-23	0.0	99.49	0.0	16.46
2020-07-24	0.0	99.49	0.0	16.46
2020-07-25	0.0	99.49	0.0	16.46
2020-07-26	0.0	99.49	0.0	16.46
2020-07-27	0.0	99.49	0.0	16.46
2020-07-28	0.0	99.49	0.0	16.46
2020-07-29	0.0	99.49	0.0	16.46
2020-07-30	0.0	99.49	0.0	16.46
2020-07-31	0.0	99.49	0.0	16.46
2020-08-01	0.0	99.49	0.0	16.46
2020-08-02	0.0	99.49	0.0	16.46
2020-08-03	0.0	99.49	0.0	16.46
2020-08-04	0.0	99.49	0.0	16.46
2020-08-05	0.0	99.49	0.0	16.46
2020-08-06	0.0	99.49	0.0	16.46
2020-08-07	0.0	99.49	0.0	16.46
2020-08-08	0.0	99.49	0.0	16.46
2020-08-09	0.0	99.49	0.0	16.46
2020-08-10	0.0	99.49	0.0	16.46
2020-08-11	0.0	99.49	0.0	16.46
2020-08-12	0.0	99.49	0.0	16.46
2020-08-13	0.0	99.49	0.0	16.46
2020-08-14	0.0	99.49	0.0	16.46
2020-08-15	0.0	99.49	0.0	16.46
2020-08-16	0.0	99.49	0.0	16.46
2020-08-17	0.0	99.49	0.0	16.46
2020-08-18	0.0	99.49	0.0	16.46
2020-08-19	0.0	99.49	0.0	16.46
2020-08-20	0.0	99.49	0.0	16.46
2020-08-21	0.0	99.49	0.0	16.46
2020-08-22	0.0	99.49	0.0	16.46
2020-08-23	0.0	99.49	0.0	16.46
2020-08-24	0.0	99.49	0.0	16.46
2020-08-25	0.0	99.49	0.0	16.46
2020-08-26	0.0	99.49	0.0	16.46
2020-08-27	0.0	99.49	0.0	16.46
2020-08-28	0.0	99.49	0.0	16.46
2020-08-29	0.0	99.49	0.0	16.46
2020-08-30	0.0	99.49	0.0	16.46
