Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-20	0.428	45.428	0.389	2.608
2020-07-21	0.424	45.852	0.385	2.993
2020-07-22	0.418	46.27	0.38	3.373
2020-07-23	0.412	46.682	0.374	3.747
2020-07-24	0.404	47.086	0.367	4.114
2020-07-25	0.394	47.48	0.359	4.473
2020-07-26	0.384	47.864	0.349	4.822
2020-07-27	0.374	48.238	0.34	5.162
2020-07-28	0.364	48.602	0.331	5.493
2020-07-29	0.354	48.956	0.322	5.815
2020-07-30	0.346	49.302	0.314	6.129
2020-07-31	0.337	49.639	0.306	6.435
2020-08-01	0.327	49.966	0.298	6.733
2020-08-02	0.317	50.283	0.288	7.021
2020-08-03	0.306	50.589	0.278	7.299
2020-08-04	0.294	50.883	0.267	7.566
2020-08-05	0.282	51.165	0.256	7.822
2020-08-06	0.27	51.435	0.245	8.067
2020-08-07	0.258	51.693	0.235	8.302
2020-08-08	0.246	51.939	0.224	8.526
2020-08-09	0.235	52.174	0.214	8.74
2020-08-10	0.224	52.398	0.204	8.944
2020-08-11	0.213	52.611	0.194	9.138
2020-08-12	0.203	52.814	0.184	9.322
2020-08-13	0.193	53.007	0.175	9.497
2020-08-14	0.183	53.19	0.166	9.663
2020-08-15	0.173	53.363	0.158	9.821
2020-08-16	0.164	53.527	0.149	9.97
2020-08-17	0.156	53.683	0.142	10.112
2020-08-18	0.148	53.831	0.134	10.246
2020-08-19	0.14	53.971	0.127	10.373
2020-08-20	0.132	54.103	0.12	10.493
2020-08-21	0.124	54.227	0.113	10.606
2020-08-22	0.117	54.344	0.106	10.712
2020-08-23	0.109	54.453	0.099	10.811
2020-08-24	0.102	54.555	0.093	10.904
2020-08-25	0.094	54.649	0.086	10.99
2020-08-26	0.088	54.737	0.08	11.07
2020-08-27	0.082	54.819	0.074	11.144
2020-08-28	0.076	54.895	0.069	11.213
2020-08-29	0.072	54.967	0.065	11.278
2020-08-30	0.068	55.035	0.062	11.34
2020-08-31	0.064	55.099	0.058	11.398
2020-09-01	0.061	55.16	0.055	11.453
2020-09-02	0.057	55.217	0.052	11.505
2020-09-03	0.054	55.271	0.049	11.554
2020-09-04	0.05	55.321	0.045	11.599
2020-09-05	0.046	55.367	0.042	11.641
2020-09-06	0.043	55.41	0.039	11.68
2020-09-07	0.04	55.45	0.037	11.717
2020-09-08	0.038	55.488	0.034	11.751
2020-09-09	0.035	55.523	0.032	11.783
2020-09-10	0.033	55.556	0.03	11.813
2020-09-11	0.031	55.587	0.028	11.841
2020-09-12	0.029	55.616	0.026	11.867
2020-09-13	0.027	55.643	0.024	11.891
2020-09-14	0.025	55.668	0.023	11.914
2020-09-15	0.023	55.691	0.021	11.935
2020-09-16	0.021	55.712	0.019	11.954
2020-09-17	0.019	55.731	0.017	11.971
2020-09-18	0.017	55.748	0.015	11.986
2020-09-19	0.015	55.763	0.014	12.0
2020-09-20	0.013	55.776	0.012	12.012
2020-09-21	0.012	55.788	0.011	12.023
2020-09-22	0.011	55.799	0.01	12.033
2020-09-23	0.009	55.808	0.008	12.041
2020-09-24	0.008	55.816	0.007	12.048
2020-09-25	0.006	55.822	0.006	12.054
2020-09-26	0.005	55.827	0.005	12.059
2020-09-27	0.004	55.831	0.003	12.062
2020-09-28	0.002	55.833	0.002	12.064
2020-09-29	0.001	55.834	0.001	12.065
2020-09-30	0.001	55.835	0.001	12.066
2020-10-01	0.001	55.836	0.001	12.067
2020-10-02	0.0	55.836	0.0	12.067
2020-10-03	0.0	55.836	0.0	12.067
2020-10-04	0.0	55.836	0.0	12.067
2020-10-05	0.0	55.836	0.0	12.067
2020-10-06	0.0	55.836	0.0	12.067
2020-10-07	0.0	55.836	0.0	12.067
2020-10-08	0.0	55.836	0.0	12.067
