Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-05	192.92	9059.92	11.178	652.178
2020-06-06	183.606	9243.526	11.075	663.253
2020-06-07	174.536	9418.062	10.931	674.184
2020-06-08	165.796	9583.858	10.766	684.95
2020-06-09	157.296	9741.154	10.559	695.509
2020-06-10	149.192	9890.346	10.309	705.818
2020-06-11	141.466	10031.812	10.041	715.859
2020-06-12	134.101	10165.913	9.773	725.632
2020-06-13	127.004	10292.917	9.506	735.138
2020-06-14	120.161	10413.078	9.261	744.399
2020-06-15	113.525	10526.603	9.036	753.435
2020-06-16	107.016	10633.619	8.807	762.242
2020-06-17	100.561	10734.18	8.557	770.799
2020-06-18	94.103	10828.283	8.286	779.085
2020-06-19	87.641	10915.924	7.994	787.079
2020-06-20	81.293	10997.217	7.681	794.76
2020-06-21	75.405	11072.622	7.369	802.129
2020-06-22	70.215	11142.837	7.056	809.185
2020-06-23	65.706	11208.543	6.747	815.932
2020-06-24	61.829	11270.372	6.444	822.376
2020-06-25	58.468	11328.84	6.15	828.526
2020-06-26	55.346	11384.186	5.86	834.386
2020-06-27	52.252	11436.438	5.577	839.963
2020-06-28	49.156	11485.594	5.302	845.265
2020-06-29	46.06	11531.654	5.036	850.301
2020-06-30	42.961	11574.615	4.778	855.079
2020-07-01	39.916	11614.531	4.532	859.611
2020-07-02	37.142	11651.673	4.297	863.908
2020-07-03	34.643	11686.316	4.074	867.982
2020-07-04	32.4	11718.716	3.858	871.84
2020-07-05	30.395	11749.111	3.65	875.49
2020-07-06	28.577	11777.688	3.449	878.939
2020-07-07	26.777	11804.465	3.251	882.19
2020-07-08	24.975	11829.44	3.055	885.245
2020-07-09	23.173	11852.613	2.859	888.104
2020-07-10	21.369	11873.982	2.662	890.766
2020-07-11	19.563	11893.545	2.469	893.235
2020-07-12	17.754	11911.299	2.291	895.526
2020-07-13	15.991	11927.29	2.133	897.659
2020-07-14	14.35	11941.64	1.996	899.655
2020-07-15	12.851	11954.491	1.878	901.533
2020-07-16	11.481	11965.972	1.776	903.309
2020-07-17	10.224	11976.196	1.681	904.99
2020-07-18	9.04	11985.236	1.587	906.577
2020-07-19	7.873	11993.109	1.493	908.07
2020-07-20	6.699	11999.808	1.399	909.469
2020-07-21	5.514	12005.322	1.305	910.774
2020-07-22	4.309	12009.631	1.213	911.987
2020-07-23	3.059	12012.69	1.128	913.115
2020-07-24	1.968	12014.658	1.052	914.167
2020-07-25	1.214	12015.872	0.984	915.151
2020-07-26	0.765	12016.637	0.923	916.074
2020-07-27	0.505	12017.142	0.868	916.942
2020-07-28	0.362	12017.504	0.813	917.755
2020-07-29	0.279	12017.783	0.759	918.514
2020-07-30	0.223	12018.006	0.704	919.218
2020-07-31	0.177	12018.183	0.649	919.867
2020-08-01	0.138	12018.321	0.594	920.461
2020-08-02	0.105	12018.426	0.539	921.0
2020-08-03	0.077	12018.503	0.486	921.486
2020-08-04	0.0	12018.503	0.436	921.922
2020-08-05	0.0	12018.503	0.39	922.312
2020-08-06	0.0	12018.503	0.349	922.661
2020-08-07	0.0	12018.503	0.311	922.972
2020-08-08	0.0	12018.503	0.275	923.247
2020-08-09	0.0	12018.503	0.239	923.486
2020-08-10	0.0	12018.503	0.203	923.689
2020-08-11	0.0	12018.503	0.167	923.856
2020-08-12	0.0	12018.503	0.131	923.987
2020-08-13	0.0	12018.503	0.093	924.08
2020-08-14	0.0	12018.503	0.06	924.14
2020-08-15	0.0	12018.503	0.037	924.177
2020-08-16	0.0	12018.503	0.023	924.2
2020-08-17	0.0	12018.503	0.015	924.215
2020-08-18	0.0	12018.503	0.011	924.226
2020-08-19	0.0	12018.503	0.008	924.234
2020-08-20	0.0	12018.503	0.007	924.241
2020-08-21	0.0	12018.503	0.005	924.246
2020-08-22	0.0	12018.503	0.004	924.25
2020-08-23	0.0	12018.503	0.003	924.253
2020-08-24	0.0	12018.503	0.0	924.253
2020-08-25	0.0	12018.503	0.0	924.253
2020-08-26	0.0	12018.503	0.0	924.253
2020-08-27	0.0	12018.503	0.0	924.253
2020-08-28	0.0	12018.503	0.0	924.253
2020-08-29	0.0	12018.503	0.0	924.253
2020-08-30	0.0	12018.503	0.0	924.253
