Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-18	0.0	1.0	2.498	2.498
2020-05-19	0.0	1.0	2.716	5.214
2020-05-20	0.0	1.0	2.935	8.149
2020-05-21	0.0	1.0	3.146	11.295
2020-05-22	0.0	1.0	3.325	14.62
2020-05-23	0.0	1.0	3.464	18.084
2020-05-24	0.0	1.0	3.544	21.628
2020-05-25	0.0	1.0	3.59	25.218
2020-05-26	0.0	1.0	3.603	28.821
2020-05-27	0.0	1.0	3.596	32.417
2020-05-28	0.0	1.0	3.563	35.98
2020-05-29	0.0	1.0	3.516	39.496
2020-05-30	0.0	1.0	3.463	42.959
2020-05-31	0.0	1.0	3.397	46.356
2020-06-01	0.0	1.0	3.316	49.672
2020-06-02	0.0	1.0	3.23	52.902
2020-06-03	0.0	1.0	3.144	56.046
2020-06-04	0.0	1.0	3.058	59.104
2020-06-05	0.0	1.0	2.979	62.083
2020-06-06	0.0	1.0	2.907	64.99
2020-06-07	0.0	1.0	2.833	67.823
2020-06-08	0.0	1.0	2.753	70.576
2020-06-09	0.0	1.0	2.666	73.242
2020-06-10	0.0	1.0	2.572	75.814
2020-06-11	0.0	1.0	2.471	78.285
2020-06-12	0.0	1.0	2.371	80.656
2020-06-13	0.0	1.0	2.27	82.926
2020-06-14	0.0	1.0	2.17	85.096
2020-06-15	0.0	1.0	2.073	87.169
2020-06-16	0.0	1.0	1.979	89.148
2020-06-17	0.0	1.0	1.885	91.033
2020-06-18	0.0	1.0	1.794	92.827
2020-06-19	0.0	1.0	1.706	94.533
2020-06-20	0.0	1.0	1.62	96.153
2020-06-21	0.0	1.0	1.537	97.69
2020-06-22	0.0	1.0	1.458	99.148
2020-06-23	0.0	1.0	1.382	100.53
2020-06-24	0.0	1.0	1.31	101.84
2020-06-25	0.0	1.0	1.241	103.081
2020-06-26	0.0	1.0	1.174	104.255
2020-06-27	0.0	1.0	1.109	105.364
2020-06-28	0.0	1.0	1.046	106.41
2020-06-29	0.0	1.0	0.983	107.393
2020-06-30	0.0	1.0	0.92	108.313
2020-07-01	0.0	1.0	0.856	109.169
2020-07-02	0.0	1.0	0.794	109.963
2020-07-03	0.0	1.0	0.737	110.7
2020-07-04	0.0	1.0	0.686	111.386
2020-07-05	0.0	1.0	0.642	112.028
2020-07-06	0.0	1.0	0.604	112.632
2020-07-07	0.0	1.0	0.571	113.203
2020-07-08	0.0	1.0	0.541	113.744
2020-07-09	0.0	1.0	0.511	114.255
2020-07-10	0.0	1.0	0.48	114.735
2020-07-11	0.0	1.0	0.45	115.185
2020-07-12	0.0	1.0	0.42	115.605
2020-07-13	0.0	1.0	0.39	115.995
2020-07-14	0.0	1.0	0.363	116.358
2020-07-15	0.0	1.0	0.339	116.697
2020-07-16	0.0	1.0	0.317	117.014
2020-07-17	0.0	1.0	0.297	117.311
2020-07-18	0.0	1.0	0.279	117.59
2020-07-19	0.0	1.0	0.262	117.852
2020-07-20	0.0	1.0	0.244	118.096
2020-07-21	0.0	1.0	0.226	118.322
2020-07-22	0.0	1.0	0.209	118.531
2020-07-23	0.0	1.0	0.191	118.722
2020-07-24	0.0	1.0	0.173	118.895
2020-07-25	0.0	1.0	0.156	119.051
2020-07-26	0.0	1.0	0.14	119.191
2020-07-27	0.0	1.0	0.126	119.317
2020-07-28	0.0	1.0	0.112	119.429
2020-07-29	0.0	1.0	0.1	119.529
2020-07-30	0.0	1.0	0.088	119.617
2020-07-31	0.0	1.0	0.077	119.694
2020-08-01	0.0	1.0	0.065	119.759
2020-08-02	0.0	1.0	0.054	119.813
2020-08-03	0.0	1.0	0.042	119.855
2020-08-04	0.0	1.0	0.03	119.885
2020-08-05	0.0	1.0	0.019	119.904
2020-08-06	0.0	1.0	0.012	119.916
2020-08-07	0.0	1.0	0.007	119.923
2020-08-08	0.0	1.0	0.005	119.928
2020-08-09	0.0	1.0	0.004	119.932
2020-08-10	0.0	1.0	0.003	119.935
2020-08-11	0.0	1.0	0.002	119.937
2020-08-12	0.0	1.0	0.002	119.939
2020-08-13	0.0	1.0	0.001	119.94
2020-08-14	0.0	1.0	0.001	119.941
2020-08-15	0.0	1.0	0.0	119.941
2020-08-16	0.0	1.0	0.0	119.941
2020-08-17	0.0	1.0	0.0	119.941
2020-08-18	0.0	1.0	0.0	119.941
2020-08-19	0.0	1.0	0.0	119.941
2020-08-20	0.0	1.0	0.0	119.941
2020-08-21	0.0	1.0	0.0	119.941
2020-08-22	0.0	1.0	0.0	119.941
2020-08-23	0.0	1.0	0.0	119.941
2020-08-24	0.0	1.0	0.0	119.941
2020-08-25	0.0	1.0	0.0	119.941
2020-08-26	0.0	1.0	0.0	119.941
2020-08-27	0.0	1.0	0.0	119.941
2020-08-28	0.0	1.0	0.0	119.941
2020-08-29	0.0	1.0	0.0	119.941
2020-08-30	0.0	1.0	0.0	119.941
