Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Wright	2.589	189.908	521.908	1.028	16.813	18.813	1.899e-05	0.00139281	0.00382774	7.54e-06	0.00012331	0.00013798
Brown	0.181	11.652	28.652	0.0	0.0	2.0	7.21e-06	0.00046402	0.00114101	0.0	0.0	7.965e-05
Winona	0.001	3.238	83.238	0.0	0.0	15.0	2e-08	6.371e-05	0.00163774	0.0	0.0	0.00029513
Nobles	3.238	212.94	1770.94	0.319	15.388	20.388	0.00014769	0.00971264	0.08077632	1.455e-05	0.00070188	0.00092994
Todd	4.927	350.177	680.177	0.319	15.388	15.388	0.00020043	0.01424526	0.02766972	1.298e-05	0.00062599	0.00062599
Cottonwood	1.503	66.4	143.4	0.319	15.388	15.388	0.00013328	0.00588809	0.01271615	2.829e-05	0.00136455	0.00136455
Lincoln	0.0	0.036	6.036	0.319	15.388	15.388	0.0	6.35e-06	0.00106399	5.623e-05	0.0027125	0.0027125
Freeborn	1.579	99.036	229.036	0.319	15.388	15.388	5.187e-05	0.00325305	0.00752319	1.048e-05	0.00050545	0.00050545
Crow Wing	1.016	65.268	140.268	0.103	4.773	8.773	1.566e-05	0.00100584	0.00216166	1.59e-06	7.356e-05	0.0001352
LeSeur	0.0	0.0	0.0	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Norman	6.268	102.561	116.561	0.103	4.773	4.773	0.00096803	0.01583954	0.0180017	1.591e-05	0.00073714	0.00073714
Roseau	0.109	5.47	8.47	0.103	4.773	4.773	7.19e-06	0.00036106	0.00055908	6.8e-06	0.00031505	0.00031505
Washington	2.807	266.188	936.188	0.136	11.497	44.497	1.083e-05	0.00102696	0.00361182	5.2e-07	4.436e-05	0.00017167
Pipestone	5.549	90.788	102.788	0.136	11.497	11.497	0.00061335	0.01003515	0.01136156	1.503e-05	0.00127081	0.00127081
Goodhue	0.0	13.528	83.528	0.003	10.584	14.584	0.0	0.00029153	0.00180006	6e-08	0.00022809	0.00031429
Watonwan	1.051	67.504	145.504	0.003	10.584	10.584	9.572e-05	0.00614791	0.01325173	2.7e-07	0.00096393	0.00096393
Sherburne	1.457	95.82	343.82	0.026	1.678	3.678	1.517e-05	0.00099775	0.00358012	2.7e-07	1.747e-05	3.83e-05
Stevens	0.0	0.0	1.0	0.026	1.678	1.678	0.0	0.0	0.00010253	2.67e-06	0.00017205	0.00017205
Rice	0.0	123.051	603.051	0.0	0.0	2.0	0.0	0.00184975	0.0090653	0.0	0.0	3.006e-05
Sibley	0.253	14.642	30.642	0.0	0.0	0.0	1.684e-05	0.00097431	0.00203899	0.0	0.0	0.0
Martin	1.78	60.886	192.886	0.0	0.0	5.0	8.997e-05	0.00307738	0.0097491	0.0	0.0	0.00025272
Steele	0.542	46.039	213.039	0.0	0.0	0.0	1.473e-05	0.00125096	0.00578863	0.0	0.0	0.0
Cass	0.128	8.205	20.205	0.02	1.306	3.306	4.34e-06	0.00027796	0.00068447	6.8e-07	4.424e-05	0.000112
Saint Louis	0.344	22.099	140.099	0.141	6.541	20.541	1.72e-06	0.00011063	0.00070136	7.1e-07	3.275e-05	0.00010283
Big Stone	7.501	122.733	130.733	0.141	6.541	6.541	0.00150351	0.02460072	0.02620425	2.826e-05	0.00131108	0.00131108
Lyon	30.044	651.953	722.953	0.0	0.0	1.0	0.00117227	0.0254381	0.0282084	0.0	0.0	3.902e-05
Chippewa	0.602	34.918	85.918	0.0	0.0	1.0	5.049e-05	0.00292838	0.00720547	0.0	0.0	8.386e-05
Douglas	0.66	42.422	86.422	0.0	0.0	0.0	1.738e-05	0.00111743	0.00227642	0.0	0.0	0.0
Mahnomen	3.494	57.164	63.164	0.0	0.0	1.0	0.00063309	0.01035767	0.01144483	0.0	0.0	0.00018119
Faribault	9.044	196.245	216.245	0.0	0.0	0.0	0.00065736	0.01426406	0.01571776	0.0	0.0	0.0
Anoka	0.126	366.154	1836.154	1.029	57.859	130.859	3.6e-07	0.00103488	0.00518962	2.91e-06	0.00016353	0.00036985
Pennington	0.457	29.369	50.369	1.029	57.859	57.859	3.223e-05	0.00207145	0.00355262	7.258e-05	0.0040809	0.0040809
Red Lake	0.049	3.17	7.17	1.029	57.859	57.859	1.225e-05	0.0007927	0.00179295	0.00025731	0.01446837	0.01446837
Aitkin	0.098	6.589	17.589	1.029	57.859	57.859	6.16e-06	0.00041435	0.00110609	6.471e-05	0.00363847	0.00363847
Yellow Medicine	0.0	0.272	6.272	1.029	57.859	57.859	0.0	2.777e-05	0.00064033	0.00010505	0.00590699	0.00590699
Benton	0.0	11.753	192.753	0.109	5.47	8.47	0.0	0.00028988	0.00475405	2.69e-06	0.00013491	0.0002089
Houston	0.0	0.0	2.0	0.109	5.47	5.47	0.0	0.0	0.00010765	5.87e-06	0.00029443	0.00029443
Hubbard	0.0	0.0	3.0	0.109	5.47	5.47	0.0	0.0	0.00014063	5.11e-06	0.00025642	0.00025642
Nicollet	0.319	39.995	127.995	0.133	12.628	22.628	9.32e-06	0.00116876	0.00374036	3.89e-06	0.00036902	0.00066125
Dakota	5.447	518.078	1906.078	1.283	74.395	133.395	1.28e-05	0.00121779	0.00448043	3.02e-06	0.00017487	0.00031356
Scott	2.276	187.6	642.6	0.0	0.0	2.0	1.544e-05	0.00127289	0.00436013	0.0	0.0	1.357e-05
Pine	0.243	15.275	105.275	0.0	0.0	0.0	8.24e-06	0.0005181	0.0035707	0.0	0.0	0.0
Meeker	0.12	8.55	53.55	0.0	0.0	0.0	5.19e-06	0.00036947	0.00231407	0.0	0.0	0.0
Koochiching	0.131	8.392	17.392	0.0	0.0	0.0	1.053e-05	0.0006746	0.00139807	0.0	0.0	0.0
Blue Earth	1.583	94.392	242.392	0.0	0.0	1.0	2.348e-05	0.00139991	0.00359488	0.0	0.0	1.483e-05
