Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Red Lake	26.0	0.0	0.0	26.0	0.00650163	0.0	130.0	52.0	32.5	0.03250815	0.01300326	0.0081270375
Goodhue	217.0	9.0	0.0	208.0	0.00467642	0.00019395	3000.0	1384.61538462	900.0	0.06465	0.0298384615385	0.019395
Olmsted	1851.0	23.0	0.0	1828.0	0.01184435	0.00014717	7666.66666667	3538.46153846	2300.0	0.0490566666667	0.0226415384615	0.014717
Pine	132.0	0.0	0.0	132.0	0.00447716	0.0	660.0	264.0	165.0	0.0223858	0.00895432	0.00559645
Mower	1128.0	3.0	0.0	1125.0	0.02819225	7.498e-05	1000.0	461.538461538	300.0	0.0249933333333	0.0115353846154	0.007498
Nicollet	384.0	13.0	0.0	371.0	0.01122151	0.00037989	4333.33333333	2000.0	1300.0	0.12663	0.0584446153846	0.037989
Dodge	141.0	0.0	0.0	141.0	0.00677168	0.0	705.0	282.0	176.25	0.0338584	0.01354336	0.0084646
Brown	99.0	2.0	0.0	97.0	0.0039425	7.965e-05	666.666666667	307.692307692	200.0	0.02655	0.0122538461538	0.007965
Pennington	75.0	1.0	0.0	74.0	0.00528989	7.053e-05	333.333333333	153.846153846	100.0	0.02351	0.0108507692308	0.007053
Mahnomen	29.0	1.0	0.0	28.0	0.00525458	0.00018119	333.333333333	153.846153846	100.0	0.0603966666667	0.0278753846154	0.018119
Freeborn	374.0	1.0	0.0	373.0	0.01228485	3.285e-05	333.333333333	153.846153846	100.0	0.01095	0.00505384615385	0.003285
Kittson	3.0	0.0	0.0	3.0	0.00070621	0.0	15.0	6.0	3.75	0.00353105	0.00141242	0.0008827625
Renville	69.0	5.0	0.0	64.0	0.00472215	0.00034218	1666.66666667	769.230769231	500.0	0.11406	0.0526430769231	0.034218
Chippewa	126.0	1.0	0.0	125.0	0.01056692	8.386e-05	333.333333333	153.846153846	100.0	0.0279533333333	0.0129015384615	0.008386
Washington	2404.0	48.0	0.0	2356.0	0.00927466	0.00018518	16000.0	7384.61538462	4800.0	0.0617266666667	0.0284892307692	0.018518
Itasca	150.0	12.0	0.0	138.0	0.00332535	0.00026603	4000.0	1846.15384615	1200.0	0.0886766666667	0.0409276923077	0.026603
Dakota	4921.0	106.0	0.0	4815.0	0.01156731	0.00024916	35333.3333333	16307.6923077	10600.0	0.0830533333333	0.0383323076923	0.024916
Polk	161.0	4.0	0.0	157.0	0.00510641	0.00012687	1333.33333333	615.384615385	400.0	0.04229	0.0195184615385	0.012687
Kandiyohi	742.0	1.0	0.0	741.0	0.0173142	2.333e-05	333.333333333	153.846153846	100.0	0.00777666666667	0.00358923076923	0.002333
Jackson	85.0	0.0	0.0	85.0	0.00857633	0.0	425.0	170.0	106.25	0.04288165	0.01715266	0.0107204125
Waseca	180.0	1.0	0.0	179.0	0.0096303	5.35e-05	333.333333333	153.846153846	100.0	0.0178333333333	0.00823076923077	0.00535
Grant	57.0	4.0	0.0	53.0	0.00946687	0.00066434	1333.33333333	615.384615385	400.0	0.221446666667	0.102206153846	0.066434
Wright	990.0	5.0	0.0	985.0	0.00726078	3.667e-05	1666.66666667	769.230769231	500.0	0.0122233333333	0.00564153846154	0.003667
Wilkin	39.0	3.0	0.0	36.0	0.00623601	0.00047969	1000.0	461.538461538	300.0	0.159896666667	0.0737984615385	0.047969
Rice	1073.0	8.0	0.0	1065.0	0.01612976	0.00012026	2666.66666667	1230.76923077	800.0	0.0400866666667	0.0185015384615	0.012026
Morrison	102.0	1.0	0.0	101.0	0.00307516	3.015e-05	333.333333333	153.846153846	100.0	0.01005	0.00463846153846	0.003015
Redwood	38.0	0.0	0.0	38.0	0.00249197	0.0	190.0	76.0	47.5	0.01245985	0.00498394	0.0031149625
