Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-22	3.209	1022.209	0.0	2.0
2020-07-23	3.032	1025.241	0.0	2.0
2020-07-24	2.858	1028.099	0.0	2.0
2020-07-25	2.685	1030.784	0.0	2.0
2020-07-26	2.513	1033.297	0.0	2.0
2020-07-27	2.34	1035.637	0.0	2.0
2020-07-28	2.171	1037.808	0.0	2.0
2020-07-29	2.014	1039.822	0.0	2.0
2020-07-30	1.875	1041.697	0.0	2.0
2020-07-31	1.755	1043.452	0.0	2.0
2020-08-01	1.651	1045.103	0.0	2.0
2020-08-02	1.561	1046.664	0.0	2.0
2020-08-03	1.478	1048.142	0.0	2.0
2020-08-04	1.395	1049.537	0.0	2.0
2020-08-05	1.313	1050.85	0.0	2.0
2020-08-06	1.23	1052.08	0.0	2.0
2020-08-07	1.147	1053.227	0.0	2.0
2020-08-08	1.066	1054.293	0.0	2.0
2020-08-09	0.992	1055.285	0.0	2.0
2020-08-10	0.925	1056.21	0.0	2.0
2020-08-11	0.865	1057.075	0.0	2.0
2020-08-12	0.812	1057.887	0.0	2.0
2020-08-13	0.763	1058.65	0.0	2.0
2020-08-14	0.715	1059.365	0.0	2.0
2020-08-15	0.667	1060.032	0.0	2.0
2020-08-16	0.619	1060.651	0.0	2.0
2020-08-17	0.571	1061.222	0.0	2.0
2020-08-18	0.522	1061.744	0.0	2.0
2020-08-19	0.474	1062.218	0.0	2.0
2020-08-20	0.427	1062.645	0.0	2.0
2020-08-21	0.383	1063.028	0.0	2.0
2020-08-22	0.343	1063.371	0.0	2.0
2020-08-23	0.307	1063.678	0.0	2.0
2020-08-24	0.273	1063.951	0.0	2.0
2020-08-25	0.241	1064.192	0.0	2.0
2020-08-26	0.21	1064.402	0.0	2.0
2020-08-27	0.179	1064.581	0.0	2.0
2020-08-28	0.147	1064.728	0.0	2.0
2020-08-29	0.115	1064.843	0.0	2.0
2020-08-30	0.082	1064.925	0.0	2.0
2020-08-31	0.053	1064.978	0.0	2.0
2020-09-01	0.032	1065.01	0.0	2.0
2020-09-02	0.02	1065.03	0.0	2.0
2020-09-03	0.013	1065.043	0.0	2.0
2020-09-04	0.01	1065.053	0.0	2.0
2020-09-05	0.007	1065.06	0.0	2.0
2020-09-06	0.006	1065.066	0.0	2.0
2020-09-07	0.005	1065.071	0.0	2.0
2020-09-08	0.004	1065.075	0.0	2.0
2020-09-09	0.003	1065.078	0.0	2.0
2020-09-10	0.002	1065.08	0.0	2.0
2020-09-11	0.0	1065.08	0.0	2.0
2020-09-12	0.0	1065.08	0.0	2.0
2020-09-13	0.0	1065.08	0.0	2.0
2020-09-14	0.0	1065.08	0.0	2.0
2020-09-15	0.0	1065.08	0.0	2.0
2020-09-16	0.0	1065.08	0.0	2.0
2020-09-17	0.0	1065.08	0.0	2.0
2020-09-18	0.0	1065.08	0.0	2.0
2020-09-19	0.0	1065.08	0.0	2.0
2020-09-20	0.0	1065.08	0.0	2.0
2020-09-21	0.0	1065.08	0.0	2.0
2020-09-22	0.0	1065.08	0.0	2.0
2020-09-23	0.0	1065.08	0.0	2.0
2020-09-24	0.0	1065.08	0.0	2.0
2020-09-25	0.0	1065.08	0.0	2.0
2020-09-26	0.0	1065.08	0.0	2.0
2020-09-27	0.0	1065.08	0.0	2.0
2020-09-28	0.0	1065.08	0.0	2.0
2020-09-29	0.0	1065.08	0.0	2.0
2020-09-30	0.0	1065.08	0.0	2.0
2020-10-01	0.0	1065.08	0.0	2.0
2020-10-02	0.0	1065.08	0.0	2.0
2020-10-03	0.0	1065.08	0.0	2.0
2020-10-04	0.0	1065.08	0.0	2.0
2020-10-05	0.0	1065.08	0.0	2.0
2020-10-06	0.0	1065.08	0.0	2.0
2020-10-07	0.0	1065.08	0.0	2.0
2020-10-08	0.0	1065.08	0.0	2.0
2020-10-09	0.0	1065.08	0.0	2.0
