Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-02	3.347	91.347	0.822	10.822
2020-06-03	3.114	94.461	0.766	11.588
2020-06-04	2.905	97.366	0.716	12.304
2020-06-05	2.716	100.082	0.674	12.978
2020-06-06	2.548	102.63	0.638	13.616
2020-06-07	2.396	105.026	0.603	14.219
2020-06-08	2.245	107.271	0.57	14.789
2020-06-09	2.094	109.365	0.536	15.325
2020-06-10	1.943	111.308	0.502	15.827
2020-06-11	1.792	113.1	0.468	16.295
2020-06-12	1.64	114.74	0.435	16.73
2020-06-13	1.489	116.229	0.405	17.135
2020-06-14	1.341	117.57	0.378	17.513
2020-06-15	1.203	118.773	0.353	17.866
2020-06-16	1.077	119.85	0.331	18.197
2020-06-17	0.963	120.813	0.312	18.509
2020-06-18	0.857	121.67	0.292	18.801
2020-06-19	0.758	122.428	0.272	19.073
2020-06-20	0.66	123.088	0.253	19.326
2020-06-21	0.562	123.65	0.233	19.559
2020-06-22	0.462	124.112	0.213	19.772
2020-06-23	0.361	124.473	0.194	19.966
2020-06-24	0.256	124.729	0.174	20.14
2020-06-25	0.165	124.894	0.156	20.296
2020-06-26	0.102	124.996	0.14	20.436
2020-06-27	0.064	125.06	0.125	20.561
2020-06-28	0.042	125.102	0.111	20.672
2020-06-29	0.03	125.132	0.099	20.771
2020-06-30	0.023	125.155	0.086	20.857
2020-07-01	0.019	125.174	0.073	20.93
2020-07-02	0.015	125.189	0.06	20.99
2020-07-03	0.012	125.201	0.047	21.037
2020-07-04	0.009	125.21	0.033	21.07
2020-07-05	0.006	125.216	0.021	21.091
2020-07-06	0.0	125.216	0.013	21.104
2020-07-07	0.0	125.216	0.008	21.112
2020-07-08	0.0	125.216	0.006	21.118
2020-07-09	0.0	125.216	0.004	21.122
2020-07-10	0.0	125.216	0.003	21.125
2020-07-11	0.0	125.216	0.002	21.127
2020-07-12	0.0	125.216	0.002	21.129
2020-07-13	0.0	125.216	0.002	21.131
2020-07-14	0.0	125.216	0.001	21.132
2020-07-15	0.0	125.216	0.0	21.132
2020-07-16	0.0	125.216	0.0	21.132
2020-07-17	0.0	125.216	0.0	21.132
2020-07-18	0.0	125.216	0.0	21.132
2020-07-19	0.0	125.216	0.0	21.132
2020-07-20	0.0	125.216	0.0	21.132
2020-07-21	0.0	125.216	0.0	21.132
2020-07-22	0.0	125.216	0.0	21.132
2020-07-23	0.0	125.216	0.0	21.132
2020-07-24	0.0	125.216	0.0	21.132
2020-07-25	0.0	125.216	0.0	21.132
2020-07-26	0.0	125.216	0.0	21.132
2020-07-27	0.0	125.216	0.0	21.132
2020-07-28	0.0	125.216	0.0	21.132
2020-07-29	0.0	125.216	0.0	21.132
2020-07-30	0.0	125.216	0.0	21.132
2020-07-31	0.0	125.216	0.0	21.132
2020-08-01	0.0	125.216	0.0	21.132
2020-08-02	0.0	125.216	0.0	21.132
2020-08-03	0.0	125.216	0.0	21.132
2020-08-04	0.0	125.216	0.0	21.132
2020-08-05	0.0	125.216	0.0	21.132
2020-08-06	0.0	125.216	0.0	21.132
2020-08-07	0.0	125.216	0.0	21.132
2020-08-08	0.0	125.216	0.0	21.132
2020-08-09	0.0	125.216	0.0	21.132
2020-08-10	0.0	125.216	0.0	21.132
2020-08-11	0.0	125.216	0.0	21.132
2020-08-12	0.0	125.216	0.0	21.132
2020-08-13	0.0	125.216	0.0	21.132
2020-08-14	0.0	125.216	0.0	21.132
2020-08-15	0.0	125.216	0.0	21.132
2020-08-16	0.0	125.216	0.0	21.132
2020-08-17	0.0	125.216	0.0	21.132
2020-08-18	0.0	125.216	0.0	21.132
2020-08-19	0.0	125.216	0.0	21.132
2020-08-20	0.0	125.216	0.0	21.132
2020-08-21	0.0	125.216	0.0	21.132
2020-08-22	0.0	125.216	0.0	21.132
2020-08-23	0.0	125.216	0.0	21.132
2020-08-24	0.0	125.216	0.0	21.132
2020-08-25	0.0	125.216	0.0	21.132
2020-08-26	0.0	125.216	0.0	21.132
2020-08-27	0.0	125.216	0.0	21.132
2020-08-28	0.0	125.216	0.0	21.132
2020-08-29	0.0	125.216	0.0	21.132
2020-08-30	0.0	125.216	0.0	21.132
