Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-07	10.578	1595.578	0.316	5.316
2020-06-08	10.481	1606.059	0.343	5.659
2020-06-09	10.344	1616.403	0.373	6.032
2020-06-10	10.188	1626.591	0.403	6.435
2020-06-11	9.992	1636.583	0.432	6.867
2020-06-12	9.756	1646.339	0.456	7.323
2020-06-13	9.502	1655.841	0.475	7.798
2020-06-14	9.248	1665.089	0.486	8.284
2020-06-15	8.996	1674.085	0.493	8.777
2020-06-16	8.764	1682.849	0.494	9.271
2020-06-17	8.551	1691.4	0.493	9.764
2020-06-18	8.335	1699.735	0.489	10.253
2020-06-19	8.098	1707.833	0.483	10.736
2020-06-20	7.841	1715.674	0.475	11.211
2020-06-21	7.565	1723.239	0.466	11.677
2020-06-22	7.269	1730.508	0.455	12.132
2020-06-23	6.973	1737.481	0.443	12.575
2020-06-24	6.678	1744.159	0.431	13.006
2020-06-25	6.385	1750.544	0.42	13.426
2020-06-26	6.098	1756.642	0.409	13.835
2020-06-27	5.82	1762.462	0.399	14.234
2020-06-28	5.546	1768.008	0.389	14.623
2020-06-29	5.278	1773.286	0.378	15.001
2020-06-30	5.017	1778.303	0.366	15.367
2020-07-01	4.766	1783.069	0.353	15.72
2020-07-02	4.522	1787.591	0.339	16.059
2020-07-03	4.289	1791.88	0.325	16.384
2020-07-04	4.067	1795.947	0.312	16.696
2020-07-05	3.855	1799.802	0.298	16.994
2020-07-06	3.651	1803.453	0.284	17.278
2020-07-07	3.454	1806.907	0.272	17.55
2020-07-08	3.263	1810.17	0.259	17.809
2020-07-09	3.076	1813.246	0.246	18.055
2020-07-10	2.891	1816.137	0.234	18.289
2020-07-11	2.705	1818.842	0.222	18.511
2020-07-12	2.519	1821.361	0.211	18.722
2020-07-13	2.337	1823.698	0.2	18.922
2020-07-14	2.168	1825.866	0.19	19.112
2020-07-15	2.018	1827.884	0.18	19.292
2020-07-16	1.889	1829.773	0.17	19.462
2020-07-17	1.777	1831.55	0.161	19.623
2020-07-18	1.681	1833.231	0.152	19.775
2020-07-19	1.591	1834.822	0.144	19.919
2020-07-20	1.502	1836.324	0.135	20.054
2020-07-21	1.413	1837.737	0.126	20.18
2020-07-22	1.324	1839.061	0.118	20.298
2020-07-23	1.235	1840.296	0.109	20.407
2020-07-24	1.147	1841.443	0.101	20.508
2020-07-25	1.068	1842.511	0.094	20.602
2020-07-26	0.996	1843.507	0.088	20.69
2020-07-27	0.931	1844.438	0.083	20.773
2020-07-28	0.874	1845.312	0.078	20.851
2020-07-29	0.821	1846.133	0.074	20.925
2020-07-30	0.77	1846.903	0.07	20.995
2020-07-31	0.718	1847.621	0.066	21.061
2020-08-01	0.666	1848.287	0.062	21.123
2020-08-02	0.614	1848.901	0.058	21.181
2020-08-03	0.562	1849.463	0.054	21.235
2020-08-04	0.51	1849.973	0.05	21.285
2020-08-05	0.46	1850.433	0.046	21.331
2020-08-06	0.413	1850.846	0.043	21.374
2020-08-07	0.369	1851.215	0.041	21.415
2020-08-08	0.33	1851.545	0.038	21.453
2020-08-09	0.294	1851.839	0.036	21.489
2020-08-10	0.26	1852.099	0.033	21.522
2020-08-11	0.226	1852.325	0.031	21.553
2020-08-12	0.193	1852.518	0.029	21.582
2020-08-13	0.159	1852.677	0.026	21.608
2020-08-14	0.124	1852.801	0.024	21.632
2020-08-15	0.088	1852.889	0.021	21.653
2020-08-16	0.057	1852.946	0.019	21.672
2020-08-17	0.035	1852.981	0.017	21.689
2020-08-18	0.022	1853.003	0.015	21.704
2020-08-19	0.015	1853.018	0.014	21.718
2020-08-20	0.01	1853.028	0.012	21.73
2020-08-21	0.008	1853.036	0.011	21.741
2020-08-22	0.006	1853.042	0.009	21.75
2020-08-23	0.005	1853.047	0.007	21.757
2020-08-24	0.004	1853.051	0.006	21.763
2020-08-25	0.003	1853.054	0.004	21.767
2020-08-26	0.002	1853.056	0.003	21.77
2020-08-27	0.0	1853.056	0.002	21.772
2020-08-28	0.0	1853.056	0.001	21.773
2020-08-29	0.0	1853.056	0.001	21.774
2020-08-30	0.0	1853.056	0.0	21.774
2020-08-31	0.0	1853.056	0.0	21.774
2020-09-01	0.0	1853.056	0.0	21.774
2020-09-02	0.0	1853.056	0.0	21.774
2020-09-03	0.0	1853.056	0.0	21.774
2020-09-04	0.0	1853.056	0.0	21.774
