Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-24	2.124	139.124	0.0	1.0
2020-07-25	1.945	141.069	0.0	1.0
2020-07-26	1.765	142.834	0.0	1.0
2020-07-27	1.59	144.424	0.0	1.0
2020-07-28	1.427	145.851	0.0	1.0
2020-07-29	1.278	147.129	0.0	1.0
2020-07-30	1.141	148.27	0.0	1.0
2020-07-31	1.016	149.286	0.0	1.0
2020-08-01	0.899	150.185	0.0	1.0
2020-08-02	0.783	150.968	0.0	1.0
2020-08-03	0.666	151.634	0.0	1.0
2020-08-04	0.548	152.182	0.0	1.0
2020-08-05	0.428	152.61	0.0	1.0
2020-08-06	0.304	152.914	0.0	1.0
2020-08-07	0.196	153.11	0.0	1.0
2020-08-08	0.121	153.231	0.0	1.0
2020-08-09	0.076	153.307	0.0	1.0
2020-08-10	0.05	153.357	0.0	1.0
2020-08-11	0.036	153.393	0.0	1.0
2020-08-12	0.028	153.421	0.0	1.0
2020-08-13	0.022	153.443	0.0	1.0
2020-08-14	0.018	153.461	0.0	1.0
2020-08-15	0.014	153.475	0.0	1.0
2020-08-16	0.01	153.485	0.0	1.0
2020-08-17	0.008	153.493	0.0	1.0
2020-08-18	0.0	153.493	0.0	1.0
2020-08-19	0.0	153.493	0.0	1.0
2020-08-20	0.0	153.493	0.0	1.0
2020-08-21	0.0	153.493	0.0	1.0
2020-08-22	0.0	153.493	0.0	1.0
2020-08-23	0.0	153.493	0.0	1.0
2020-08-24	0.0	153.493	0.0	1.0
2020-08-25	0.0	153.493	0.0	1.0
2020-08-26	0.0	153.493	0.0	1.0
2020-08-27	0.0	153.493	0.0	1.0
2020-08-28	0.0	153.493	0.0	1.0
2020-08-29	0.0	153.493	0.0	1.0
2020-08-30	0.0	153.493	0.0	1.0
