Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-07	0.089	7.089	0.351	0.351
2020-06-08	0.11	7.199	0.381	0.732
2020-06-09	0.135	7.334	0.415	1.147
2020-06-10	0.163	7.497	0.448	1.595
2020-06-11	0.193	7.69	0.48	2.075
2020-06-12	0.228	7.918	0.508	2.583
2020-06-13	0.269	8.187	0.529	3.112
2020-06-14	0.318	8.505	0.541	3.653
2020-06-15	0.376	8.881	0.548	4.201
2020-06-16	0.443	9.324	0.55	4.751
2020-06-17	0.519	9.843	0.549	5.3
2020-06-18	0.603	10.446	0.544	5.844
2020-06-19	0.694	11.14	0.537	6.381
2020-06-20	0.795	11.935	0.529	6.91
2020-06-21	0.901	12.836	0.519	7.429
2020-06-22	1.011	13.847	0.506	7.935
2020-06-23	1.122	14.969	0.493	8.428
2020-06-24	1.232	16.201	0.48	8.908
2020-06-25	1.344	17.545	0.467	9.375
2020-06-26	1.46	19.005	0.455	9.83
2020-06-27	1.588	20.593	0.444	10.274
2020-06-28	1.715	22.308	0.433	10.707
2020-06-29	1.838	24.146	0.42	11.127
2020-06-30	1.943	26.089	0.407	11.534
2020-07-01	2.025	28.114	0.393	11.927
2020-07-02	2.071	30.185	0.377	12.304
2020-07-03	2.098	32.283	0.362	12.666
2020-07-04	2.106	34.389	0.347	13.013
2020-07-05	2.102	36.491	0.331	13.344
2020-07-06	2.082	38.573	0.317	13.661
2020-07-07	2.055	40.628	0.302	13.963
2020-07-08	2.024	42.652	0.288	14.251
2020-07-09	1.985	44.637	0.274	14.525
2020-07-10	1.938	46.575	0.26	14.785
2020-07-11	1.888	48.463	0.247	15.032
2020-07-12	1.837	50.3	0.235	15.267
2020-07-13	1.787	52.087	0.223	15.49
2020-07-14	1.741	53.828	0.211	15.701
2020-07-15	1.699	55.527	0.2	15.901
2020-07-16	1.656	57.183	0.19	16.091
2020-07-17	1.609	58.792	0.179	16.27
2020-07-18	1.558	60.35	0.169	16.439
2020-07-19	1.503	61.853	0.16	16.599
2020-07-20	1.444	63.297	0.15	16.749
2020-07-21	1.385	64.682	0.14	16.889
2020-07-22	1.327	66.009	0.131	17.02
2020-07-23	1.269	67.278	0.121	17.141
2020-07-24	1.212	68.49	0.113	17.254
2020-07-25	1.156	69.646	0.105	17.359
2020-07-26	1.102	70.748	0.098	17.457
2020-07-27	1.049	71.797	0.092	17.549
2020-07-28	0.997	72.794	0.087	17.636
2020-07-29	0.947	73.741	0.083	17.719
2020-07-30	0.898	74.639	0.078	17.797
2020-07-31	0.852	75.491	0.073	17.87
2020-08-01	0.808	76.299	0.069	17.939
2020-08-02	0.766	77.065	0.064	18.003
2020-08-03	0.725	77.79	0.06	18.063
2020-08-04	0.686	78.476	0.055	18.118
2020-08-05	0.648	79.124	0.052	18.17
2020-08-06	0.611	79.735	0.048	18.218
2020-08-07	0.574	80.309	0.045	18.263
2020-08-08	0.537	80.846	0.043	18.306
2020-08-09	0.501	81.347	0.04	18.346
2020-08-10	0.464	81.811	0.037	18.383
2020-08-11	0.431	82.242	0.035	18.418
2020-08-12	0.401	82.643	0.032	18.45
2020-08-13	0.375	83.018	0.029	18.479
2020-08-14	0.353	83.371	0.026	18.505
2020-08-15	0.334	83.705	0.024	18.529
2020-08-16	0.316	84.021	0.021	18.55
2020-08-17	0.298	84.319	0.019	18.569
2020-08-18	0.281	84.6	0.017	18.586
2020-08-19	0.263	84.863	0.015	18.601
2020-08-20	0.245	85.108	0.013	18.614
2020-08-21	0.228	85.336	0.012	18.626
2020-08-22	0.212	85.548	0.01	18.636
2020-08-23	0.198	85.746	0.008	18.644
2020-08-24	0.185	85.931	0.006	18.65
2020-08-25	0.174	86.105	0.005	18.655
2020-08-26	0.163	86.268	0.003	18.658
2020-08-27	0.153	86.421	0.002	18.66
2020-08-28	0.143	86.564	0.001	18.661
2020-08-29	0.132	86.696	0.001	18.662
2020-08-30	0.122	86.818	0.001	18.663
2020-08-31	0.112	86.93	0.0	18.663
2020-09-01	0.101	87.031	0.0	18.663
2020-09-02	0.091	87.122	0.0	18.663
2020-09-03	0.082	87.204	0.0	18.663
2020-09-04	0.073	87.277	0.0	18.663
2020-09-05	0.066	87.343	0.0	18.663
2020-09-06	0.058	87.401	0.0	18.663
2020-09-07	0.052	87.453	0.0	18.663
2020-09-08	0.045	87.498	0.0	18.663
2020-09-09	0.038	87.536	0.0	18.663
2020-09-10	0.031	87.567	0.0	18.663
2020-09-11	0.025	87.592	0.0	18.663
2020-09-12	0.017	87.609	0.0	18.663
2020-09-13	0.011	87.62	0.0	18.663
2020-09-14	0.007	87.627	0.0	18.663
2020-09-15	0.004	87.631	0.0	18.663
2020-09-16	0.003	87.634	0.0	18.663
2020-09-17	0.002	87.636	0.0	18.663
2020-09-18	0.002	87.638	0.0	18.663
2020-09-19	0.001	87.639	0.0	18.663
2020-09-20	0.001	87.64	0.0	18.663
2020-09-21	0.001	87.641	0.0	18.663
2020-09-22	0.001	87.642	0.0	18.663
2020-09-23	0.0	87.642	0.0	18.663
