Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-20	9.951	623.951	0.08	4.08
2020-07-21	9.86	633.811	0.087	4.167
2020-07-22	9.731	643.542	0.095	4.262
2020-07-23	9.585	653.127	0.102	4.364
2020-07-24	9.4	662.527	0.109	4.473
2020-07-25	9.178	671.705	0.116	4.589
2020-07-26	8.939	680.644	0.121	4.71
2020-07-27	8.7	689.344	0.123	4.833
2020-07-28	8.463	697.807	0.125	4.958
2020-07-29	8.245	706.052	0.125	5.083
2020-07-30	8.044	714.096	0.125	5.208
2020-07-31	7.841	721.937	0.124	5.332
2020-08-01	7.618	729.555	0.122	5.454
2020-08-02	7.377	736.932	0.12	5.574
2020-08-03	7.116	744.048	0.118	5.692
2020-08-04	6.838	750.886	0.115	5.807
2020-08-05	6.56	757.446	0.112	5.919
2020-08-06	6.282	763.728	0.109	6.028
2020-08-07	6.007	769.735	0.106	6.134
2020-08-08	5.737	775.472	0.104	6.238
2020-08-09	5.475	780.947	0.101	6.339
2020-08-10	5.217	786.164	0.099	6.438
2020-08-11	4.965	791.129	0.096	6.534
2020-08-12	4.72	795.849	0.093	6.627
2020-08-13	4.484	800.333	0.089	6.716
2020-08-14	4.254	804.587	0.086	6.802
2020-08-15	4.035	808.622	0.082	6.884
2020-08-16	3.826	812.448	0.079	6.963
2020-08-17	3.627	816.075	0.076	7.039
2020-08-18	3.435	819.51	0.072	7.111
2020-08-19	3.25	822.76	0.069	7.18
2020-08-20	3.07	825.83	0.066	7.246
2020-08-21	2.894	828.724	0.062	7.308
2020-08-22	2.72	831.444	0.059	7.367
2020-08-23	2.545	833.989	0.056	7.423
2020-08-24	2.37	836.359	0.053	7.476
2020-08-25	2.198	838.557	0.051	7.527
2020-08-26	2.039	840.596	0.048	7.575
2020-08-27	1.899	842.495	0.046	7.621
2020-08-28	1.777	844.272	0.043	7.664
2020-08-29	1.672	845.944	0.041	7.705
2020-08-30	1.581	847.525	0.039	7.744
2020-08-31	1.497	849.022	0.036	7.78
2020-09-01	1.413	850.435	0.034	7.814
2020-09-02	1.329	851.764	0.032	7.846
2020-09-03	1.246	853.01	0.03	7.876
2020-09-04	1.162	854.172	0.028	7.904
2020-09-05	1.079	855.251	0.026	7.93
2020-09-06	1.004	856.255	0.024	7.954
2020-09-07	0.937	857.192	0.022	7.976
2020-09-08	0.876	858.068	0.021	7.997
2020-09-09	0.822	858.89	0.02	8.017
2020-09-10	0.773	859.663	0.019	8.036
2020-09-11	0.724	860.387	0.018	8.054
2020-09-12	0.675	861.062	0.017	8.071
2020-09-13	0.627	861.689	0.016	8.087
2020-09-14	0.578	862.267	0.015	8.102
2020-09-15	0.529	862.796	0.014	8.116
2020-09-16	0.48	863.276	0.013	8.129
2020-09-17	0.432	863.708	0.012	8.141
2020-09-18	0.388	864.096	0.011	8.152
2020-09-19	0.348	864.444	0.01	8.162
2020-09-20	0.31	864.754	0.01	8.172
2020-09-21	0.276	865.03	0.009	8.181
2020-09-22	0.244	865.274	0.008	8.189
2020-09-23	0.213	865.487	0.008	8.197
2020-09-24	0.181	865.668	0.007	8.204
2020-09-25	0.149	865.817	0.007	8.211
2020-09-26	0.117	865.934	0.006	8.217
2020-09-27	0.083	866.017	0.005	8.222
2020-09-28	0.053	866.07	0.005	8.227
2020-09-29	0.033	866.103	0.004	8.231
2020-09-30	0.021	866.124	0.004	8.235
2020-10-01	0.014	866.138	0.003	8.238
2020-10-02	0.01	866.148	0.003	8.241
2020-10-03	0.008	866.156	0.003	8.244
2020-10-04	0.006	866.162	0.002	8.246
2020-10-05	0.005	866.167	0.002	8.248
2020-10-06	0.004	866.171	0.001	8.249
2020-10-07	0.003	866.174	0.001	8.25
2020-10-08	0.002	866.176	0.001	8.251
2020-10-09	0.0	866.176	0.0	8.251
2020-10-10	0.0	866.176	0.0	8.251
2020-10-11	0.0	866.176	0.0	8.251
2020-10-12	0.0	866.176	0.0	8.251
2020-10-13	0.0	866.176	0.0	8.251
2020-10-14	0.0	866.176	0.0	8.251
2020-10-15	0.0	866.176	0.0	8.251
2020-10-16	0.0	866.176	0.0	8.251
2020-10-17	0.0	866.176	0.0	8.251
