Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-20	15.28	565.28	0.018	18.018
2020-07-21	15.92	581.2	0.02	18.038
2020-07-22	16.288	597.488	0.023	18.061
2020-07-23	16.497	613.985	0.025	18.086
2020-07-24	16.556	630.541	0.028	18.114
2020-07-25	16.525	647.066	0.03	18.144
2020-07-26	16.373	663.439	0.033	18.177
2020-07-27	16.16	679.599	0.036	18.213
2020-07-28	15.916	695.515	0.038	18.251
2020-07-29	15.61	711.125	0.041	18.292
2020-07-30	15.241	726.366	0.043	18.335
2020-07-31	14.844	741.21	0.045	18.38
2020-08-01	14.447	755.657	0.046	18.426
2020-08-02	14.054	769.711	0.047	18.473
2020-08-03	13.691	783.402	0.047	18.52
2020-08-04	13.359	796.761	0.047	18.567
2020-08-05	13.02	809.781	0.047	18.614
2020-08-06	12.651	822.432	0.046	18.66
2020-08-07	12.25	834.682	0.045	18.705
2020-08-08	11.818	846.5	0.044	18.749
2020-08-09	11.356	857.856	0.043	18.792
2020-08-10	10.894	868.75	0.042	18.834
2020-08-11	10.432	879.182	0.041	18.875
2020-08-12	9.975	889.157	0.04	18.915
2020-08-13	9.527	898.684	0.039	18.954
2020-08-14	9.092	907.776	0.038	18.992
2020-08-15	8.664	916.44	0.037	19.029
2020-08-16	8.245	924.685	0.036	19.065
2020-08-17	7.838	932.523	0.035	19.1
2020-08-18	7.446	939.969	0.034	19.134
2020-08-19	7.064	947.033	0.032	19.166
2020-08-20	6.7	953.733	0.031	19.197
2020-08-21	6.353	960.086	0.03	19.227
2020-08-22	6.022	966.108	0.028	19.255
2020-08-23	5.704	971.812	0.027	19.282
2020-08-24	5.396	977.208	0.026	19.308
2020-08-25	5.098	982.306	0.025	19.333
2020-08-26	4.806	987.112	0.023	19.356
2020-08-27	4.516	991.628	0.022	19.378
2020-08-28	4.226	995.854	0.021	19.399
2020-08-29	3.936	999.79	0.02	19.419
2020-08-30	3.651	1003.441	0.019	19.438
2020-08-31	3.386	1006.827	0.018	19.456
2020-09-01	3.153	1009.98	0.017	19.473
2020-09-02	2.951	1012.931	0.016	19.489
2020-09-03	2.777	1015.708	0.015	19.504
2020-09-04	2.626	1018.334	0.015	19.519
2020-09-05	2.485	1020.819	0.014	19.533
2020-09-06	2.347	1023.166	0.013	19.546
2020-09-07	2.208	1025.374	0.012	19.558
2020-09-08	2.068	1027.442	0.011	19.569
2020-09-09	1.929	1029.371	0.01	19.579
2020-09-10	1.793	1031.164	0.01	19.589
2020-09-11	1.668	1032.832	0.009	19.598
2020-09-12	1.556	1034.388	0.008	19.606
2020-09-13	1.455	1035.843	0.008	19.614
2020-09-14	1.365	1037.208	0.007	19.621
2020-09-15	1.283	1038.491	0.007	19.628
2020-09-16	1.203	1039.694	0.007	19.635
2020-09-17	1.122	1040.816	0.006	19.641
2020-09-18	1.041	1041.857	0.006	19.647
2020-09-19	0.96	1042.817	0.005	19.652
2020-09-20	0.879	1043.696	0.005	19.657
2020-09-21	0.797	1044.493	0.005	19.662
2020-09-22	0.718	1045.211	0.004	19.666
2020-09-23	0.644	1045.855	0.004	19.67
2020-09-24	0.577	1046.432	0.004	19.674
2020-09-25	0.516	1046.948	0.004	19.678
2020-09-26	0.459	1047.407	0.003	19.681
2020-09-27	0.406	1047.813	0.003	19.684
2020-09-28	0.354	1048.167	0.003	19.687
2020-09-29	0.301	1048.468	0.003	19.69
2020-09-30	0.248	1048.716	0.002	19.692
2020-10-01	0.193	1048.909	0.002	19.694
2020-10-02	0.137	1049.046	0.002	19.696
2020-10-03	0.088	1049.134	0.002	19.698
2020-10-04	0.055	1049.189	0.002	19.7
2020-10-05	0.034	1049.223	0.001	19.701
2020-10-06	0.023	1049.246	0.001	19.702
2020-10-07	0.016	1049.262	0.001	19.703
2020-10-08	0.013	1049.275	0.001	19.704
2020-10-09	0.01	1049.285	0.001	19.705
2020-10-10	0.008	1049.293	0.001	19.706
2020-10-11	0.006	1049.299	0.001	19.707
2020-10-12	0.005	1049.304	0.0	19.707
2020-10-13	0.003	1049.307	0.0	19.707
2020-10-14	0.0	1049.307	0.0	19.707
2020-10-15	0.0	1049.307	0.0	19.707
2020-10-16	0.0	1049.307	0.0	19.707
2020-10-17	0.0	1049.307	0.0	19.707
2020-10-18	0.0	1049.307	0.0	19.707
2020-10-19	0.0	1049.307	0.0	19.707
2020-10-20	0.0	1049.307	0.0	19.707
2020-10-21	0.0	1049.307	0.0	19.707
2020-10-22	0.0	1049.307	0.0	19.707
