Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-19	0.876	57.876	0.0	2.0
2020-06-20	0.832	58.708	0.0	2.0
2020-06-21	0.791	59.499	0.0	2.0
2020-06-22	0.75	60.249	0.0	2.0
2020-06-23	0.711	60.96	0.0	2.0
2020-06-24	0.675	61.635	0.0	2.0
2020-06-25	0.639	62.274	0.0	2.0
2020-06-26	0.606	62.88	0.0	2.0
2020-06-27	0.573	63.453	0.0	2.0
2020-06-28	0.541	63.994	0.0	2.0
2020-06-29	0.51	64.504	0.0	2.0
2020-06-30	0.48	64.984	0.0	2.0
2020-07-01	0.449	65.433	0.0	2.0
2020-07-02	0.418	65.851	0.0	2.0
2020-07-03	0.388	66.239	0.0	2.0
2020-07-04	0.36	66.599	0.0	2.0
2020-07-05	0.335	66.934	0.0	2.0
2020-07-06	0.313	67.247	0.0	2.0
2020-07-07	0.295	67.542	0.0	2.0
2020-07-08	0.279	67.821	0.0	2.0
2020-07-09	0.264	68.085	0.0	2.0
2020-07-10	0.249	68.334	0.0	2.0
2020-07-11	0.234	68.568	0.0	2.0
2020-07-12	0.22	68.788	0.0	2.0
2020-07-13	0.205	68.993	0.0	2.0
2020-07-14	0.19	69.183	0.0	2.0
2020-07-15	0.177	69.36	0.0	2.0
2020-07-16	0.165	69.525	0.0	2.0
2020-07-17	0.155	69.68	0.0	2.0
2020-07-18	0.145	69.825	0.0	2.0
2020-07-19	0.136	69.961	0.0	2.0
2020-07-20	0.128	70.089	0.0	2.0
2020-07-21	0.119	70.208	0.0	2.0
2020-07-22	0.111	70.319	0.0	2.0
2020-07-23	0.102	70.421	0.0	2.0
2020-07-24	0.093	70.514	0.0	2.0
2020-07-25	0.085	70.599	0.0	2.0
2020-07-26	0.076	70.675	0.0	2.0
2020-07-27	0.068	70.743	0.0	2.0
2020-07-28	0.061	70.804	0.0	2.0
2020-07-29	0.055	70.859	0.0	2.0
2020-07-30	0.049	70.908	0.0	2.0
2020-07-31	0.043	70.951	0.0	2.0
2020-08-01	0.038	70.989	0.0	2.0
2020-08-02	0.032	71.021	0.0	2.0
2020-08-03	0.026	71.047	0.0	2.0
2020-08-04	0.021	71.068	0.0	2.0
2020-08-05	0.015	71.083	0.0	2.0
2020-08-06	0.009	71.092	0.0	2.0
2020-08-07	0.006	71.098	0.0	2.0
2020-08-08	0.004	71.102	0.0	2.0
2020-08-09	0.002	71.104	0.0	2.0
2020-08-10	0.002	71.106	0.0	2.0
2020-08-11	0.001	71.107	0.0	2.0
2020-08-12	0.001	71.108	0.0	2.0
2020-08-13	0.001	71.109	0.0	2.0
2020-08-14	0.001	71.11	0.0	2.0
2020-08-15	0.001	71.111	0.0	2.0
2020-08-16	0.0	71.111	0.0	2.0
2020-08-17	0.0	71.111	0.0	2.0
2020-08-18	0.0	71.111	0.0	2.0
2020-08-19	0.0	71.111	0.0	2.0
2020-08-20	0.0	71.111	0.0	2.0
2020-08-21	0.0	71.111	0.0	2.0
2020-08-22	0.0	71.111	0.0	2.0
2020-08-23	0.0	71.111	0.0	2.0
2020-08-24	0.0	71.111	0.0	2.0
2020-08-25	0.0	71.111	0.0	2.0
2020-08-26	0.0	71.111	0.0	2.0
2020-08-27	0.0	71.111	0.0	2.0
2020-08-28	0.0	71.111	0.0	2.0
2020-08-29	0.0	71.111	0.0	2.0
2020-08-30	0.0	71.111	0.0	2.0
2020-08-31	0.0	71.111	0.0	2.0
2020-09-01	0.0	71.111	0.0	2.0
2020-09-02	0.0	71.111	0.0	2.0
2020-09-03	0.0	71.111	0.0	2.0
2020-09-04	0.0	71.111	0.0	2.0
2020-09-05	0.0	71.111	0.0	2.0
2020-09-06	0.0	71.111	0.0	2.0
