Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-18	3.071	499.071	0.453	16.453
2020-06-19	3.043	502.114	0.492	16.945
2020-06-20	3.003	505.117	0.536	17.481
2020-06-21	2.958	508.075	0.579	18.06
2020-06-22	2.901	510.976	0.62	18.68
2020-06-23	2.833	513.809	0.656	19.336
2020-06-24	2.759	516.568	0.683	20.019
2020-06-25	2.685	519.253	0.699	20.718
2020-06-26	2.612	521.865	0.708	21.426
2020-06-27	2.544	524.409	0.71	22.136
2020-06-28	2.483	526.892	0.709	22.845
2020-06-29	2.42	529.312	0.702	23.547
2020-06-30	2.351	531.663	0.693	24.24
2020-07-01	2.277	533.94	0.683	24.923
2020-07-02	2.196	536.136	0.67	25.593
2020-07-03	2.11	538.246	0.654	26.247
2020-07-04	2.025	540.271	0.637	26.884
2020-07-05	1.939	542.21	0.62	27.504
2020-07-06	1.854	544.064	0.603	28.107
2020-07-07	1.771	545.835	0.587	28.694
2020-07-08	1.69	547.525	0.573	29.267
2020-07-09	1.61	549.135	0.559	29.826
2020-07-10	1.532	550.667	0.543	30.369
2020-07-11	1.457	552.124	0.526	30.895
2020-07-12	1.384	553.508	0.507	31.402
2020-07-13	1.313	554.821	0.487	31.889
2020-07-14	1.245	556.066	0.467	32.356
2020-07-15	1.181	557.247	0.448	32.804
2020-07-16	1.119	558.366	0.428	33.232
2020-07-17	1.06	559.426	0.409	33.641
2020-07-18	1.003	560.429	0.39	34.031
2020-07-19	0.948	561.377	0.372	34.403
2020-07-20	0.893	562.27	0.354	34.757
2020-07-21	0.839	563.109	0.336	35.093
2020-07-22	0.785	563.894	0.319	35.412
2020-07-23	0.731	564.625	0.303	35.715
2020-07-24	0.678	565.303	0.287	36.002
2020-07-25	0.629	565.932	0.273	36.275
2020-07-26	0.586	566.518	0.258	36.533
2020-07-27	0.548	567.066	0.245	36.778
2020-07-28	0.516	567.582	0.232	37.01
2020-07-29	0.488	568.07	0.219	37.229
2020-07-30	0.462	568.532	0.206	37.435
2020-07-31	0.436	568.968	0.194	37.629
2020-08-01	0.41	569.378	0.181	37.81
2020-08-02	0.384	569.762	0.169	37.979
2020-08-03	0.359	570.121	0.157	38.136
2020-08-04	0.333	570.454	0.145	38.281
2020-08-05	0.31	570.764	0.135	38.416
2020-08-06	0.289	571.053	0.127	38.543
2020-08-07	0.27	571.323	0.119	38.662
2020-08-08	0.254	571.577	0.113	38.775
2020-08-09	0.239	571.816	0.107	38.882
2020-08-10	0.223	572.039	0.101	38.983
2020-08-11	0.208	572.247	0.095	39.078
2020-08-12	0.193	572.44	0.089	39.167
2020-08-13	0.178	572.618	0.083	39.25
2020-08-14	0.163	572.781	0.077	39.327
2020-08-15	0.148	572.929	0.072	39.399
2020-08-16	0.133	573.062	0.067	39.466
2020-08-17	0.12	573.182	0.062	39.528
2020-08-18	0.107	573.289	0.059	39.587
2020-08-19	0.096	573.385	0.055	39.642
2020-08-20	0.085	573.47	0.052	39.694
2020-08-21	0.075	573.545	0.048	39.742
2020-08-22	0.066	573.611	0.045	39.787
2020-08-23	0.056	573.667	0.041	39.828
2020-08-24	0.046	573.713	0.038	39.866
2020-08-25	0.036	573.749	0.034	39.9
2020-08-26	0.026	573.775	0.031	39.931
2020-08-27	0.016	573.791	0.028	39.959
2020-08-28	0.01	573.801	0.025	39.984
2020-08-29	0.006	573.807	0.022	40.006
2020-08-30	0.004	573.811	0.02	40.026
2020-08-31	0.003	573.814	0.017	40.043
2020-09-01	0.002	573.816	0.015	40.058
2020-09-02	0.002	573.818	0.013	40.071
2020-09-03	0.001	573.819	0.011	40.082
2020-09-04	0.001	573.82	0.008	40.09
2020-09-05	0.001	573.821	0.006	40.096
2020-09-06	0.001	573.822	0.004	40.1
2020-09-07	0.0	573.822	0.002	40.102
2020-09-08	0.0	573.822	0.001	40.103
2020-09-09	0.0	573.822	0.001	40.104
2020-09-10	0.0	573.822	0.001	40.105
2020-09-11	0.0	573.822	0.001	40.106
2020-09-12	0.0	573.822	0.0	40.106
2020-09-13	0.0	573.822	0.0	40.106
2020-09-14	0.0	573.822	0.0	40.106
2020-09-15	0.0	573.822	0.0	40.106
