Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-01	14.409	738.409	0.387	23.387
2020-06-02	14.069	752.478	0.409	23.796
2020-06-03	13.702	766.18	0.426	24.222
2020-06-04	13.336	779.516	0.436	24.658
2020-06-05	12.973	792.489	0.441	25.099
2020-06-06	12.638	805.127	0.443	25.542
2020-06-07	12.331	817.458	0.442	25.984
2020-06-08	12.019	829.477	0.438	26.422
2020-06-09	11.678	841.155	0.432	26.854
2020-06-10	11.308	852.463	0.426	27.28
2020-06-11	10.909	863.372	0.418	27.698
2020-06-12	10.482	873.854	0.408	28.106
2020-06-13	10.056	883.91	0.397	28.503
2020-06-14	9.629	893.539	0.386	28.889
2020-06-15	9.207	902.746	0.376	29.265
2020-06-16	8.794	911.54	0.366	29.631
2020-06-17	8.393	919.933	0.357	29.988
2020-06-18	7.997	927.93	0.348	30.336
2020-06-19	7.611	935.541	0.338	30.674
2020-06-20	7.235	942.776	0.328	31.002
2020-06-21	6.873	949.649	0.316	31.318
2020-06-22	6.521	956.17	0.304	31.622
2020-06-23	6.185	962.355	0.291	31.913
2020-06-24	5.864	968.219	0.279	32.192
2020-06-25	5.559	973.778	0.267	32.459
2020-06-26	5.265	979.043	0.255	32.714
2020-06-27	4.981	984.024	0.243	32.957
2020-06-28	4.706	988.73	0.232	33.189
2020-06-29	4.436	993.166	0.221	33.41
2020-06-30	4.169	997.335	0.21	33.62
2020-07-01	3.901	1001.236	0.199	33.819
2020-07-02	3.633	1004.869	0.189	34.008
2020-07-03	3.37	1008.239	0.179	34.187
2020-07-04	3.126	1011.365	0.17	34.357
2020-07-05	2.911	1014.276	0.161	34.518
2020-07-06	2.724	1017.0	0.153	34.671
2020-07-07	2.563	1019.563	0.144	34.815
2020-07-08	2.424	1021.987	0.136	34.951
2020-07-09	2.294	1024.281	0.129	35.08
2020-07-10	2.166	1026.447	0.121	35.201
2020-07-11	2.038	1028.485	0.113	35.314
2020-07-12	1.909	1030.394	0.105	35.419
2020-07-13	1.781	1032.175	0.098	35.517
2020-07-14	1.655	1033.83	0.091	35.608
2020-07-15	1.54	1035.37	0.084	35.692
2020-07-16	1.436	1036.806	0.079	35.771
2020-07-17	1.343	1038.149	0.074	35.845
2020-07-18	1.26	1039.409	0.07	35.915
2020-07-19	1.185	1040.594	0.066	35.981
2020-07-20	1.11	1041.704	0.063	36.044
2020-07-21	1.035	1042.739	0.059	36.103
2020-07-22	0.961	1043.7	0.055	36.158
2020-07-23	0.886	1044.586	0.052	36.21
2020-07-24	0.811	1045.397	0.048	36.258
2020-07-25	0.736	1046.133	0.045	36.303
2020-07-26	0.663	1046.796	0.042	36.345
2020-07-27	0.595	1047.391	0.039	36.384
2020-07-28	0.533	1047.924	0.037	36.421
2020-07-29	0.476	1048.4	0.034	36.455
2020-07-30	0.424	1048.824	0.032	36.487
2020-07-31	0.375	1049.199	0.03	36.517
2020-08-01	0.326	1049.525	0.028	36.545
2020-08-02	0.278	1049.803	0.026	36.571
2020-08-03	0.229	1050.032	0.023	36.594
2020-08-04	0.179	1050.211	0.021	36.615
2020-08-05	0.127	1050.338	0.019	36.634
2020-08-06	0.082	1050.42	0.017	36.651
2020-08-07	0.05	1050.47	0.015	36.666
2020-08-08	0.032	1050.502	0.014	36.68
2020-08-09	0.021	1050.523	0.012	36.692
2020-08-10	0.015	1050.538	0.011	36.703
2020-08-11	0.012	1050.55	0.009	36.712
2020-08-12	0.009	1050.559	0.008	36.72
2020-08-13	0.007	1050.566	0.007	36.727
2020-08-14	0.006	1050.572	0.005	36.732
2020-08-15	0.004	1050.576	0.004	36.736
2020-08-16	0.003	1050.579	0.002	36.738
2020-08-17	0.0	1050.579	0.001	36.739
2020-08-18	0.0	1050.579	0.001	36.74
2020-08-19	0.0	1050.579	0.001	36.741
2020-08-20	0.0	1050.579	0.0	36.741
2020-08-21	0.0	1050.579	0.0	36.741
2020-08-22	0.0	1050.579	0.0	36.741
2020-08-23	0.0	1050.579	0.0	36.741
2020-08-24	0.0	1050.579	0.0	36.741
2020-08-25	0.0	1050.579	0.0	36.741
2020-08-26	0.0	1050.579	0.0	36.741
2020-08-27	0.0	1050.579	0.0	36.741
2020-08-28	0.0	1050.579	0.0	36.741
2020-08-29	0.0	1050.579	0.0	36.741
2020-08-30	0.0	1050.579	0.0	36.741
