Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Choctaw	0.0	0.0	0.0	0.0
Jones	4.211	1162.665	6.151e-05	0.01698288
Pike	0.032	63.274	8.1e-07	0.00159932
Wayne	0.0	0.0	0.0	0.0
Oktibbeha	0.012	29.375	2.4e-07	0.00059225
Montgomery	0.0	4.893	0.0	0.00048818
Rankin	0.014	70.335	9e-08	0.00045701
Webster	0.0	0.0	0.0	0.0
Attala	0.0	0.0	0.0	0.0
George	0.0	0.0	0.0	0.0
Lincoln	0.016	39.174	4.7e-07	0.00114527
Kemper	1.591	583.947	0.00015867	0.05823746
Quitman	0.168	123.107	2.383e-05	0.01745951
Hinds	0.077	186.071	3.2e-07	0.00078483
Lee	0.022	42.185	2.6e-07	0.00049512
Washington	0.004	48.674	9e-08	0.00108013
Alcorn	0.0	0.0	0.0	0.0
Leake	1.4	477.874	6.15e-05	0.02099345
Desoto	0.042	138.617	2.3e-07	0.00076163
Yalobusha	0.0	0.0	0.0	0.0
Tallahatchie	0.0	0.0	0.0	0.0
Jefferson	0.0	0.0	0.0	0.0
Newton	0.0	0.0	0.0	0.0
Smith	0.0	0.0	0.0	0.0
Covington	0.0	6.508	0.0	0.0003452
Panola	0.06	57.671	1.76e-06	0.00168737
Monroe	0.073	64.388	2.05e-06	0.00181048
Lamar	4.211	1162.665	6.743e-05	0.01861843
Lawrence	0.0	0.0	0.0	0.0
Marion	0.016	31.64	6.5e-07	0.00128019
Benton	0.0	0.0	0.0	0.0
Simpson	1.808	440.84	6.757e-05	0.01647507
Madison	0.006	73.011	6e-08	0.0006912
Wilkinson	0.122	107.313	1.388e-05	0.01220576
Bolivar	0.268	236.082	8.55e-06	0.00753461
Scott	0.079	76.896	2.79e-06	0.00271842
Pearl River	0.041	97.931	7.4e-07	0.00176812
Calhoun	0.0	0.0	0.0	0.0
Pontotoc	0.0	0.0	0.0	0.0
Clarke	0.0	6.508	0.0	0.00041707
Marshall	0.0	6.891	0.0	0.00019438
Coahoma	0.346	174.182	1.529e-05	0.00769763
Leflore	0.04	38.448	1.38e-06	0.00132951
Adams	0.079	76.896	2.53e-06	0.00246525
Claiborne	0.0	0.0	0.0	0.0
Clay	0.0	0.0	0.0	0.0
Chickasaw	0.0	0.0	0.0	0.0
Itawamba	0.0	0.0	0.0	0.0
Forrest	4.397	1613.91	5.86e-05	0.02150848
Franklin	0.0	0.0	0.0	0.0
Humphreys	0.0	0.0	0.0	0.0
Greene	0.0	0.0	0.0	0.0
Lafayette	0.0	7.407	0.0	0.00013518
Lauderdale	0.004	99.904	5e-08	0.00132645
Stone	0.0	0.0	0.0	0.0
Hancock	0.008	19.589	1.7e-07	0.00041385
Union	0.0	0.0	0.0	0.0
Perry	0.366	134.491	3.068e-05	0.0112724
Sharkey	0.0	0.0	0.0	0.0
Tunica	0.23	116.122	2.313e-05	0.01167759
Carroll	0.0	6.209	0.0	0.00062648
Grenada	0.0	0.0	0.0	0.0
Tate	0.002	24.334	7e-08	0.00084614
Copiah	1.212	384.301	4.246e-05	0.01346393
Noxubee	0.0	0.0	0.0	0.0
Holmes	0.187	125.854	1.061e-05	0.00714187
Yazoo	1.4	477.874	4.956e-05	0.01691709
Lowndes	0.0	13.266	0.0	0.00022511
Tippah	0.0	1.594	0.0	7.247e-05
Warren	0.0	12.427	0.0	0.00026912
Neshoba	0.001	20.461	3e-08	0.00070252
Harrison	0.008	97.346	4e-08	0.00047107
Prentiss	0.0	0.0	0.0	0.0
Walthall	0.115	58.065	7.95e-06	0.00401417
Jasper	0.0	0.0	0.0	0.0
Amite	0.0	6.815	0.0	0.0005529
Winston	0.728	325.274	4.008e-05	0.01790663
Tishomingo	0.0	0.0	0.0	0.0
Sunflower	0.001	16.223	4e-08	0.00063039
Jackson	0.097	235.032	6.8e-07	0.0016404
