Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Yalobusha	312.0	10.0	0.0	302.0	0.02517753	0.00080697	3333.33333333	1538.46153846	1000.0	0.26899	0.124149230769	0.080697
Panola	912.0	11.0	0.0	901.0	0.02668383	0.00032184	3666.66666667	1692.30769231	1100.0	0.10728	0.0495138461538	0.032184
Jackson	1994.0	34.0	0.0	1960.0	0.0139171	0.0002373	11333.3333333	5230.76923077	3400.0	0.0791	0.0365076923077	0.02373
Harrison	2152.0	32.0	0.0	2120.0	0.01041374	0.00015485	10666.6666667	4923.07692308	3200.0	0.0516166666667	0.0238230769231	0.015485
Sunflower	908.0	22.0	0.0	886.0	0.03528269	0.00085487	7333.33333333	3384.61538462	2200.0	0.284956666667	0.131518461538	0.085487
Leake	768.0	25.0	0.0	743.0	0.03373896	0.00109827	8333.33333333	3846.15384615	2500.0	0.36609	0.168964615385	0.109827
Perry	222.0	7.0	0.0	215.0	0.01860699	0.00058671	2333.33333333	1076.92307692	700.0	0.19557	0.0902630769231	0.058671
Leflore	840.0	59.0	0.0	781.0	0.02904665	0.00204018	19666.6666667	9076.92307692	5900.0	0.68006	0.313873846154	0.204018
Clarke	300.0	25.0	0.0	275.0	0.01922584	0.00160215	8333.33333333	3846.15384615	2500.0	0.53405	0.246484615385	0.160215
Quitman	225.0	1.0	0.0	224.0	0.03191037	0.00014182	333.333333333	153.846153846	100.0	0.0472733333333	0.0218184615385	0.014182
Humphreys	271.0	11.0	0.0	260.0	0.03282064	0.0013322	3666.66666667	1692.30769231	1100.0	0.444066666667	0.204953846154	0.13322
Calhoun	378.0	8.0	0.0	370.0	0.02618454	0.00055417	2666.66666667	1230.76923077	800.0	0.184723333333	0.0852569230769	0.055417
Hinds	5269.0	106.0	0.0	5163.0	0.0222241	0.0004471	35333.3333333	16307.6923077	10600.0	0.149033333333	0.0687846153846	0.04471
Bolivar	948.0	32.0	0.0	916.0	0.03025564	0.00102129	10666.6666667	4923.07692308	3200.0	0.34043	0.157121538462	0.102129
Tishomingo	320.0	4.0	0.0	316.0	0.01644906	0.00020561	1333.33333333	615.384615385	400.0	0.0685366666667	0.0316323076923	0.020561
Covington	588.0	11.0	0.0	577.0	0.03118867	0.00058346	3666.66666667	1692.30769231	1100.0	0.194486666667	0.0897630769231	0.058346
Jefferson	193.0	6.0	0.0	187.0	0.02716015	0.00084436	2000.0	923.076923077	600.0	0.281453333333	0.129901538462	0.084436
Tippah	312.0	12.0	0.0	300.0	0.01418504	0.00054558	4000.0	1846.15384615	1200.0	0.18186	0.0839353846154	0.054558
Union	531.0	13.0	0.0	518.0	0.01856254	0.00045445	4333.33333333	2000.0	1300.0	0.151483333333	0.0699153846154	0.045445
Webster	199.0	12.0	0.0	187.0	0.02033102	0.00122599	4000.0	1846.15384615	1200.0	0.408663333333	0.188613846154	0.122599
Stone	152.0	3.0	0.0	149.0	0.00812096	0.00016028	1000.0	461.538461538	300.0	0.0534266666667	0.0246584615385	0.016028
Desoto	3326.0	27.0	0.0	3299.0	0.01827462	0.00014835	9000.0	4153.84615385	2700.0	0.04945	0.0228230769231	0.014835
Noxubee	419.0	10.0	0.0	409.0	0.03977219	0.00094922	3333.33333333	1538.46153846	1000.0	0.316406666667	0.146033846154	0.094922
Lamar	1121.0	12.0	0.0	1109.0	0.01795122	0.00019216	4000.0	1846.15384615	1200.0	0.0640533333333	0.0295630769231	0.019216
Wilkinson	187.0	12.0	0.0	175.0	0.02126934	0.00136488	4000.0	1846.15384615	1200.0	0.45496	0.209981538462	0.136488
Lee	1239.0	30.0	0.0	1209.0	0.01454191	0.0003521	10000.0	4615.38461538	3000.0	0.117366666667	0.0541692307692	0.03521
Lawrence	313.0	5.0	0.0	308.0	0.02513047	0.00040145	1666.66666667	769.230769231	500.0	0.133816666667	0.0617615384615	0.040145
Attala	498.0	24.0	0.0	474.0	0.0271168	0.00130683	8000.0	3692.30769231	2400.0	0.43561	0.201050769231	0.130683
Wayne	733.0	21.0	0.0	712.0	0.03611193	0.00103458	7000.0	3230.76923077	2100.0	0.34486	0.159166153846	0.103458
Rankin	2146.0	28.0	0.0	2118.0	0.01394394	0.00018193	9333.33333333	4307.69230769	2800.0	0.0606433333333	0.0279892307692	0.018193
Tate	650.0	23.0	0.0	627.0	0.02260162	0.00079975	7666.66666667	3538.46153846	2300.0	0.266583333333	0.123038461538	0.079975
Lauderdale	1329.0	88.0	0.0	1241.0	0.01764542	0.00116839	29333.3333333	13538.4615385	8800.0	0.389463333333	0.179752307692	0.116839
Pike	832.0	32.0	0.0	800.0	0.02102975	0.00080884	10666.6666667	4923.07692308	3200.0	0.269613333333	0.124436923077	0.080884
Amite	210.0	5.0	0.0	205.0	0.01703716	0.00040565	1666.66666667	769.230769231	500.0	0.135216666667	0.0624076923077	0.040565
Scott	955.0	17.0	0.0	938.0	0.03376109	0.00060098	5666.66666667	2615.38461538	1700.0	0.200326666667	0.0924584615385	0.060098
Winston	571.0	15.0	0.0	556.0	0.03143408	0.00082576	5000.0	2307.69230769	1500.0	0.275253333333	0.12704	0.082576
Prentiss	342.0	6.0	0.0	336.0	0.01350978	0.00023701	2000.0	923.076923077	600.0	0.0790033333333	0.0364630769231	0.023701
Pontotoc	737.0	7.0	0.0	730.0	0.02315207	0.0002199	2333.33333333	1076.92307692	700.0	0.0733	0.0338307692308	0.02199
Claiborne	400.0	13.0	0.0	387.0	0.04443457	0.00144412	4333.33333333	2000.0	1300.0	0.481373333333	0.222172307692	0.144412
Alcorn	357.0	4.0	0.0	353.0	0.00966825	0.00010833	1333.33333333	615.384615385	400.0	0.03611	0.0166661538462	0.010833
Jones	1774.0	57.0	0.0	1717.0	0.02591256	0.00083259	19000.0	8769.23076923	5700.0	0.27753	0.128090769231	0.083259
Kemper	223.0	15.0	0.0	208.0	0.02223995	0.00149596	5000.0	2307.69230769	1500.0	0.498653333333	0.230147692308	0.149596
Lincoln	745.0	40.0	0.0	705.0	0.02178044	0.00116942	13333.3333333	6153.84615385	4000.0	0.389806666667	0.179910769231	0.116942
Adams	584.0	25.0	0.0	559.0	0.01872275	0.00080149	8333.33333333	3846.15384615	2500.0	0.267163333333	0.123306153846	0.080149
Smith	380.0	13.0	0.0	367.0	0.02374703	0.0008124	4333.33333333	2000.0	1300.0	0.2708	0.124984615385	0.08124
Hancock	336.0	14.0	0.0	322.0	0.00709849	0.00029577	4666.66666667	2153.84615385	1400.0	0.09859	0.0455030769231	0.029577
Benton	125.0	0.0	0.0	125.0	0.01511305	0.0	625.0	250.0	156.25	0.07556525	0.0302261	0.0188913125
Coahoma	663.0	10.0	0.0	653.0	0.02929998	0.00044193	3333.33333333	1538.46153846	1000.0	0.14731	0.0679892307692	0.044193
Sharkey	180.0	1.0	0.0	179.0	0.04112406	0.00022847	333.333333333	153.846153846	100.0	0.0761566666667	0.0351492307692	0.022847
Greene	226.0	11.0	0.0	215.0	0.01663477	0.00080966	3666.66666667	1692.30769231	1100.0	0.269886666667	0.124563076923	0.080966
Chickasaw	438.0	19.0	0.0	419.0	0.02550812	0.00110652	6333.33333333	2923.07692308	1900.0	0.36884	0.170233846154	0.110652
Tallahatchie	493.0	10.0	0.0	483.0	0.03524702	0.00071495	3333.33333333	1538.46153846	1000.0	0.238316666667	0.109992307692	0.071495
Walthall	453.0	18.0	0.0	435.0	0.03131697	0.00124438	6000.0	2769.23076923	1800.0	0.414793333333	0.191443076923	0.124438
Lafayette	881.0	11.0	0.0	870.0	0.0160787	0.00020076	3666.66666667	1692.30769231	1100.0	0.06692	0.0308861538462	0.020076
Franklin	116.0	2.0	0.0	114.0	0.01489471	0.00025681	666.666666667	307.692307692	200.0	0.0856033333333	0.0395092307692	0.025681
Clay	370.0	13.0	0.0	357.0	0.01908594	0.00067059	4333.33333333	2000.0	1300.0	0.22353	0.103167692308	0.067059
Grenada	813.0	20.0	0.0	793.0	0.03861316	0.00094989	6666.66666667	3076.92307692	2000.0	0.31663	0.146136923077	0.094989
Montgomery	293.0	3.0	0.0	290.0	0.02923276	0.00029931	1000.0	461.538461538	300.0	0.09977	0.0460476923077	0.029931
Marshall	571.0	8.0	0.0	563.0	0.01610674	0.00022566	2666.66666667	1230.76923077	800.0	0.07522	0.0347169230769	0.022566
Simpson	712.0	27.0	0.0	685.0	0.02660886	0.00100904	9000.0	4153.84615385	2700.0	0.336346666667	0.155236923077	0.100904
Holmes	847.0	47.0	0.0	800.0	0.04806492	0.00266712	15666.6666667	7230.76923077	4700.0	0.88904	0.410326153846	0.266712
Madison	2297.0	56.0	0.0	2241.0	0.02174572	0.00053015	18666.6666667	8615.38461538	5600.0	0.176716666667	0.0815615384615	0.053015
Tunica	278.0	6.0	0.0	272.0	0.02795656	0.00060338	2000.0	923.076923077	600.0	0.201126666667	0.0928276923077	0.060338
Washington	1492.0	32.0	0.0	1460.0	0.0331092	0.00071012	10666.6666667	4923.07692308	3200.0	0.236706666667	0.109249230769	0.071012
Issaquena	21.0	1.0	0.0	20.0	0.01605505	0.00076453	333.333333333	153.846153846	100.0	0.254843333333	0.11762	0.076453
Copiah	917.0	24.0	0.0	893.0	0.03212697	0.00084084	8000.0	3692.30769231	2400.0	0.28028	0.12936	0.084084
Newton	516.0	11.0	0.0	505.0	0.0240638	0.00051299	3666.66666667	1692.30769231	1100.0	0.170996666667	0.0789215384615	0.051299
Carroll	245.0	11.0	0.0	234.0	0.02472001	0.00110988	3666.66666667	1692.30769231	1100.0	0.36996	0.170750769231	0.110988
Yazoo	786.0	11.0	0.0	775.0	0.02782498	0.00038941	3666.66666667	1692.30769231	1100.0	0.129803333333	0.0599092307692	0.038941
Itawamba	307.0	10.0	0.0	297.0	0.01305439	0.00042522	3333.33333333	1538.46153846	1000.0	0.14174	0.0654184615385	0.042522
Neshoba	1197.0	88.0	0.0	1109.0	0.04109871	0.00302146	29333.3333333	13538.4615385	8800.0	1.00715333333	0.46484	0.302146
Unassigned	0.0	0.0	0.0	0.0	N/A	N/A	0.0	0.0	0.0	N/A	N/A	N/A
Marion	601.0	18.0	0.0	583.0	0.02431722	0.0007283	6000.0	2769.23076923	1800.0	0.242766666667	0.112046153846	0.07283
Jasper	376.0	8.0	0.0	368.0	0.02288775	0.00048697	2666.66666667	1230.76923077	800.0	0.162323333333	0.0749184615385	0.048697
Choctaw	127.0	4.0	0.0	123.0	0.01534187	0.00048321	1333.33333333	615.384615385	400.0	0.16107	0.07434	0.048321
Pearl River	485.0	36.0	0.0	449.0	0.00875657	0.00064997	12000.0	5538.46153846	3600.0	0.216656666667	0.0999953846154	0.064997
Jefferson Davis	202.0	6.0	0.0	196.0	0.01798113	0.00053409	2000.0	923.076923077	600.0	0.17803	0.0821676923077	0.053409
Oktibbeha	1054.0	35.0	0.0	1019.0	0.02125043	0.00070566	11666.6666667	5384.61538462	3500.0	0.23522	0.108563076923	0.070566
Lowndes	989.0	32.0	0.0	957.0	0.01678262	0.00054302	10666.6666667	4923.07692308	3200.0	0.181006666667	0.0835415384615	0.054302
Forrest	1640.0	53.0	0.0	1587.0	0.02185618	0.00070633	17666.6666667	8153.84615385	5300.0	0.235443333333	0.108666153846	0.070633
George	547.0	5.0	0.0	542.0	0.0225567	0.00020619	1666.66666667	769.230769231	500.0	0.06873	0.0317215384615	0.020619
Monroe	702.0	50.0	0.0	652.0	0.01973906	0.00140592	16666.6666667	7692.30769231	5000.0	0.46864	0.216295384615	0.140592
Warren	964.0	27.0	0.0	937.0	0.02087665	0.00058472	9000.0	4153.84615385	2700.0	0.194906666667	0.0899569230769	0.058472
