Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Jones	0.001	61.387	69.459	0.0	11.713	189.057	1e-08	0.00089667	0.00101458	0.0	0.00017109	0.00276153
Pike	0.0	34.464	38.803	2.701	1001.804	1109.677	0.0	0.00087112	0.00098079	6.827e-05	0.02532174	0.02804835
Wayne	0.0	16.626	21.643	0.0	0.0	88.069	0.0	0.0008191	0.00106626	0.0	0.0	0.0043388
Oktibbeha	0.004	293.823	297.645	0.0	0.436	88.308	8e-08	0.00592397	0.00600103	0.0	8.79e-06	0.00178044
Montgomery	0.0	28.943	33.32	0.002	22.898	99.74	0.0	0.00288766	0.00332435	2e-07	0.00228455	0.00995111
Rankin	0.0	421.622	430.193	0.081	156.177	345.738	0.0	0.00273955	0.00279524	5.3e-07	0.00101478	0.00224648
Webster	0.0	19.67	21.935	0.0	0.0	50.104	0.0	0.0020096	0.00224101	0.0	0.0	0.00511892
Jefferson Davis	0.001	97.298	99.186	0.003	8.032	42.533	9e-08	0.00866103	0.00882909	2.7e-07	0.00071497	0.0037861
Lincoln	0.0	31.311	35.729	0.081	85.081	184.292	0.0	0.00091539	0.00104455	2.37e-06	0.00248738	0.00538787
Kemper	0.0	11.26	15.251	0.003	8.032	57.359	0.0	0.00112297	0.00152099	3e-07	0.00080104	0.00572045
Quitman	0.001	49.507	51.093	0.003	8.97	50.26	1.4e-07	0.00702127	0.00724621	4.3e-07	0.00127216	0.00712807
Hinds	0.0	69.865	88.611	0.001	32.675	488.494	0.0	0.00029468	0.00037375	0.0	0.00013782	0.00206042
Lee	0.0	137.072	165.856	0.001	32.09	543.876	0.0	0.00160879	0.00194662	1e-08	0.00037663	0.00638337
Alcorn	0.005	338.179	342.847	0.0	0.0	95.683	1.4e-07	0.00915854	0.00928496	0.0	0.0	0.00259128
Leake	0.001	48.367	50.779	0.012	33.529	77.614	4e-08	0.00212481	0.00223077	5.3e-07	0.00147296	0.00340966
Desoto	0.0	403.114	418.404	0.001	23.373	402.234	0.0	0.0022149	0.00229891	1e-08	0.00012842	0.00221006
Yalobusha	0.0	26.361	28.061	0.001	10.106	35.562	0.0	0.00212726	0.00226444	8e-08	0.00081553	0.00286975
Tallahatchie	0.0	10.149	13.071	0.038	40.537	104.297	0.0	0.0007256	0.00093451	2.72e-06	0.00289819	0.00745671
Newton	0.0	51.265	54.335	0.0	3.154	59.264	0.0	0.00239076	0.00253393	0.0	0.00014709	0.00276379
Panola	0.0	29.614	30.536	0.0	13.666	121.46	0.0	0.00086646	0.00089344	0.0	0.00039985	0.00355375
Monroe	0.0	35.599	44.828	0.0	1.577	172.892	0.0	0.00100098	0.00126049	0.0	4.434e-05	0.00486143
Lamar	0.002	150.356	153.324	0.0	10.81	105.027	3e-08	0.00240774	0.00245527	0.0	0.00017311	0.00168186
Lawrence	0.001	65.606	70.774	0.0	4.616	75.297	8e-08	0.00526744	0.00568238	0.0	0.00037061	0.00604552
Simpson	0.001	65.242	65.486	0.0	1.355	52.363	4e-08	0.00243822	0.00244734	0.0	5.064e-05	0.00195691
Wilkinson	0.001	72.084	75.1	0.345	191.208	245.536	1.1e-07	0.00819882	0.00854186	3.924e-05	0.02174795	0.02792721
Bolivar	0.005	322.364	322.587	1.665	710.381	778.227	1.6e-07	0.01028832	0.01029544	5.314e-05	0.02267198	0.0248373
Pearl River	0.0	172.747	176.05	0.0	13.175	93.287	0.0	0.00311891	0.00317854	0.0	0.00023787	0.00168428
Calhoun	0.0	20.857	21.029	0.003	8.738	36.348	0.0	0.00144479	0.00145671	2.1e-07	0.00060529	0.00251787
Pontotoc	0.0	176.777	177.721	0.564	240.742	318.496	0.0	0.00555326	0.00558292	1.772e-05	0.00756266	0.01000521
Clarke	0.0	13.16	16.17	0.185	78.931	133.935	0.0	0.00084337	0.00103627	1.186e-05	0.00505838	0.00858338
Marshall	0.0	18.495	19.344	0.0	3.154	102.472	0.0	0.00052171	0.00054565	0.0	8.897e-05	0.00289052
Coahoma	0.0	86.107	95.916	0.047	55.14	234.383	0.0	0.00380533	0.00423882	2.08e-06	0.0024368	0.0103581
Issaquena	0.0	7.557	7.561	0.135	69.911	71.309	0.0	0.00577752	0.00578058	0.00010321	0.05344878	0.05451758
Leflore	0.0	2.396	5.598	0.114	108.795	203.456	0.0	8.285e-05	0.00019358	3.94e-06	0.00376206	0.00703537
Adams	0.002	153.122	157.686	0.028	40.226	123.633	6e-08	0.00490902	0.00505533	9e-07	0.00128963	0.00396361
Claiborne	0.0	0.913	2.016	0.003	8.032	28.186	0.0	0.00010142	0.00022395	3.3e-07	0.00089225	0.00313108
Clay	0.001	48.88	49.902	0.0	0.947	31.147	5e-08	0.00252141	0.00257413	0.0	4.885e-05	0.00160667
Itawamba	0.003	184.503	191.692	0.0	0.278	129.789	1.3e-07	0.00784552	0.00815121	0.0	1.182e-05	0.00551894
Forrest	0.003	181.782	190.793	0.0	1.627	216.36	4e-08	0.0024226	0.00254269	0.0	2.168e-05	0.00288342
Lafayette	0.008	535.54	542.557	0.0	12.232	162.987	1.5e-07	0.00977388	0.00990194	0.0	0.00022324	0.0029746
Lauderdale	0.0	256.752	263.598	0.0	16.474	141.585	0.0	0.00340895	0.00349985	0.0	0.00021873	0.00187985
Stone	0.001	71.7	77.396	0.0	0.196	104.279	5e-08	0.00383074	0.00413506	0.0	1.047e-05	0.00557135
Hancock	0.001	62.002	65.491	0.0	0.303	77.481	2e-08	0.00130988	0.00138359	0.0	6.4e-06	0.0016369
Union	0.001	100.726	117.083	0.0	5.853	293.011	3e-08	0.00352115	0.00409295	0.0	0.00020461	0.01024299
Sharkey	0.0	35.245	37.095	0.0	5.846	39.65	0.0	0.00805232	0.00847498	0.0	0.00133562	0.00905872
Tunica	0.0	9.894	10.601	0.0	8.777	67.017	0.0	0.00099497	0.00106607	0.0	0.00088264	0.00673944
Grenada	0.0	5.492	7.209	0.009	26.444	68.192	0.0	0.00026084	0.00034239	4.3e-07	0.00125595	0.00323876
Tate	0.0	10.749	13.486	0.0	5.369	86.284	0.0	0.00037376	0.00046893	0.0	0.00018669	0.00300024
Copiah	0.001	36.221	38.803	0.001	7.111	63.46	4e-08	0.001269	0.00135946	4e-08	0.00024913	0.00222331
Holmes	0.0	9.065	15.841	0.688	333.399	453.878	0.0	0.00051441	0.00089893	3.904e-05	0.01891948	0.02575633
Lowndes	0.0	63.625	63.947	0.002	34.746	102.169	0.0	0.00107967	0.00108513	3e-08	0.00058961	0.00173373
Tippah	0.002	141.307	149.941	0.0	0.124	149.731	9e-08	0.00642451	0.00681705	0.0	5.64e-06	0.0068075
