Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-19	4.236	159.236	0.0	1.0
2020-06-20	4.197	163.433	0.0	1.0
2020-06-21	4.142	167.575	0.0	1.0
2020-06-22	4.08	171.655	0.0	1.0
2020-06-23	4.001	175.656	0.0	1.0
2020-06-24	3.906	179.562	0.0	1.0
2020-06-25	3.805	183.367	0.0	1.0
2020-06-26	3.703	187.07	0.0	1.0
2020-06-27	3.602	190.672	0.0	1.0
2020-06-28	3.509	194.181	0.0	1.0
2020-06-29	3.424	197.605	0.0	1.0
2020-06-30	3.337	200.942	0.0	1.0
2020-07-01	3.243	204.185	0.0	1.0
2020-07-02	3.14	207.325	0.0	1.0
2020-07-03	3.029	210.354	0.0	1.0
2020-07-04	2.911	213.265	0.0	1.0
2020-07-05	2.792	216.057	0.0	1.0
2020-07-06	2.674	218.731	0.0	1.0
2020-07-07	2.557	221.288	0.0	1.0
2020-07-08	2.442	223.73	0.0	1.0
2020-07-09	2.331	226.061	0.0	1.0
2020-07-10	2.221	228.282	0.0	1.0
2020-07-11	2.113	230.395	0.0	1.0
2020-07-12	2.009	232.404	0.0	1.0
2020-07-13	1.908	234.312	0.0	1.0
2020-07-14	1.811	236.123	0.0	1.0
2020-07-15	1.717	237.84	0.0	1.0
2020-07-16	1.628	239.468	0.0	1.0
2020-07-17	1.544	241.012	0.0	1.0
2020-07-18	1.462	242.474	0.0	1.0
2020-07-19	1.383	243.857	0.0	1.0
2020-07-20	1.307	245.164	0.0	1.0
2020-07-21	1.232	246.396	0.0	1.0
2020-07-22	1.158	247.554	0.0	1.0
2020-07-23	1.083	248.637	0.0	1.0
2020-07-24	1.009	249.646	0.0	1.0
2020-07-25	0.936	250.582	0.0	1.0
2020-07-26	0.868	251.45	0.0	1.0
2020-07-27	0.808	252.258	0.0	1.0
2020-07-28	0.756	253.014	0.0	1.0
2020-07-29	0.712	253.726	0.0	1.0
2020-07-30	0.673	254.399	0.0	1.0
2020-07-31	0.637	255.036	0.0	1.0
2020-08-01	0.601	255.637	0.0	1.0
2020-08-02	0.566	256.203	0.0	1.0
2020-08-03	0.53	256.733	0.0	1.0
2020-08-04	0.495	257.228	0.0	1.0
2020-08-05	0.459	257.687	0.0	1.0
2020-08-06	0.428	258.115	0.0	1.0
2020-08-07	0.399	258.514	0.0	1.0
2020-08-08	0.373	258.887	0.0	1.0
2020-08-09	0.35	259.237	0.0	1.0
2020-08-10	0.329	259.566	0.0	1.0
2020-08-11	0.308	259.874	0.0	1.0
2020-08-12	0.287	260.161	0.0	1.0
2020-08-13	0.267	260.428	0.0	1.0
2020-08-14	0.246	260.674	0.0	1.0
2020-08-15	0.225	260.899	0.0	1.0
2020-08-16	0.204	261.103	0.0	1.0
2020-08-17	0.184	261.287	0.0	1.0
2020-08-18	0.165	261.452	0.0	1.0
2020-08-19	0.148	261.6	0.0	1.0
2020-08-20	0.132	261.732	0.0	1.0
2020-08-21	0.118	261.85	0.0	1.0
2020-08-22	0.104	261.954	0.0	1.0
2020-08-23	0.091	262.045	0.0	1.0
2020-08-24	0.077	262.122	0.0	1.0
2020-08-25	0.063	262.185	0.0	1.0
2020-08-26	0.05	262.235	0.0	1.0
2020-08-27	0.035	262.27	0.0	1.0
2020-08-28	0.023	262.293	0.0	1.0
2020-08-29	0.014	262.307	0.0	1.0
2020-08-30	0.009	262.316	0.0	1.0
2020-08-31	0.006	262.322	0.0	1.0
2020-09-01	0.004	262.326	0.0	1.0
2020-09-02	0.003	262.329	0.0	1.0
2020-09-03	0.003	262.332	0.0	1.0
2020-09-04	0.002	262.334	0.0	1.0
2020-09-05	0.002	262.336	0.0	1.0
2020-09-06	0.001	262.337	0.0	1.0
2020-09-07	0.001	262.338	0.0	1.0
