Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-22	3.796	106.796	0.0	1.0
2020-04-23	3.761	110.557	0.0	1.0
2020-04-24	3.712	114.269	0.0	1.0
2020-04-25	3.656	117.925	0.0	1.0
2020-04-26	3.585	121.51	0.0	1.0
2020-04-27	3.501	125.011	0.0	1.0
2020-04-28	3.409	128.42	0.0	1.0
2020-04-29	3.318	131.738	0.0	1.0
2020-04-30	3.228	134.966	0.0	1.0
2020-05-01	3.145	138.111	0.0	1.0
2020-05-02	3.068	141.179	0.0	1.0
2020-05-03	2.991	144.17	0.0	1.0
2020-05-04	2.906	147.076	0.0	1.0
2020-05-05	2.814	149.89	0.0	1.0
2020-05-06	2.714	152.604	0.0	1.0
2020-05-07	2.608	155.212	0.0	1.0
2020-05-08	2.502	157.714	0.0	1.0
2020-05-09	2.396	160.11	0.0	1.0
2020-05-10	2.291	162.401	0.0	1.0
2020-05-11	2.188	164.589	0.0	1.0
2020-05-12	2.088	166.677	0.0	1.0
2020-05-13	1.99	168.667	0.0	1.0
2020-05-14	1.894	170.561	0.0	1.0
2020-05-15	1.8	172.361	0.0	1.0
2020-05-16	1.71	174.071	0.0	1.0
2020-05-17	1.623	175.694	0.0	1.0
2020-05-18	1.539	177.233	0.0	1.0
2020-05-19	1.459	178.692	0.0	1.0
2020-05-20	1.383	180.075	0.0	1.0
2020-05-21	1.31	181.385	0.0	1.0
2020-05-22	1.239	182.624	0.0	1.0
2020-05-23	1.171	183.795	0.0	1.0
2020-05-24	1.104	184.899	0.0	1.0
2020-05-25	1.037	185.936	0.0	1.0
2020-05-26	0.971	186.907	0.0	1.0
2020-05-27	0.904	187.811	0.0	1.0
2020-05-28	0.839	188.65	0.0	1.0
2020-05-29	0.778	189.428	0.0	1.0
2020-05-30	0.724	190.152	0.0	1.0
2020-05-31	0.678	190.83	0.0	1.0
2020-06-01	0.638	191.468	0.0	1.0
2020-06-02	0.603	192.071	0.0	1.0
2020-06-03	0.571	192.642	0.0	1.0
2020-06-04	0.539	193.181	0.0	1.0
2020-06-05	0.507	193.688	0.0	1.0
2020-06-06	0.475	194.163	0.0	1.0
2020-06-07	0.443	194.606	0.0	1.0
2020-06-08	0.412	195.018	0.0	1.0
2020-06-09	0.383	195.401	0.0	1.0
2020-06-10	0.357	195.758	0.0	1.0
2020-06-11	0.334	196.092	0.0	1.0
2020-06-12	0.314	196.406	0.0	1.0
2020-06-13	0.295	196.701	0.0	1.0
2020-06-14	0.276	196.977	0.0	1.0
2020-06-15	0.258	197.235	0.0	1.0
2020-06-16	0.239	197.474	0.0	1.0
2020-06-17	0.22	197.694	0.0	1.0
2020-06-18	0.202	197.896	0.0	1.0
2020-06-19	0.183	198.079	0.0	1.0
2020-06-20	0.165	198.244	0.0	1.0
2020-06-21	0.148	198.392	0.0	1.0
2020-06-22	0.133	198.525	0.0	1.0
2020-06-23	0.118	198.643	0.0	1.0
2020-06-24	0.105	198.748	0.0	1.0
2020-06-25	0.093	198.841	0.0	1.0
2020-06-26	0.081	198.922	0.0	1.0
2020-06-27	0.069	198.991	0.0	1.0
2020-06-28	0.057	199.048	0.0	1.0
2020-06-29	0.044	199.092	0.0	1.0
2020-06-30	0.032	199.124	0.0	1.0
2020-07-01	0.02	199.144	0.0	1.0
2020-07-02	0.013	199.157	0.0	1.0
2020-07-03	0.008	199.165	0.0	1.0
2020-07-04	0.005	199.17	0.0	1.0
2020-07-05	0.004	199.174	0.0	1.0
2020-07-06	0.003	199.177	0.0	1.0
2020-07-07	0.002	199.179	0.0	1.0
2020-07-08	0.002	199.181	0.0	1.0
2020-07-09	0.001	199.182	0.0	1.0
