Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-22	2.551	122.551	0.0	3.0
2020-06-23	2.461	125.012	0.0	3.0
2020-06-24	2.365	127.377	0.0	3.0
2020-06-25	2.269	129.646	0.0	3.0
2020-06-26	2.173	131.819	0.0	3.0
2020-06-27	2.077	133.896	0.0	3.0
2020-06-28	1.984	135.88	0.0	3.0
2020-06-29	1.894	137.774	0.0	3.0
2020-06-30	1.804	139.578	0.0	3.0
2020-07-01	1.717	141.295	0.0	3.0
2020-07-02	1.632	142.927	0.0	3.0
2020-07-03	1.551	144.478	0.0	3.0
2020-07-04	1.471	145.949	0.0	3.0
2020-07-05	1.395	147.344	0.0	3.0
2020-07-06	1.323	148.667	0.0	3.0
2020-07-07	1.254	149.921	0.0	3.0
2020-07-08	1.188	151.109	0.0	3.0
2020-07-09	1.124	152.233	0.0	3.0
2020-07-10	1.062	153.295	0.0	3.0
2020-07-11	1.001	154.296	0.0	3.0
2020-07-12	0.941	155.237	0.0	3.0
2020-07-13	0.88	156.117	0.0	3.0
2020-07-14	0.82	156.937	0.0	3.0
2020-07-15	0.76	157.697	0.0	3.0
2020-07-16	0.705	158.402	0.0	3.0
2020-07-17	0.657	159.059	0.0	3.0
2020-07-18	0.615	159.674	0.0	3.0
2020-07-19	0.578	160.252	0.0	3.0
2020-07-20	0.547	160.799	0.0	3.0
2020-07-21	0.518	161.317	0.0	3.0
2020-07-22	0.489	161.806	0.0	3.0
2020-07-23	0.46	162.266	0.0	3.0
2020-07-24	0.431	162.697	0.0	3.0
2020-07-25	0.402	163.099	0.0	3.0
2020-07-26	0.373	163.472	0.0	3.0
2020-07-27	0.347	163.819	0.0	3.0
2020-07-28	0.324	164.143	0.0	3.0
2020-07-29	0.303	164.446	0.0	3.0
2020-07-30	0.284	164.73	0.0	3.0
2020-07-31	0.267	164.997	0.0	3.0
2020-08-01	0.25	165.247	0.0	3.0
2020-08-02	0.234	165.481	0.0	3.0
2020-08-03	0.217	165.698	0.0	3.0
2020-08-04	0.2	165.898	0.0	3.0
2020-08-05	0.183	166.081	0.0	3.0
2020-08-06	0.166	166.247	0.0	3.0
2020-08-07	0.15	166.397	0.0	3.0
2020-08-08	0.134	166.531	0.0	3.0
2020-08-09	0.12	166.651	0.0	3.0
2020-08-10	0.107	166.758	0.0	3.0
2020-08-11	0.096	166.854	0.0	3.0
2020-08-12	0.085	166.939	0.0	3.0
2020-08-13	0.074	167.013	0.0	3.0
2020-08-14	0.063	167.076	0.0	3.0
2020-08-15	0.052	167.128	0.0	3.0
2020-08-16	0.04	167.168	0.0	3.0
2020-08-17	0.029	167.197	0.0	3.0
2020-08-18	0.018	167.215	0.0	3.0
2020-08-19	0.011	167.226	0.0	3.0
2020-08-20	0.007	167.233	0.0	3.0
2020-08-21	0.005	167.238	0.0	3.0
2020-08-22	0.003	167.241	0.0	3.0
2020-08-23	0.003	167.244	0.0	3.0
2020-08-24	0.002	167.246	0.0	3.0
2020-08-25	0.002	167.248	0.0	3.0
2020-08-26	0.001	167.249	0.0	3.0
2020-08-27	0.001	167.25	0.0	3.0
2020-08-28	0.001	167.251	0.0	3.0
2020-08-29	0.0	167.251	0.0	3.0
2020-08-30	0.0	167.251	0.0	3.0
2020-08-31	0.0	167.251	0.0	3.0
2020-09-01	0.0	167.251	0.0	3.0
2020-09-02	0.0	167.251	0.0	3.0
2020-09-03	0.0	167.251	0.0	3.0
2020-09-04	0.0	167.251	0.0	3.0
2020-09-05	0.0	167.251	0.0	3.0
2020-09-06	0.0	167.251	0.0	3.0
2020-09-07	0.0	167.251	0.0	3.0
2020-09-08	0.0	167.251	0.0	3.0
2020-09-09	0.0	167.251	0.0	3.0
