Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-13	3.213	502.213	0.004	3.004
2020-08-14	2.916	505.129	0.003	3.007
2020-08-15	2.627	507.756	0.002	3.009
2020-08-16	2.357	510.113	0.001	3.01
2020-08-17	2.111	512.224	0.001	3.011
2020-08-18	1.886	514.11	0.001	3.012
2020-08-19	1.679	515.789	0.001	3.013
2020-08-20	1.485	517.274	0.001	3.014
2020-08-21	1.293	518.567	0.0	3.014
2020-08-22	1.1	519.667	0.0	3.014
2020-08-23	0.906	520.573	0.0	3.014
2020-08-24	0.708	521.281	0.0	3.014
2020-08-25	0.502	521.783	0.0	3.014
2020-08-26	0.323	522.106	0.0	3.014
2020-08-27	0.199	522.305	0.0	3.014
2020-08-28	0.126	522.431	0.0	3.014
2020-08-29	0.083	522.514	0.0	3.014
2020-08-30	0.059	522.573	0.0	3.014
2020-08-31	0.046	522.619	0.0	3.014
2020-09-01	0.037	522.656	0.0	3.014
2020-09-02	0.029	522.685	0.0	3.014
2020-09-03	0.023	522.708	0.0	3.014
2020-09-04	0.017	522.725	0.0	3.014
2020-09-05	0.013	522.738	0.0	3.014
