Name	Predicted_New_Cases	Total_Predicted_New_Cases
Wright	0.0	0.0
Pike	0.0	0.0
Pemiscot	0.0	0.0
Montgomery	1.808	440.84
Platte	0.009	14.812
Webster	0.0	0.0
Reynolds	0.0	0.0
St. Louis City	0.58	960.783
Taney	4.039	876.918
Ralls	0.0	0.0
Camden	6.058	1315.379
New Madrid	0.0	0.0
Howell	0.0	0.0
Caldwell	0.0	0.0
Gasconade	0.0	0.0
Macon	0.0	0.0
Dunklin	2.019	438.455
Bates	0.0	0.0
Cass	2.019	441.455
Jefferson	22.914	5272.418
Newton	0.0	0.0
Pulaski	2.019	438.455
Ripley	0.0	0.0
Maries	0.0	0.0
Saint Louis	3.09	2846.049
Saint Francois	8.077	1751.834
Pettis	0.0	0.0
McDonald	0.0	0.0
Livingston	0.0	0.0
Benton	0.0	0.0
Saint Charles	1.115	841.516
Henry	0.0	1.0
Carter	-1.706	-442.134
Buchanan	0.0	0.0
Scott	2.019	440.455
Nodaway	0.993	443.743
Cole	6.058	1315.379
Saline	0.933	442.528
Christian	2.019	438.455
Stoddard	0.0	0.0
Osage	0.0	0.0
Unassigned	-2.116	-889.145
Randolph	0.0	0.0
Barry	0.0	0.0
Atchison	0.0	0.0
Clay	0.02	50.609
De Kalb	0.0	0.0
Shelby	0.0	0.0
Franklin	0.003	40.559
Cooper	0.0	0.0
Butler	0.0	0.0
Stone	0.0	0.0
Sainte Genevieve	0.0	0.0
Chariton	0.0	0.0
Texas	0.0	0.0
Worth	0.0	0.0
Clark	0.0	0.0
Moniteau	0.0	2.0
Morgan	0.0	0.0
Johnson	0.008	29.281
Kansas City	66.637	14476.141
Harrison	0.0	0.0
Phelps	0.0	0.0
Cedar	0.0	0.0
Clinton	2.019	438.455
Crawford	1.304	445.112
Gentry	0.0	0.0
Ray	1.605	443.231
Jasper	8.077	1751.834
Callaway	0.0	1.0
Bollinger	0.0	0.0
Adair	0.0	0.0
Jackson	0.154	237.348
