Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Pike	0.002	88.783	157.783	0.0	0.0	1.0	1.1e-07	0.00479804	0.00852697	0.0	0.0	5.404e-05
Wayne	0.107	266.89	300.89	0.0	0.0	0.0	8.15e-06	0.02033913	0.02293019	0.0	0.0	0.0
Pemiscot	0.0	71.968	275.968	0.0	4.723	12.723	0.0	0.00442281	0.01695969	0.0	0.00029025	0.0007819
Montgomery	0.002	61.966	94.966	0.0	0.0	0.0	1.7e-07	0.00537246	0.00823357	0.0	0.0	0.0
Platte	0.015	519.151	827.151	0.013	19.935	29.935	1.5e-07	0.00504104	0.00803176	1.3e-07	0.00019357	0.00029067
Reynolds	0.871	623.449	639.449	0.0	0.0	0.0	0.00013927	0.09968804	0.1022464	0.0	0.0	0.0
Taney	0.028	985.112	1388.112	0.0	0.0	3.0	5e-07	0.0176379	0.0248534	0.0	0.0	5.371e-05
Camden	0.0	496.098	790.098	0.001	9.203	13.203	0.0	0.01082829	0.0172454	2e-08	0.00020087	0.00028818
Washington	0.006	97.661	151.661	0.0	0.0	1.0	2.4e-07	0.00391537	0.0060803	0.0	0.0	4.009e-05
Macon	1.693	1210.941	1263.941	0.0	0.0	0.0	0.00011173	0.07991427	0.08341193	0.0	0.0	0.0
Dunklin	0.0	197.662	439.662	0.0	2.363	6.363	0.0	0.00671794	0.0149428	0.0	8.031e-05	0.00021626
Cass	0.0	888.077	1518.077	0.0	3.738	12.738	0.0	0.00846158	0.01446421	0.0	3.562e-05	0.00012137
Jefferson	0.058	2606.497	3934.497	0.02	35.519	59.519	2.6e-07	0.01161815	0.01753755	9e-08	0.00015832	0.0002653
Barton	0.0	48.799	113.799	0.0	0.0	0.0	0.0	0.00413621	0.00964562	0.0	0.0	0.0
Pettis	0.081	1391.199	1798.199	0.0	0.62	3.62	1.9e-06	0.03270178	0.04226879	0.0	1.457e-05	8.509e-05
Marion	0.003	288.432	438.432	0.0	0.0	1.0	1e-07	0.01008786	0.01533408	0.0	0.0	3.497e-05
Livingston	0.015	163.511	216.511	0.0	12.418	12.418	9.9e-07	0.01079566	0.01429493	0.0	0.00081989	0.00081989
Saint Charles	0.0	4082.767	7590.767	0.275	333.975	420.975	0.0	0.01022783	0.0190158	6.9e-07	0.00083665	0.00105459
Henry	0.019	210.176	279.176	0.0	0.0	3.0	8.7e-07	0.00964464	0.01281094	0.0	0.0	0.00013767
Boone	0.024	1614.63	2819.63	0.0	0.62	3.62	1.3e-07	0.00896992	0.01566418	0.0	3.44e-06	2.011e-05
Holt	0.514	367.678	373.678	0.0	0.62	0.62	0.00011671	0.08348728	0.08484968	0.0	0.00014078	0.00014078
Buchanan	0.0	145.856	1201.856	0.0	7.087	17.087	0.0	0.00164677	0.01356941	0.0	8.001e-05	0.00019292
Hickory	0.0	43.426	59.426	0.0	7.087	7.087	0.0	0.00456683	0.00624945	0.0	0.00074529	0.00074529
Scott	0.0	204.738	545.738	0.0	0.0	13.0	0.0	0.00532368	0.01419049	0.0	0.0	0.00033803
Miller	0.002	166.324	259.324	0.0	0.0	0.0	8e-08	0.00656473	0.0102354	0.0	0.0	0.0
Howard	0.0	9.958	54.958	0.0	0.0	0.0	0.0	0.00098234	0.00542153	0.0	0.0	0.0
Nodaway	0.005	405.366	558.366	0.0	0.0	0.0	2.2e-07	0.01817459	0.02503434	0.0	0.0	0.0
Scotland	0.101	71.942	83.942	0.0	0.0	1.0	2.034e-05	0.01448691	0.01690334	0.0	0.0	0.00020137
Saline	0.0	135.138	544.138	0.0	2.631	9.631	0.0	0.00590251	0.02376667	0.0	0.00011492	0.00042066
Christian	0.056	963.412	1238.412	0.0	0.0	1.0	6.4e-07	0.01107587	0.0142374	0.0	0.0	1.15e-05
Stoddard	0.0	86.546	293.546	0.0	0.0	9.0	0.0	0.0029633	0.01005088	0.0	0.0	0.00030816
Dade	0.0	4.436	18.436	0.0	0.0	0.0	0.0	0.00058607	0.00243572	0.0	0.0	0.0
Osage	0.0	2.629	39.629	0.0	0.0	0.0	0.0	0.0001917	0.00288967	0.0	0.0	0.0
Randolph	4.173	2985.378	3040.378	0.0	0.0	1.0	0.00016852	0.12055801	0.12277907	0.0	0.0	4.038e-05
Clay	0.095	1632.873	2528.873	0.15	181.737	201.737	3.9e-07	0.00662786	0.01026474	6.1e-07	0.00073767	0.00081885
Putnam	0.279	199.827	209.827	0.0	0.0	1.0	5.865e-05	0.04200694	0.0441091	0.0	0.0	0.00021022
Franklin	0.0	280.799	796.799	0.0	0.0	18.0	0.0	0.00270858	0.00768592	0.0	0.0	0.00017363
Cooper	11.201	6755.819	6846.819	0.0	0.0	0.0	0.00063631	0.38378793	0.38895751	0.0	0.0	0.0
Greene	0.081	2855.994	4059.994	0.019	29.907	39.907	2.8e-07	0.00978338	0.01390776	7e-08	0.00010245	0.0001367
Chariton	0.0	11.338	25.338	0.0	0.0	0.0	0.0	0.00152167	0.00340062	0.0	0.0	0.0
Perry	0.0	31.196	233.196	0.0	2.363	6.363	0.0	0.00162903	0.01217734	0.0	0.00012339	0.00033227
Texas	0.017	118.936	153.936	0.0	2.363	2.363	6.6e-07	0.00465121	0.00601994	0.0	9.241e-05	9.241e-05
Worth	0.0	5.29	13.29	0.0	2.363	2.363	0.0	0.00259314	0.00651471	0.0	0.00115833	0.00115833
Clark	0.447	319.723	332.723	0.0	2.363	2.363	6.533e-05	0.04672947	0.04862949	0.0	0.00034537	0.00034537
Carroll	0.0	134.863	232.863	0.0	2.363	2.363	0.0	0.01542525	0.02663422	0.0	0.00027027	0.00027027
Morgan	0.007	180.649	242.649	0.0	0.0	0.0	3.4e-07	0.00887361	0.0119191	0.0	0.0	0.0
Sullivan	0.0	26.22	160.22	0.0	0.0	0.0	0.0	0.00421476	0.0257547	0.0	0.0	0.0
Gentry	0.01	107.144	186.144	0.0	0.0	9.0	1.51e-06	0.01616536	0.02808449	0.0	0.0	0.00135788
Ray	3.096	2709.15	2799.15	0.0	0.0	0.0	0.0001353	0.11839138	0.12232443	0.0	0.0	0.0
Jasper	0.0	918.598	2564.598	0.001	23.866	48.866	0.0	0.00761463	0.02125898	1e-08	0.00019783	0.00040507
Callaway	0.005	163.004	286.004	0.0	0.0	1.0	1.1e-07	0.00363127	0.00637136	0.0	0.0	2.228e-05
Jackson	0.054	4611.59	8007.59	0.0	23.539	82.539	8e-08	0.0065851	0.0114344	0.0	3.361e-05	0.00011786
