Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Lincoln	0.21	0.647	1.062e-05	3.267e-05
Silver Bow	0.0	0.014	0.0	4.1e-07
Yellowstone	1.531	4.721	9.56e-06	2.948e-05
Carbon	0.0	0.0	0.0	0.0
Jefferson	0.0	0.0	0.0	0.0
Park	0.0	0.0	0.0	0.0
Glacier	0.0	0.0	0.0	0.0
Broadwater	0.17	0.525	2.795e-05	8.621e-05
Hill	0.0	0.0	0.0	0.0
Madison	0.454	1.399	5.173e-05	0.00015955
Roosevelt	0.85	2.623	7.69e-05	0.00023718
Liberty	0.829	2.553	0.00034095	0.00105072
Ravalli	0.17	0.525	3.94e-06	1.215e-05
Deer Lodge	0.0	0.0	0.0	0.0
Lake	0.0	0.0	0.0	0.0
Lewis and Clark	0.283	0.874	4.13e-06	1.273e-05
Unassigned	0.0	0.0	N/A	N/A
Cascade	0.0	0.0	0.0	0.0
Toole	1.634	5.035	0.00033661	0.00103754
Gallatin	4.141	13.076	3.702e-05	0.00011688
Missoula	1.077	3.322	9.07e-06	2.797e-05
Beaverhead	0.0	0.0	0.0	0.0
Meagher	0.0	0.0	0.0	0.0
Flathead	2.098	6.47	2.055e-05	6.337e-05
Musselshell	0.85	2.623	0.00018285	0.00056396
