Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-20	31.631	2564.631	11.489	48.489
2020-07-21	32.036	2596.667	12.749	61.238
2020-07-22	32.151	2628.818	14.005	75.243
2020-07-23	32.091	2660.909	15.271	90.514
2020-07-24	31.796	2692.705	16.588	107.102
2020-07-25	31.382	2724.087	18.041	125.143
2020-07-26	30.909	2754.996	19.49	144.633
2020-07-27	30.313	2785.309	20.891	165.524
2020-07-28	29.597	2814.906	22.082	187.606
2020-07-29	28.826	2843.732	23.006	210.612
2020-07-30	28.056	2871.788	23.539	234.151
2020-07-31	27.292	2899.08	23.84	257.991
2020-08-01	26.587	2925.667	23.926	281.917
2020-08-02	25.942	2951.609	23.881	305.798
2020-08-03	25.285	2976.894	23.661	329.459
2020-08-04	24.568	3001.462	23.354	352.813
2020-08-05	23.789	3025.251	23.001	375.814
2020-08-06	22.949	3048.2	22.558	398.372
2020-08-07	22.053	3070.253	22.026	420.398
2020-08-08	21.156	3091.409	21.451	441.849
2020-08-09	20.258	3111.667	20.879	462.728
2020-08-10	19.37	3131.037	20.31	483.038
2020-08-11	18.501	3149.538	19.785	502.823
2020-08-12	17.657	3167.195	19.305	522.128
2020-08-13	16.825	3184.02	18.817	540.945
2020-08-14	16.012	3200.032	18.283	559.228
2020-08-15	15.222	3215.254	17.703	576.931
2020-08-16	14.459	3229.713	17.078	594.009
2020-08-17	13.718	3243.431	16.411	610.42
2020-08-18	13.011	3256.442	15.743	626.163
2020-08-19	12.337	3268.779	15.076	641.239
2020-08-20	11.695	3280.474	14.415	655.654
2020-08-21	11.076	3291.55	13.768	669.422
2020-08-22	10.479	3302.029	13.14	682.562
2020-08-23	9.901	3311.93	12.521	695.083
2020-08-24	9.333	3321.263	11.916	706.999
2020-08-25	8.77	3330.033	11.327	718.326
2020-08-26	8.207	3338.24	10.76	729.086
2020-08-27	7.643	3345.883	10.209	739.295
2020-08-28	7.09	3352.973	9.683	748.978
2020-08-29	6.576	3359.549	9.181	758.159
2020-08-30	6.124	3365.673	8.703	766.862
2020-08-31	5.73	3371.403	8.243	775.105
2020-09-01	5.392	3376.795	7.798	782.903
2020-09-02	5.099	3381.894	7.368	790.271
2020-09-03	4.827	3386.721	6.945	797.216
2020-09-04	4.557	3391.278	6.526	803.742
2020-09-05	4.287	3395.565	6.107	809.849
2020-09-06	4.017	3399.582	5.688	815.537
2020-09-07	3.747	3403.329	5.276	820.813
2020-09-08	3.481	3406.81	4.894	825.707
2020-09-09	3.239	3410.049	4.557	830.264
2020-09-10	3.021	3413.07	4.264	834.528
2020-09-11	2.826	3415.896	4.013	838.541
2020-09-12	2.651	3418.547	3.795	842.336
2020-09-13	2.492	3421.039	3.592	845.928
2020-09-14	2.335	3423.374	3.391	849.319
2020-09-15	2.178	3425.552	3.19	852.509
2020-09-16	2.021	3427.573	2.989	855.498
2020-09-17	1.864	3429.437	2.788	858.286
2020-09-18	1.706	3431.143	2.591	860.877
2020-09-19	1.548	3432.691	2.411	863.288
2020-09-20	1.395	3434.086	2.248	865.536
2020-09-21	1.251	3435.337	2.103	867.639
2020-09-22	1.121	3436.458	1.973	869.612
2020-09-23	1.001	3437.459	1.855	871.467
2020-09-24	0.892	3438.351	1.738	873.205
2020-09-25	0.788	3439.139	1.621	874.826
2020-09-26	0.687	3439.826	1.504	876.33
2020-09-27	0.584	3440.41	1.387	877.717
2020-09-28	0.481	3440.891	1.27	878.987
2020-09-29	0.376	3441.267	1.152	880.139
2020-09-30	0.267	3441.534	1.038	881.177
2020-10-01	0.172	3441.706	0.931	882.108
2020-10-02	0.106	3441.812	0.834	882.942
2020-10-03	0.067	3441.879	0.745	883.687
2020-10-04	0.044	3441.923	0.664	884.351
2020-10-05	0.032	3441.955	0.587	884.938
2020-10-06	0.024	3441.979	0.511	885.449
2020-10-07	0.019	3441.998	0.435	885.884
2020-10-08	0.015	3442.013	0.358	886.242
2020-10-09	0.012	3442.025	0.28	886.522
2020-10-10	0.009	3442.034	0.199	886.721
2020-10-11	0.007	3442.041	0.128	886.849
2020-10-12	0.0	3442.041	0.079	886.928
2020-10-13	0.0	3442.041	0.05	886.978
2020-10-14	0.0	3442.041	0.033	887.011
2020-10-15	0.0	3442.041	0.023	887.034
2020-10-16	0.0	3442.041	0.018	887.052
2020-10-17	0.0	3442.041	0.014	887.066
2020-10-18	0.0	3442.041	0.012	887.078
2020-10-19	0.0	3442.041	0.009	887.087
2020-10-20	0.0	3442.041	0.007	887.094
