Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Logan	0.0	0.0	1.0	18.704	1061.982	1080.611	0.0	0.0	0.00133511	0.02497196	1.41786649	1.44273832
Furnas	0.0	0.0	2.0	18.704	1061.982	1080.611	0.0	0.0	0.00042418	0.00396691	0.22523478	0.22918579
Valley	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wayne	0.0	0.0	1.0	18.704	1061.982	1080.611	0.0	0.0	0.00010635	0.00198915	0.11294076	0.11492194
Keya Paha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dixon	0.0	0.0	1.0	18.704	1061.982	1080.611	0.0	0.0	0.00017516	0.00327623	0.18601892	0.18928201
Platte	0.022	4.122	16.41	18.704	1061.982	1080.611	6.6e-07	0.00012355	0.00049186	0.00056062	0.03183113	0.0323895
Webster	0.0	0.0	2.0	18.704	1061.982	1080.611	0.0	0.0	0.00056609	0.00529408	0.3005893	0.30586216
Pierce	0.0	0.0	1.0	18.704	1061.982	1080.611	0.0	0.0	0.00014002	0.00261887	0.14869532	0.1513037
Lincoln	1.966	104.936	124.494	0.0	0.0	1.0	5.588e-05	0.00298241	0.00353827	0.0	0.0	2.842e-05
Chase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Loup	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hamilton	0.215	33.838	70.073	0.0	0.0	0.0	2.317e-05	0.00364634	0.00755097	0.0	0.0	0.0
Gosper	8.326	444.434	459.038	0.0	0.0	0.0	0.00417134	0.22266232	0.22997896	0.0	0.0	0.0
Washington	1.041	55.555	77.381	0.0	0.0	0.0	5.037e-05	0.0026881	0.00374418	0.0	0.0	0.0
Antelope	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00015783	0.0	0.0	0.0
Keith	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pawnee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Burt	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00015413	0.0	0.0	0.0
Garden	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cass	1.503	80.247	85.44	0.0	0.0	0.0	5.746e-05	0.00306766	0.00326618	0.0	0.0	0.0
Jefferson	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scotts Bluff	0.254	38.266	69.31	0.0	0.0	0.0	7.06e-06	0.00106327	0.00192587	0.0	0.0	0.0
Deuel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dundy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Custer	0.02	3.71	24.87	0.0	0.0	0.0	1.85e-06	0.00034225	0.00229428	0.0	0.0	0.0
Blaine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Douglas	0.656	120.589	485.294	0.107	15.15	27.798	1.16e-06	0.00021272	0.00085608	1.9e-07	2.673e-05	4.904e-05
Dawes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Richardson	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
