Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-13	33.293	2382.293	0.302	11.302
2020-08-14	32.507	2414.8	0.319	11.621
2020-08-15	31.66	2446.46	0.333	11.954
2020-08-16	30.814	2477.274	0.341	12.295
2020-08-17	29.974	2507.248	0.345	12.64
2020-08-18	29.201	2536.449	0.346	12.986
2020-08-19	28.492	2564.941	0.345	13.331
2020-08-20	27.771	2592.712	0.342	13.673
2020-08-21	26.983	2619.695	0.338	14.011
2020-08-22	26.127	2645.822	0.333	14.344
2020-08-23	25.205	2671.027	0.326	14.67
2020-08-24	24.22	2695.247	0.319	14.989
2020-08-25	23.235	2718.482	0.31	15.299
2020-08-26	22.25	2740.732	0.302	15.601
2020-08-27	21.274	2762.006	0.294	15.895
2020-08-28	20.319	2782.325	0.286	16.181
2020-08-29	19.393	2801.718	0.279	16.46
2020-08-30	18.479	2820.197	0.272	16.732
2020-08-31	17.587	2837.784	0.264	16.996
2020-09-01	16.718	2854.502	0.256	17.252
2020-09-02	15.881	2870.383	0.247	17.499
2020-09-03	15.067	2885.45	0.237	17.736
2020-09-04	14.29	2899.74	0.228	17.964
2020-09-05	13.55	2913.29	0.218	18.182
2020-09-06	12.845	2926.135	0.209	18.391
2020-09-07	12.165	2938.3	0.199	18.59
2020-09-08	11.51	2949.81	0.19	18.78
2020-09-09	10.874	2960.684	0.181	18.961
2020-09-10	10.25	2970.934	0.172	19.133
2020-09-11	9.632	2980.566	0.164	19.297
2020-09-12	9.014	2989.58	0.156	19.453
2020-09-13	8.395	2997.975	0.148	19.601
2020-09-14	7.787	3005.762	0.14	19.741
2020-09-15	7.223	3012.985	0.133	19.874
2020-09-16	6.726	3019.711	0.126	20.0
2020-09-17	6.294	3026.005	0.119	20.119
2020-09-18	5.922	3031.927	0.113	20.232
2020-09-19	5.6	3037.527	0.107	20.339
2020-09-20	5.301	3042.828	0.1	20.439
2020-09-21	5.005	3047.833	0.094	20.533
2020-09-22	4.708	3052.541	0.088	20.621
2020-09-23	4.412	3056.953	0.082	20.703
2020-09-24	4.115	3061.068	0.076	20.779
2020-09-25	3.823	3064.891	0.071	20.85
2020-09-26	3.558	3068.449	0.066	20.916
2020-09-27	3.318	3071.767	0.062	20.978
2020-09-28	3.103	3074.87	0.058	21.036
2020-09-29	2.911	3077.781	0.055	21.091
2020-09-30	2.737	3080.518	0.052	21.143
2020-10-01	2.565	3083.083	0.049	21.192
2020-10-02	2.392	3085.475	0.046	21.238
2020-10-03	2.22	3087.695	0.043	21.281
2020-10-04	2.047	3089.742	0.04	21.321
2020-10-05	1.874	3091.616	0.037	21.358
2020-10-06	1.701	3093.317	0.035	21.393
2020-10-07	1.532	3094.849	0.033	21.426
2020-10-08	1.375	3096.224	0.03	21.456
2020-10-09	1.231	3097.455	0.029	21.485
2020-10-10	1.1	3098.555	0.027	21.512
2020-10-11	0.979	3099.534	0.025	21.537
2020-10-12	0.866	3100.4	0.023	21.56
2020-10-13	0.754	3101.154	0.022	21.582
2020-10-14	0.642	3101.796	0.02	21.602
2020-10-15	0.528	3102.324	0.018	21.62
2020-10-16	0.413	3102.737	0.017	21.637
2020-10-17	0.293	3103.03	0.015	21.652
2020-10-18	0.189	3103.219	0.013	21.665
2020-10-19	0.116	3103.335	0.012	21.677
2020-10-20	0.073	3103.408	0.011	21.688
2020-10-21	0.048	3103.456	0.01	21.698
2020-10-22	0.035	3103.491	0.008	21.706
2020-10-23	0.027	3103.518	0.007	21.713
2020-10-24	0.021	3103.539	0.006	21.719
2020-10-25	0.017	3103.556	0.005	21.724
2020-10-26	0.013	3103.569	0.004	21.728
2020-10-27	0.01	3103.579	0.003	21.731
2020-10-28	0.007	3103.586	0.002	21.733
2020-10-29	0.0	3103.586	0.001	21.734
2020-10-30	0.0	3103.586	0.001	21.735
2020-10-31	0.0	3103.586	0.0	21.735
2020-11-01	0.0	3103.586	0.0	21.735
2020-11-02	0.0	3103.586	0.0	21.735
2020-11-03	0.0	3103.586	0.0	21.735
2020-11-04	0.0	3103.586	0.0	21.735
2020-11-05	0.0	3103.586	0.0	21.735
2020-11-06	0.0	3103.586	0.0	21.735
