Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-28	0.08	9.08	0.12	0.12
2020-07-29	0.099	9.179	0.119	0.239
2020-07-30	0.121	9.3	0.117	0.356
2020-07-31	0.147	9.447	0.116	0.472
2020-08-01	0.174	9.621	0.113	0.585
2020-08-02	0.205	9.826	0.111	0.696
2020-08-03	0.242	10.068	0.108	0.804
2020-08-04	0.286	10.354	0.105	0.909
2020-08-05	0.338	10.692	0.102	1.011
2020-08-06	0.398	11.09	0.099	1.11
2020-08-07	0.467	11.557	0.097	1.207
2020-08-08	0.542	12.099	0.095	1.302
2020-08-09	0.625	12.724	0.092	1.394
2020-08-10	0.715	13.439	0.089	1.483
2020-08-11	0.811	14.25	0.086	1.569
2020-08-12	0.91	15.16	0.082	1.651
2020-08-13	1.01	16.17	0.079	1.73
2020-08-14	1.109	17.279	0.076	1.806
2020-08-15	1.209	18.488	0.072	1.878
2020-08-16	1.314	19.802	0.069	1.947
2020-08-17	1.429	21.231	0.066	2.013
2020-08-18	1.544	22.775	0.063	2.076
2020-08-19	1.655	24.43	0.06	2.136
2020-08-20	1.749	26.179	0.057	2.193
2020-08-21	1.822	28.001	0.054	2.247
2020-08-22	1.864	29.865	0.051	2.298
2020-08-23	1.888	31.753	0.049	2.347
2020-08-24	1.895	33.648	0.046	2.393
2020-08-25	1.891	35.539	0.044	2.437
2020-08-26	1.874	37.413	0.041	2.478
2020-08-27	1.85	39.263	0.039	2.517
2020-08-28	1.822	41.085	0.037	2.554
2020-08-29	1.787	42.872	0.035	2.589
2020-08-30	1.744	44.616	0.033	2.622
2020-08-31	1.699	46.315	0.031	2.653
2020-09-01	1.654	47.969	0.029	2.682
2020-09-02	1.609	49.578	0.027	2.709
2020-09-03	1.567	51.145	0.025	2.734
2020-09-04	1.529	52.674	0.023	2.757
2020-09-05	1.49	54.164	0.021	2.778
2020-09-06	1.448	55.612	0.02	2.798
2020-09-07	1.402	57.014	0.019	2.817
2020-09-08	1.353	58.367	0.018	2.835
2020-09-09	1.3	59.667	0.017	2.852
2020-09-10	1.247	60.914	0.016	2.868
2020-09-11	1.194	62.108	0.015	2.883
2020-09-12	1.142	63.25	0.014	2.897
2020-09-13	1.09	64.34	0.013	2.91
2020-09-14	1.041	65.381	0.012	2.922
2020-09-15	0.992	66.373	0.011	2.933
2020-09-16	0.944	67.317	0.011	2.944
2020-09-17	0.897	68.214	0.01	2.954
2020-09-18	0.852	69.066	0.009	2.963
2020-09-19	0.809	69.875	0.009	2.972
2020-09-20	0.767	70.642	0.008	2.98
2020-09-21	0.727	71.369	0.008	2.988
2020-09-22	0.689	72.058	0.007	2.995
2020-09-23	0.653	72.711	0.006	3.001
2020-09-24	0.618	73.329	0.006	3.007
2020-09-25	0.584	73.913	0.005	3.012
2020-09-26	0.55	74.463	0.005	3.017
2020-09-27	0.517	74.98	0.004	3.021
2020-09-28	0.484	75.464	0.004	3.025
2020-09-29	0.45	75.914	0.003	3.028
2020-09-30	0.418	76.332	0.003	3.031
2020-10-01	0.388	76.72	0.003	3.034
2020-10-02	0.361	77.081	0.002	3.036
2020-10-03	0.338	77.419	0.002	3.038
2020-10-04	0.318	77.737	0.001	3.039
2020-10-05	0.301	78.038	0.001	3.04
2020-10-06	0.284	78.322	0.001	3.041
2020-10-07	0.269	78.591	0.0	3.041
2020-10-08	0.253	78.844	0.0	3.041
2020-10-09	0.237	79.081	0.0	3.041
2020-10-10	0.221	79.302	0.0	3.041
2020-10-11	0.205	79.507	0.0	3.041
2020-10-12	0.191	79.698	0.0	3.041
2020-10-13	0.178	79.876	0.0	3.041
2020-10-14	0.167	80.043	0.0	3.041
2020-10-15	0.156	80.199	0.0	3.041
2020-10-16	0.147	80.346	0.0	3.041
2020-10-17	0.138	80.484	0.0	3.041
2020-10-18	0.128	80.612	0.0	3.041
2020-10-19	0.119	80.731	0.0	3.041
2020-10-20	0.11	80.841	0.0	3.041
2020-10-21	0.101	80.942	0.0	3.041
2020-10-22	0.091	81.033	0.0	3.041
2020-10-23	0.082	81.115	0.0	3.041
2020-10-24	0.074	81.189	0.0	3.041
2020-10-25	0.066	81.255	0.0	3.041
2020-10-26	0.059	81.314	0.0	3.041
2020-10-27	0.053	81.367	0.0	3.041
2020-10-28	0.046	81.413	0.0	3.041
2020-10-29	0.04	81.453	0.0	3.041
2020-10-30	0.034	81.487	0.0	3.041
2020-10-31	0.028	81.515	0.0	3.041
2020-11-01	0.022	81.537	0.0	3.041
2020-11-02	0.016	81.553	0.0	3.041
2020-11-03	0.01	81.563	0.0	3.041
2020-11-04	0.006	81.569	0.0	3.041
2020-11-05	0.004	81.573	0.0	3.041
2020-11-06	0.003	81.576	0.0	3.041
2020-11-07	0.002	81.578	0.0	3.041
2020-11-08	0.001	81.579	0.0	3.041
2020-11-09	0.001	81.58	0.0	3.041
2020-11-10	0.001	81.581	0.0	3.041
2020-11-11	0.001	81.582	0.0	3.041
2020-11-12	0.001	81.583	0.0	3.041
2020-11-13	0.0	81.583	0.0	3.041
