Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Lincoln	0.0	0.0	1.0	0.374	216.028	216.028	0.0	0.0	0.00019227	7.191e-05	0.04153586	0.04153586
Lander	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eureka	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Elko County	0.0	0.0	2.0	0.374	216.028	216.028	N/A	N/A	N/A	N/A	N/A	N/A
Esmeralda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lyon	0.185	58.056	70.056	0.374	216.028	216.028	3.31e-06	0.00104028	0.0012553	6.7e-06	0.00387091	0.00387091
Douglas	0.033	14.903	28.903	0.374	216.028	216.028	6.8e-07	0.00030749	0.00059634	7.72e-06	0.00445722	0.00445722
Carson City	0.11	48.254	75.254	0.374	216.028	216.028	1.99e-06	0.00087079	0.00135803	6.75e-06	0.00389844	0.00389844
Humboldt	0.011	21.04	47.04	0.0	0.0	1.0	6.6e-07	0.00125343	0.00280234	0.0	0.0	5.957e-05
Mineral	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned	0.0	4.435	102.435	62.218	6083.04	6084.04	N/A	N/A	N/A	N/A	N/A	N/A
Pershing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clark	1.073	2073.918	4811.918	0.398	202.322	326.322	4.8e-07	0.00092932	0.00215622	1.8e-07	9.066e-05	0.00014622
Washoe	1.909	874.007	1446.007	0.214	59.339	74.339	4.1e-06	0.00187662	0.00310478	4.6e-07	0.00012741	0.00015962
Nye	0.143	47.595	68.595	0.214	59.339	59.339	3.15e-06	0.0010496	0.0015127	4.72e-06	0.00130858	0.00130858
Storey	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Churchill	0.0	0.0	1.0	0.214	59.339	59.339	0.0	0.0	4.092e-05	8.76e-06	0.00242795	0.00242795
Elko	0.018	10.594	22.594	0.0	0.0	1.0	3.4e-07	0.00020194	0.00043069	0.0	0.0	1.906e-05
White Pine	0.017	10.033	13.033	0.0	0.0	0.0	1.79e-06	0.00105889	0.00137551	0.0	0.0	0.0
