Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Lincoln	0.0	0.0	2.0	1.895	71.393	71.393	0.0	0.0	0.00038454	0.00036435	0.01372678	0.01372678
Lander	0.0	0.62	21.62	1.895	71.393	71.393	0.0	0.00011121	0.00387803	0.00033991	0.01280592	0.01280592
Eureka	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Elko County	0.0	0.0	2.0	1.895	71.393	71.393	N/A	N/A	N/A	N/A	N/A	N/A
Esmeralda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lyon	0.811	28.389	95.389	0.0	0.0	1.0	1.453e-05	0.00050869	0.00170924	0.0	0.0	1.792e-05
Douglas	0.282	10.881	45.881	0.0	0.0	0.0	5.82e-06	0.0002245	0.00094664	0.0	0.0	0.0
Carson City	0.034	16.245	115.245	0.001	0.056	4.056	6.1e-07	0.00029316	0.00207971	2e-08	1.01e-06	7.319e-05
Humboldt	0.0	0.03	78.03	0.0	0.0	4.0	0.0	1.79e-06	0.00464852	0.0	0.0	0.00023829
Mineral	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.00088613	0.0	0.0	0.0
Unassigned	1.733	66.762	97.762	0.181	6.984	8.984	N/A	N/A	N/A	N/A	N/A	N/A
Pershing	0.0	0.0	2.0	0.181	6.984	6.984	0.0	0.0	0.00030003	2.715e-05	0.0010477	0.0010477
Clark	34.633	1442.258	8365.258	1.265	48.731	403.731	1.552e-05	0.00064628	0.00374847	5.7e-07	2.184e-05	0.00018091
Washoe	12.32	474.648	2092.648	0.516	19.898	80.898	2.645e-05	0.00101914	0.00449322	1.11e-06	4.272e-05	0.0001737
Nye	0.319	10.852	74.852	0.095	3.656	5.656	7.03e-06	0.00023932	0.00165069	2.1e-06	8.062e-05	0.00012473
Storey	0.0	0.0	1.0	0.095	3.656	3.656	0.0	0.0	0.0002482	2.358e-05	0.00090742	0.00090742
Churchill	0.065	2.518	10.518	0.0	0.0	1.0	2.66e-06	0.00010303	0.00043036	0.0	0.0	4.092e-05
Elko	0.16	6.173	32.173	0.0	0.0	1.0	3.05e-06	0.00011767	0.00061329	0.0	0.0	1.906e-05
White Pine	0.002	0.08	3.08	0.0	0.0	0.0	2.1e-07	8.44e-06	0.00032507	0.0	0.0	0.0
