Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-09-01	12.497	20.64	0.308	149.116
2020-09-02	12.382	33.022	0.277	149.393
2020-09-03	12.221	45.243	0.249	149.642
2020-09-04	12.037	57.28	0.223	149.865
2020-09-05	11.805	69.085	0.199	150.064
2020-09-06	11.526	80.611	0.177	150.241
2020-09-07	11.226	91.837	0.157	150.398
2020-09-08	10.926	102.763	0.136	150.534
2020-09-09	10.628	113.391	0.116	150.65
2020-09-10	10.354	123.745	0.096	150.746
2020-09-11	10.103	133.848	0.075	150.821
2020-09-12	9.847	143.695	0.053	150.874
2020-09-13	9.568	153.263	0.034	150.908
2020-09-14	9.264	162.527	0.021	150.929
2020-09-15	8.937	171.464	0.013	150.942
2020-09-16	8.588	180.052	0.009	150.951
2020-09-17	8.239	188.291	0.006	150.957
2020-09-18	7.889	196.18	0.005	150.962
2020-09-19	7.543	203.723	0.004	150.966
2020-09-20	7.205	210.928	0.003	150.969
2020-09-21	6.876	217.804	0.002	150.971
2020-09-22	6.552	224.356	0.002	150.973
2020-09-23	6.236	230.592	0.001	150.974
2020-09-24	5.928	236.52	0.0	150.974
2020-09-25	5.631	242.151	0.0	150.974
2020-09-26	5.342	247.493	0.0	150.974
2020-09-27	5.067	252.56	0.0	150.974
2020-09-28	4.805	257.365	0.0	150.974
2020-09-29	4.554	261.919	0.0	150.974
2020-09-30	4.313	266.232	0.0	150.974
2020-10-01	4.081	270.313	0.0	150.974
2020-10-02	3.856	274.169	0.0	150.974
2020-10-03	3.635	277.804	0.0	150.974
2020-10-04	3.415	281.219	0.0	150.974
2020-10-05	3.196	284.415	0.0	150.974
2020-10-06	2.977	287.392	0.0	150.974
2020-10-07	2.761	290.153	0.0	150.974
2020-10-08	2.561	292.714	0.0	150.974
2020-10-09	2.385	295.099	0.0	150.974
2020-10-10	2.232	297.331	0.0	150.974
2020-10-11	2.1	299.431	0.0	150.974
2020-10-12	1.986	301.417	0.0	150.974
2020-10-13	1.88	303.297	0.0	150.974
2020-10-14	1.775	305.072	0.0	150.974
2020-10-15	1.669	306.741	0.0	150.974
2020-10-16	1.564	308.305	0.0	150.974
2020-10-17	1.459	309.764	0.0	150.974
2020-10-18	1.356	311.12	0.0	150.974
2020-10-19	1.261	312.381	0.0	150.974
2020-10-20	1.177	313.558	0.0	150.974
2020-10-21	1.1	314.658	0.0	150.974
2020-10-22	1.032	315.69	0.0	150.974
2020-10-23	0.971	316.661	0.0	150.974
2020-10-24	0.909	317.57	0.0	150.974
2020-10-25	0.848	318.418	0.0	150.974
2020-10-26	0.787	319.205	0.0	150.974
2020-10-27	0.726	319.931	0.0	150.974
2020-10-28	0.664	320.595	0.0	150.974
2020-10-29	0.603	321.198	0.0	150.974
2020-10-30	0.543	321.741	0.0	150.974
2020-10-31	0.487	322.228	0.0	150.974
2020-11-01	0.436	322.664	0.0	150.974
2020-11-02	0.39	323.054	0.0	150.974
2020-11-03	0.347	323.401	0.0	150.974
2020-11-04	0.307	323.708	0.0	150.974
2020-11-05	0.267	323.975	0.0	150.974
2020-11-06	0.228	324.203	0.0	150.974
2020-11-07	0.187	324.39	0.0	150.974
2020-11-08	0.146	324.536	0.0	150.974
2020-11-09	0.104	324.64	0.0	150.974
2020-11-10	0.067	324.707	0.0	150.974
2020-11-11	0.041	324.748	0.0	150.974
2020-11-12	0.026	324.774	0.0	150.974
2020-11-13	0.017	324.791	0.0	150.974
2020-11-14	0.012	324.803	0.0	150.974
2020-11-15	0.009	324.812	0.0	150.974
2020-11-16	0.008	324.82	0.0	150.974
2020-11-17	0.006	324.826	0.0	150.974
2020-11-18	0.005	324.831	0.0	150.974
2020-11-19	0.004	324.835	0.0	150.974
2020-11-20	0.003	324.838	0.0	150.974
