Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Hillsborough	23.137	1037.046	3169.046	2.194	89.832	170.832	5.572e-05	0.00249742	0.00763171	5.28e-06	0.00021633	0.0004114
Coos	0.0	0.25	4.25	2.194	89.832	89.832	0.0	7.91e-06	0.00013454	6.945e-05	0.00284377	0.00284377
Strafford	0.0	21.385	278.385	0.001	1.634	13.634	0.0	0.00016439	0.00213994	1e-08	1.256e-05	0.0001048
Belknap	0.0	3.991	58.991	0.001	1.634	1.634	0.0	6.54e-05	0.00096672	2e-08	2.678e-05	2.678e-05
Merrimack	2.18	105.179	426.179	0.444	15.55	28.55	1.442e-05	0.00069594	0.00281991	2.94e-06	0.00010289	0.00018891
Unassigned	0.0	7.32	19.32	0.003	3.232	41.232	N/A	N/A	N/A	N/A	N/A	N/A
Rockingham	7.884	380.293	1610.293	0.0	5.168	67.168	2.55e-05	0.00123002	0.00520834	0.0	1.672e-05	0.00021725
Nashua	1.622	78.231	83.231	0.0	5.168	5.168	N/A	N/A	N/A	N/A	N/A	N/A
Cheshire	0.254	12.259	66.259	0.0	0.0	2.0	3.32e-06	0.00016026	0.00086621	0.0	0.0	2.615e-05
Carroll	0.285	14.606	60.606	0.0	0.0	0.0	5.84e-06	0.00029943	0.00124246	0.0	0.0	0.0
Manchester	0.0	0.0	0.0	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Sullivan	0.0	0.431	17.431	0.0	0.0	1.0	0.0	9.99e-06	0.00040402	0.0	0.0	2.318e-05
Grafton	0.577	24.409	93.409	0.0	0.0	1.0	6.43e-06	0.00027186	0.00104035	0.0	0.0	1.114e-05
