Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-09-01	0.092	1.492	0.0	30.75
2020-09-02	0.091	1.583	0.0	30.75
2020-09-03	0.09	1.673	0.0	30.75
2020-09-04	0.088	1.761	0.0	30.75
2020-09-05	0.086	1.847	0.0	30.75
2020-09-06	0.084	1.931	0.0	30.75
2020-09-07	0.082	2.013	0.0	30.75
2020-09-08	0.08	2.093	0.0	30.75
2020-09-09	0.078	2.171	0.0	30.75
2020-09-10	0.076	2.247	0.0	30.75
2020-09-11	0.074	2.321	0.0	30.75
2020-09-12	0.072	2.393	0.0	30.75
2020-09-13	0.07	2.463	0.0	30.75
2020-09-14	0.068	2.531	0.0	30.75
2020-09-15	0.065	2.596	0.0	30.75
2020-09-16	0.063	2.659	0.0	30.75
2020-09-17	0.06	2.719	0.0	30.75
2020-09-18	0.058	2.777	0.0	30.75
2020-09-19	0.055	2.832	0.0	30.75
2020-09-20	0.053	2.885	0.0	30.75
2020-09-21	0.05	2.935	0.0	30.75
2020-09-22	0.048	2.983	0.0	30.75
2020-09-23	0.046	3.029	0.0	30.75
2020-09-24	0.043	3.072	0.0	30.75
2020-09-25	0.041	3.113	0.0	30.75
2020-09-26	0.039	3.152	0.0	30.75
2020-09-27	0.037	3.189	0.0	30.75
2020-09-28	0.035	3.224	0.0	30.75
2020-09-29	0.033	3.257	0.0	30.75
2020-09-30	0.032	3.289	0.0	30.75
2020-10-01	0.03	3.319	0.0	30.75
2020-10-02	0.028	3.347	0.0	30.75
2020-10-03	0.027	3.374	0.0	30.75
2020-10-04	0.025	3.399	0.0	30.75
2020-10-05	0.023	3.422	0.0	30.75
2020-10-06	0.022	3.444	0.0	30.75
2020-10-07	0.02	3.464	0.0	30.75
2020-10-08	0.019	3.483	0.0	30.75
2020-10-09	0.017	3.5	0.0	30.75
2020-10-10	0.016	3.516	0.0	30.75
2020-10-11	0.015	3.531	0.0	30.75
2020-10-12	0.015	3.546	0.0	30.75
2020-10-13	0.014	3.56	0.0	30.75
2020-10-14	0.013	3.573	0.0	30.75
2020-10-15	0.012	3.585	0.0	30.75
2020-10-16	0.011	3.596	0.0	30.75
2020-10-17	0.011	3.607	0.0	30.75
2020-10-18	0.01	3.617	0.0	30.75
2020-10-19	0.009	3.626	0.0	30.75
2020-10-20	0.009	3.635	0.0	30.75
2020-10-21	0.008	3.643	0.0	30.75
2020-10-22	0.008	3.651	0.0	30.75
2020-10-23	0.007	3.658	0.0	30.75
2020-10-24	0.007	3.665	0.0	30.75
2020-10-25	0.006	3.671	0.0	30.75
2020-10-26	0.006	3.677	0.0	30.75
2020-10-27	0.005	3.682	0.0	30.75
2020-10-28	0.005	3.687	0.0	30.75
2020-10-29	0.004	3.691	0.0	30.75
2020-10-30	0.004	3.695	0.0	30.75
2020-10-31	0.004	3.699	0.0	30.75
2020-11-01	0.003	3.702	0.0	30.75
2020-11-02	0.003	3.705	0.0	30.75
2020-11-03	0.003	3.708	0.0	30.75
2020-11-04	0.002	3.71	0.0	30.75
2020-11-05	0.002	3.712	0.0	30.75
2020-11-06	0.002	3.714	0.0	30.75
2020-11-07	0.001	3.715	0.0	30.75
2020-11-08	0.001	3.716	0.0	30.75
2020-11-09	0.001	3.717	0.0	30.75
2020-11-10	0.0	3.717	0.0	30.75
2020-11-11	0.0	3.717	0.0	30.75
2020-11-12	0.0	3.717	0.0	30.75
2020-11-13	0.0	3.717	0.0	30.75
2020-11-14	0.0	3.717	0.0	30.75
2020-11-15	0.0	3.717	0.0	30.75
2020-11-16	0.0	3.717	0.0	30.75
2020-11-17	0.0	3.717	0.0	30.75
2020-11-18	0.0	3.717	0.0	30.75
2020-11-19	0.0	3.717	0.0	30.75
2020-11-20	0.0	3.717	0.0	30.75
2020-11-21	0.0	3.717	0.0	30.75
2020-11-22	0.0	3.717	0.0	30.75
2020-11-23	0.0	3.717	0.0	30.75
2020-11-24	0.0	3.717	0.0	30.75
2020-11-25	0.0	3.717	0.0	30.75
2020-11-26	0.0	3.717	0.0	30.75
2020-11-27	0.0	3.717	0.0	30.75
2020-11-28	0.0	3.717	0.0	30.75
2020-11-29	0.0	3.717	0.0	30.75
