Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Cumberland	19.469	950.739	0.00012896	0.00629745
Atlantic	153.39	5203.87	0.00057789	0.01960551
Somerset	61.121	4136.044	0.00018456	0.01248941
Hunterdon	11.624	864.581	9.321e-05	0.00693251
Hudson	939.456	48586.606	0.0013896	0.07186719
Ocean	157.864	11212.859	0.00026238	0.01863682
Camden	143.892	7441.787	0.00028377	0.01467582
Sussex	14.34	1114.442	0.00010185	0.00791513
Middlesex	329.986	21224.481	0.00039772	0.02558137
Gloucester	41.793	2417.455	0.00014342	0.00829577
Morris	172.954	11124.278	0.00034995	0.02250839
Mercer	92.915	5672.714	0.00025125	0.0153395
Bergen	583.486	37529.379	0.00062292	0.04006587
Essex	439.253	28252.453	0.00054923	0.03532585
Burlington	163.078	8434.027	0.00036615	0.01893653
Passaic	600.936	34760.483	0.00119397	0.06906376
Union	612.65	33529.985	0.00109781	0.06008236
Cape May	169.763	4565.655	0.00183409	0.04932644
Warren	63.05	2902.509	0.00059605	0.02743937
Monmouth	117.114	9491.281	0.00018848	0.01527516
