Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Middlesex	16913.0	1331.0	0.0	15582.0	0.02038484	0.00160422	443666.666667	204769.230769	133100.0	0.53474	0.246803076923	0.160422
Cumberland	3017.0	149.0	0.0	2868.0	0.01998384	0.00098694	49666.6666667	22923.0769231	14900.0	0.32898	0.151836923077	0.098694
Union	16455.0	1328.0	0.0	15127.0	0.02948571	0.00237964	442666.666667	204307.692308	132800.0	0.793213333333	0.366098461538	0.237964
Hudson	18976.0	1455.0	0.0	17521.0	0.02806847	0.00215217	485000.0	223846.153846	145500.0	0.71739	0.331103076923	0.215217
Burlington	5262.0	433.0	0.0	4829.0	0.01181452	0.00097219	144333.333333	66615.3846154	43300.0	0.324063333333	0.149567692308	0.097219
Somerset	4937.0	530.0	0.0	4407.0	0.01490802	0.00160042	176666.666667	81538.4615385	53000.0	0.533473333333	0.246218461538	0.160042
Passaic	16954.0	1194.0	0.0	15760.0	0.03368501	0.0023723	398000.0	183692.307692	119400.0	0.790766666667	0.364969230769	0.23723
Sussex	1209.0	193.0	0.0	1016.0	0.00858671	0.00137075	64333.3333333	29692.3076923	19300.0	0.456916666667	0.210884615385	0.137075
Unassigned	685.0	0.0	0.0	685.0	N/A	N/A	3425.0	1370.0	856.25	N/A	N/A	N/A
Atlantic	2936.0	221.0	0.0	2715.0	0.01106134	0.00083261	73666.6666667	34000.0	22100.0	0.277536666667	0.128093846154	0.083261
Hunterdon	1088.0	124.0	0.0	964.0	0.00872396	0.00099427	41333.3333333	19076.9230769	12400.0	0.331423333333	0.152964615385	0.099427
Ocean	9706.0	972.0	0.0	8734.0	0.01613228	0.00161555	324000.0	149538.461538	97200.0	0.538516666667	0.248546153846	0.161555
Morris	6809.0	806.0	0.0	6003.0	0.01377704	0.00163083	268666.666667	124000.0	80600.0	0.54361	0.250896923077	0.163083
Cape May	716.0	74.0	0.0	642.0	0.00773552	0.00079948	24666.6666667	11384.6153846	7400.0	0.266493333333	0.122996923077	0.079948
Gloucester	2645.0	188.0	0.0	2457.0	0.00907662	0.00064514	62666.6666667	28923.0769231	18800.0	0.215046666667	0.0992523076923	0.064514
Monmouth	9308.0	821.0	0.0	8487.0	0.01498019	0.00132131	273666.666667	126307.692308	82100.0	0.440436666667	0.203278461538	0.132131
Essex	18887.0	2040.0	0.0	16847.0	0.02361563	0.00255074	680000.0	313846.153846	204000.0	0.850246666667	0.392421538462	0.255074
Salem	802.0	77.0	0.0	725.0	0.01281007	0.00122989	25666.6666667	11846.1538462	7700.0	0.409963333333	0.189213846154	0.122989
Camden	7479.0	521.0	0.0	6958.0	0.01474921	0.00102746	173666.666667	80153.8461538	52100.0	0.342486666667	0.158070769231	0.102746
Mercer	7740.0	589.0	0.0	7151.0	0.02092961	0.00159271	196333.333333	90615.3846154	58900.0	0.530903333333	0.245032307692	0.159271
Bergen	19625.0	2004.0	0.0	17621.0	0.02095139	0.00213944	668000.0	308307.692308	200400.0	0.713146666667	0.329144615385	0.213944
Warren	1253.0	161.0	0.0	1092.0	0.01184545	0.00152204	53666.6666667	24769.2307692	16100.0	0.507346666667	0.23416	0.152204
