Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Cumberland	749.896	4610.836	7686.836	37.468	684.698	838.698	0.00496712	0.030541	0.05091564	0.00024818	0.00453526	0.00555532
Atlantic	646.202	4183.24	7299.24	34.531	631.024	868.024	0.00243456	0.0157603	0.02749978	0.0001301	0.00237737	0.00327027
Somerset	692.179	5174.743	10239.743	60.897	1112.849	1665.849	0.00209014	0.01562592	0.03092046	0.00018389	0.00336042	0.00503028
Hunterdon	168.287	1210.601	2310.601	13.038	238.263	364.263	0.00134938	0.00970702	0.0185272	0.00010454	0.00191048	0.00292079
Hudson	2113.627	16872.182	36120.182	256.411	4685.705	6183.705	0.00312639	0.0249566	0.0534274	0.00037927	0.00693089	0.00914667
Ocean	1529.644	11003.759	20950.759	116.782	2134.092	3142.092	0.00254241	0.01828927	0.03482211	0.0001941	0.00354706	0.00522245
Camden	1321.552	9150.259	16979.259	91.049	1663.844	2222.844	0.00260621	0.01804507	0.03348451	0.00017956	0.00328124	0.00438363
Sussex	162.24	1212.906	2458.906	14.78	270.089	465.089	0.00115228	0.00861445	0.01746395	0.00010497	0.00191826	0.00330321
Middlesex	2364.908	17680.089	34838.089	215.372	3935.757	5332.757	0.00285037	0.0213094	0.04198954	0.00025958	0.00474368	0.00642745
Gloucester	585.316	3789.083	6613.083	31.406	573.916	770.916	0.00200858	0.01300267	0.02269355	0.00010777	0.00196946	0.00264549
Morris	451.148	4430.401	11388.401	87.518	1599.327	2425.327	0.00091283	0.00896429	0.02304281	0.00017708	0.00323601	0.0049073
Mercer	1204.324	8663.518	16488.518	95.844	1751.483	2359.483	0.00325659	0.02342688	0.04458634	0.00025917	0.00473616	0.00638024
Unassigned	9.055	165.481	839.481	13.842	252.953	536.417	N/A	N/A	N/A	N/A	N/A	N/A
Bergen	3057.077	21991.612	41971.612	236.991	4330.816	6363.816	0.0032637	0.02347795	0.04480834	0.00025301	0.00462352	0.00679393
Essex	2692.168	20126.691	39231.691	228.961	4184.083	6277.083	0.00336619	0.02516569	0.0490539	0.00028628	0.00523163	0.00784864
Burlington	1322.876	8133.872	13575.872	63.183	1154.624	1613.624	0.00297019	0.0182626	0.03048127	0.00014186	0.00259242	0.00362299
Salem	121.587	874.657	1705.657	9.736	177.919	257.919	0.00194207	0.01397059	0.02724387	0.00015551	0.00284184	0.00411965
Passaic	2419.473	18088.019	35250.019	214.611	3921.855	5159.855	0.00480712	0.03593813	0.0700364	0.0004264	0.00779213	0.01025184
Union	2309.781	17267.961	33775.961	208.48	3809.812	5153.812	0.0041389	0.03094245	0.06052313	0.00037358	0.0068268	0.00923511
Cape May	182.279	1120.763	1874.763	8.542	156.091	238.091	0.00196931	0.0121085	0.02025457	9.229e-05	0.00168638	0.00257229
Warren	196.219	1411.537	2687.537	14.476	264.543	435.543	0.00185499	0.01334421	0.02540709	0.00013685	0.0025009	0.00411748
Monmouth	2333.978	14350.764	24009.764	112.27	2051.653	2899.653	0.00375628	0.02309595	0.03864104	0.00018069	0.00330191	0.00466667
