Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-24	451.218	11386.218	24.48	539.48
2020-04-25	450.368	11836.586	24.568	564.048
2020-04-26	446.228	12282.814	24.522	588.57
2020-04-27	440.425	12723.239	24.296	612.866
2020-04-28	433.782	13157.021	23.98	636.846
2020-04-29	425.425	13582.446	23.618	660.464
2020-04-30	415.377	13997.823	23.163	683.627
2020-05-01	404.551	14402.374	22.616	706.243
2020-05-02	393.75	14796.124	22.027	728.27
2020-05-03	383.016	15179.14	21.439	749.709
2020-05-04	373.132	15552.272	20.854	770.563
2020-05-05	364.076	15916.348	20.316	790.879
2020-05-06	354.86	16271.208	19.823	810.702
2020-05-07	344.792	16616.0	19.321	830.023
2020-05-08	333.856	16949.856	18.773	848.796
2020-05-09	322.078	17271.934	18.178	866.974
2020-05-10	309.491	17581.425	17.536	884.51
2020-05-11	296.902	17878.327	16.851	901.361
2020-05-12	284.312	18162.639	16.166	917.527
2020-05-13	271.847	18434.486	15.48	933.007
2020-05-14	259.643	18694.129	14.801	947.808
2020-05-15	247.805	18941.934	14.137	961.945
2020-05-16	236.123	19178.057	13.492	975.437
2020-05-17	224.723	19402.78	12.856	988.293
2020-05-18	213.622	19616.402	12.236	1000.529
2020-05-19	202.925	19819.327	11.631	1012.16
2020-05-20	192.522	20011.849	11.049	1023.209
2020-05-21	182.602	20194.451	10.482	1033.691
2020-05-22	173.147	20367.598	9.942	1043.633
2020-05-23	164.132	20531.73	9.427	1053.06
2020-05-24	155.445	20687.175	8.937	1061.997
2020-05-25	147.07	20834.245	8.464	1070.461
2020-05-26	138.948	20973.193	8.008	1078.469
2020-05-27	130.981	21104.174	7.565	1086.034
2020-05-28	123.081	21227.255	7.132	1093.166
2020-05-29	115.177	21342.432	6.701	1099.867
2020-05-30	107.268	21449.7	6.271	1106.138
2020-05-31	99.498	21549.198	5.841	1111.979
2020-06-01	92.291	21641.489	5.417	1117.396
2020-06-02	85.94	21727.429	5.025	1122.421
2020-06-03	80.42	21807.849	4.679	1127.1
2020-06-04	75.675	21883.524	4.379	1131.479
2020-06-05	71.561	21955.085	4.12	1135.599
2020-06-06	67.74	22022.825	3.896	1139.495
2020-06-07	63.953	22086.778	3.688	1143.183
2020-06-08	60.165	22146.943	3.482	1146.665
2020-06-09	56.375	22203.318	3.276	1149.941
2020-06-10	52.582	22255.9	3.069	1153.01
2020-06-11	48.855	22304.755	2.863	1155.873
2020-06-12	45.46	22350.215	2.66	1158.533
2020-06-13	42.401	22392.616	2.475	1161.008
2020-06-14	39.655	22432.271	2.309	1163.317
2020-06-15	37.202	22469.473	2.159	1165.476
2020-06-16	34.976	22504.449	2.026	1167.502
2020-06-17	32.773	22537.222	1.904	1169.406
2020-06-18	30.569	22567.791	1.784	1171.19
2020-06-19	28.362	22596.153	1.664	1172.854
2020-06-20	26.154	22622.307	1.544	1174.398
2020-06-21	23.944	22646.251	1.424	1175.822
2020-06-22	21.73	22667.981	1.304	1177.126
2020-06-23	19.572	22687.553	1.183	1178.309
2020-06-24	17.564	22705.117	1.066	1179.375
